Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Raya,Arsenal,GKP,6.0,162.0,OK,27.0,8.5,1.0,162.0,ARS,1118.904761904762,1172.1904761904761,1172.1904761904761,0.14
Kinsky,Spurs,GKP,4.5,20.0,OK,4.44,1.1,1.0,20.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.02
Verbruggen,Brighton,GKP,4.5,130.0,OK,28.89,6.8,1.0,130.0,BHA,1177.285714285714,1207.0,1207.0,0.11
Dubravka,Spurs,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.08
Lammens,Man Utd,GKP,5.0,109.0,OK,21.8,5.7,1.0,109.0,MUN,1074.8095238095236,1079.047619047619,1079.047619047619,0.1
Donnarumma,Man City,GKP,5.5,135.0,OK,24.55,7.1,1.0,135.0,MCI,1155.2380952380952,1186.6666666666665,1186.6666666666665,0.11
Pickford,Everton,GKP,5.5,135.0,OK,24.55,7.1,1.0,135.0,EVE,1125.4761904761904,1200.3333333333333,1200.3333333333333,0.11
Kelleher,Brentford,GKP,5.0,143.0,OK,28.6,7.5,1.0,143.0,BRE,1115.6190476190477,1164.9523809523807,1164.9523809523807,0.12
Palmer,Ipswich Town,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,IPS,1188.952380952381,1188.5238095238094,1188.5238095238094,0.08
Martinez,Aston Villa,GKP,5.0,120.0,OK,24.0,6.3,1.0,120.0,AVL,1181.8095238095239,1202.2380952380954,1202.2380952380954,0.1
Roefs,Sunderland,GKP,5.0,136.0,OK,27.2,7.2,1.0,136.0,SUN,1128.4285714285713,1119.0,1119.0,0.12
Steele,Brighton,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,BHA,1177.285714285714,1207.0,1207.0,0.08
A.Becker,Liverpool,GKP,5.5,91.0,OK,16.55,4.8,1.0,91.0,LIV,1124.0,1121.3333333333333,1121.3333333333333,0.08
Petrović,Bournemouth,GKP,4.5,124.0,OK,27.56,6.5,1.0,124.0,BOU,1175.3333333333333,1239.142857142857,1239.142857142857,0.1
Forster,Bournemouth,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,BOU,1175.3333333333333,1239.142857142857,1239.142857142857,0.08
Leno,Fulham,GKP,4.5,122.0,OK,27.11,6.4,1.0,122.0,FUL,1157.7142857142858,1198.2857142857142,1198.2857142857142,0.1
Trafford,Leeds,GKP,5.0,13.0,OK,2.6,0.7,1.0,13.0,LEE,1133.4761904761904,1188.7142857142858,1188.7142857142858,0.01
Sánchez,Chelsea,GKP,5.0,113.0,OK,22.6,5.9,1.0,113.0,CHE,1134.7619047619046,1140.428571428571,1140.428571428571,0.1
Henderson,Crystal Palace,GKP,5.0,131.0,OK,26.2,6.9,1.0,131.0,CRY,1158.1904761904761,1190.2857142857142,1190.2857142857142,0.11
Matthews,Crystal Palace,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,CRY,1158.1904761904761,1190.2857142857142,1190.2857142857142,0.08
Dovin,Coventry City,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,COV,1224.095238095238,1180.4285714285713,1180.4285714285713,0.08
Phillips,Hull City,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,HUL,1151.2380952380954,1223.5714285714282,1223.5714285714282,0.08
Sels,Nott'm Forest,GKP,5.0,105.0,OK,21.0,5.5,1.0,105.0,NFO,1163.095238095238,1213.3333333333333,1213.3333333333333,0.09
Pope,Newcastle,GKP,5.0,96.0,OK,19.2,5.1,1.0,96.0,NEW,1159.3809523809523,1240.2380952380952,1240.2380952380952,0.08
Rushworth,Coventry City,GKP,4.5,108.0,OK,24.0,5.7,1.0,108.0,COV,1224.095238095238,1180.4285714285713,1180.4285714285713,0.09
Lecomte,Fulham,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,FUL,1157.7142857142858,1198.2857142857142,1198.2857142857142,0.08
Woodman,Liverpool,GKP,4.0,6.0,OK,1.5,0.3,1.0,6.0,LIV,1124.0,1121.3333333333333,1121.3333333333333,0.01
Tzolakis,Hull City,GKP,4.5,108.0,OK,24.0,5.7,1.0,108.0,HUL,1151.2380952380954,1223.5714285714282,1223.5714285714282,0.09
Austin,Spurs,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.08
Suzuki,Aston Villa,GKP,5.0,120.0,OK,24.0,6.3,1.0,120.0,AVL,1181.8095238095239,1202.2380952380954,1202.2380952380954,0.1
Calafiori,Arsenal,DEF,5.5,109.0,OK,19.82,5.7,1.0,109.0,ARS,1118.904761904762,1172.1904761904761,1172.1904761904761,0.09
Gabriel,Arsenal,DEF,8.0,209.0,OK,26.12,11.0,1.0,209.0,ARS,1118.904761904762,1172.1904761904761,1172.1904761904761,0.18
O'Reilly,Man City,DEF,6.5,160.0,OK,24.62,8.4,1.0,160.0,MCI,1155.2380952380952,1186.6666666666665,1186.6666666666665,0.13
Shaw,Man Utd,DEF,4.5,113.0,OK,25.11,5.9,1.0,113.0,MUN,1074.8095238095236,1079.047619047619,1079.047619047619,0.1
Virgil,Liverpool,DEF,6.5,175.0,OK,26.92,9.2,1.0,175.0,LIV,1124.0,1121.3333333333333,1121.3333333333333,0.16
Diop,Ipswich Town,DEF,4.0,31.0,OK,7.75,1.6,1.0,31.0,IPS,1188.952380952381,1188.5238095238094,1188.5238095238094,0.03
Maguire,Man Utd,DEF,5.0,90.0,OK,18.0,4.7,1.0,90.0,MUN,1074.8095238095236,1079.047619047619,1079.047619047619,0.08
Guéhi,Man City,DEF,6.0,179.0,OK,29.83,9.4,1.0,179.0,MCI,1155.2380952380952,1186.6666666666665,1186.6666666666665,0.15
Pedro Porro,Spurs,DEF,5.5,117.0,OK,21.27,6.2,1.0,117.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.1
van Ewijk,Coventry City,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0,COV,1224.095238095238,1180.4285714285713,1180.4285714285713,0.07
Konsa,Arsenal,DEF,4.5,100.0,OK,22.22,5.3,1.0,100.0,ARS,1118.904761904762,1172.1904761904761,1172.1904761904761,0.09
Gvardiol,Man City,DEF,5.5,79.0,OK,14.36,4.2,1.0,79.0,MCI,1155.2380952380952,1186.6666666666665,1186.6666666666665,0.07
Van Hecke,Spurs,DEF,5.0,148.0,OK,29.6,7.8,1.0,148.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.13
James,Chelsea,DEF,5.5,115.0,OK,20.91,6.1,1.0,115.0,CHE,1134.7619047619046,1140.428571428571,1140.428571428571,0.1
N.Williams,Nott'm Forest,DEF,5.0,128.0,OK,25.6,6.7,1.0,128.0,NFO,1163.095238095238,1213.3333333333333,1213.3333333333333,0.11
Muñoz,Crystal Palace,DEF,5.5,136.0,OK,24.73,7.2,1.0,136.0,CRY,1158.1904761904761,1190.2857142857142,1190.2857142857142,0.11
Lacroix,Chelsea,DEF,6.0,154.0,OK,25.67,8.1,1.0,154.0,CHE,1134.7619047619046,1140.428571428571,1140.428571428571,0.14
Cash,Aston Villa,DEF,4.5,117.0,OK,26.0,6.2,1.0,117.0,AVL,1181.8095238095239,1202.2380952380954,1202.2380952380954,0.1
Tarkowski,Everton,DEF,6.0,170.0,OK,28.33,8.9,1.0,170.0,EVE,1125.4761904761904,1200.3333333333333,1200.3333333333333,0.14
Senesi,Spurs,DEF,6.0,175.0,OK,29.17,9.2,1.0,175.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.15
Thomas,Coventry City,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0,COV,1224.095238095238,1180.4285714285713,1180.4285714285713,0.07
Hume,Sunderland,DEF,4.5,110.0,OK,24.44,5.8,1.0,110.0,SUN,1128.4285714285713,1119.0,1119.0,0.1
Mitchell,Crystal Palace,DEF,4.5,135.0,OK,30.0,7.1,1.0,135.0,CRY,1158.1904761904761,1190.2857142857142,1190.2857142857142,0.11
Mosquera,Arsenal,DEF,5.5,61.0,OK,11.09,3.2,1.0,61.0,ARS,1118.904761904762,1172.1904761904761,1172.1904761904761,0.05
Ballard,Sunderland,DEF,5.0,116.0,OK,23.2,6.1,1.0,116.0,SUN,1128.4285714285713,1119.0,1119.0,0.1
Davis,Ipswich Town,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0,IPS,1188.952380952381,1188.5238095238094,1188.5238095238094,0.07
White,Arsenal,DEF,5.5,45.0,OK,8.18,2.4,1.0,45.0,ARS,1118.904761904762,1172.1904761904761,1172.1904761904761,0.04
Truffert,Bournemouth,DEF,5.5,165.0,OK,30.0,8.7,1.0,165.0,BOU,1175.3333333333333,1239.142857142857,1239.142857142857,0.13
Robertson,Spurs,DEF,4.5,55.0,OK,12.22,2.9,1.0,55.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.05
Kayode,Brentford,DEF,4.5,113.0,OK,25.11,5.9,1.0,113.0,BRE,1115.6190476190477,1164.9523809523807,1164.9523809523807,0.1
Kerkez,Liverpool,DEF,5.5,85.0,OK,15.45,4.5,1.0,85.0,LIV,1124.0,1121.3333333333333,1121.3333333333333,0.08
O'Nien,Sunderland,DEF,4.0,26.0,OK,6.5,1.4,1.0,26.0,SUN,1128.4285714285713,1119.0,1119.0,0.02
Ajer,Brentford,DEF,4.5,76.0,OK,16.89,4.0,1.0,76.0,BRE,1115.6190476190477,1164.9523809523807,1164.9523809523807,0.07
Rodon,Leeds,DEF,4.5,109.0,OK,24.22,5.7,1.0,109.0,LEE,1133.4761904761904,1188.7142857142858,1188.7142857142858,0.09
Frimpong,Liverpool,DEF,5.5,63.0,OK,11.45,3.3,1.0,63.0,LIV,1124.0,1121.3333333333333,1121.3333333333333,0.06
Hall,Newcastle,DEF,5.0,79.0,OK,15.8,4.2,1.0,79.0,NEW,1159.3809523809523,1240.2380952380952,1240.2380952380952,0.06
Aina,Nott'm Forest,DEF,4.5,67.0,OK,14.89,3.5,1.0,67.0,NFO,1163.095238095238,1213.3333333333333,1213.3333333333333,0.06
O'Shea,Ipswich Town,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0,IPS,1188.952380952381,1188.5238095238094,1188.5238095238094,0.07
Muharemović,Leeds,DEF,5.0,110.0,OK,22.0,5.8,1.0,110.0,LEE,1133.4761904761904,1188.7142857142858,1188.7142857142858,0.09
Palestra,Chelsea,DEF,5.5,121.0,OK,22.0,6.4,1.0,121.0,CHE,1134.7619047619046,1140.428571428571,1140.428571428571,0.11
F.Kadıoğlu,Brighton,DEF,4.5,99.0,DOUBT,22.0,5.2,1.0,99.0,BHA,1177.285714285714,1207.0,1207.0,0.08
Mukiele,Sunderland,DEF,5.5,151.0,OK,27.45,7.9,1.0,151.0,SUN,1128.4285714285713,1119.0,1119.0,0.13
Araujo,Liverpool,DEF,5.5,121.0,OK,22.0,6.4,1.0,121.0,LIV,1124.0,1121.3333333333333,1121.3333333333333,0.11
Dalot,Man Utd,DEF,5.0,111.0,OK,22.2,5.8,1.0,111.0,MUN,1074.8095238095236,1079.047619047619,1079.047619047619,0.1
Vuskovic,Brighton,DEF,5.0,110.0,OK,22.0,5.8,1.0,110.0,BHA,1177.285714285714,1207.0,1207.0,0.09
Burn,Newcastle,DEF,5.0,93.0,OK,18.6,4.9,1.0,93.0,NEW,1159.3809523809523,1240.2380952380952,1240.2380952380952,0.07
Targett,Hull City,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0,HUL,1151.2380952380954,1223.5714285714282,1223.5714285714282,0.07
Jacquet,Liverpool,DEF,5.0,110.0,OK,22.0,5.8,1.0,110.0,LIV,1124.0,1121.3333333333333,1121.3333333333333,0.1
Milenković,Nott'm Forest,DEF,5.5,119.0,OK,21.64,6.3,1.0,119.0,NFO,1163.095238095238,1213.3333333333333,1213.3333333333333,0.1
Collins,Brentford,DEF,5.5,129.0,OK,23.45,6.8,1.0,129.0,BRE,1115.6190476190477,1164.9523809523807,1164.9523809523807,0.11
De Cuyper,Brighton,DEF,4.5,84.0,OK,18.67,4.4,1.0,84.0,BHA,1177.285714285714,1207.0,1207.0,0.07
A.García,Aston Villa,DEF,4.0,5.0,OK,1.25,0.3,1.0,5.0,AVL,1181.8095238095239,1202.2380952380954,1202.2380952380954,0.0
Rúben,Man City,DEF,5.5,113.0,OK,20.55,5.9,1.0,113.0,MCI,1155.2380952380952,1186.6666666666665,1186.6666666666665,0.1
Khusanov,Man City,DEF,5.5,67.0,OK,12.18,3.5,1.0,67.0,MCI,1155.2380952380952,1186.6666666666665,1186.6666666666665,0.06
Hincapie,Arsenal,DEF,5.5,87.0,OK,15.82,4.6,1.0,87.0,ARS,1118.904761904762,1172.1904761904761,1172.1904761904761,0.07
Branthwaite,Everton,DEF,5.5,32.0,OK,5.82,1.7,1.0,32.0,EVE,1125.4761904761904,1200.3333333333333,1200.3333333333333,0.03
Robinson,Fulham,DEF,4.5,65.0,OK,14.44,3.4,1.0,65.0,FUL,1157.7142857142858,1198.2857142857142,1198.2857142857142,0.05
