Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Raya,Arsenal,GKP,6.0,162.0,OK,27.0,8.5,1.0,162.0,ARS,1118.904761904762,1172.190476190476,1172.190476190476,0.14,0.0,0.1432787617809555
Kinsky,Spurs,GKP,4.5,20.0,OK,4.44,1.1,1.0,20.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.02,0.0,0.01762018259675204
Verbruggen,Brighton,GKP,4.5,130.0,OK,28.89,6.8,1.0,130.0,BHA,1177.285714285714,1207.0,1207.0,0.11,0.0,0.11164871582435791
Dubravka,Spurs,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,TOT,1117.7619047619046,1178.7619047619048,1178.7619047619048,0.08,0.0,0.08446998464894562
Lammens,Man Utd,GKP,5.0,109.0,OK,21.8,5.7,1.0,109.0,MUN,1074.8095238095236,1079.047619047619,1079.047619047619,0.1,0.0,0.1047127096204766
Donnarumma,Man City,GKP,5.5,135.0,OK,24.55,7.1,1.0,135.0,MCI,1155.2380952380952,1186.6666666666663,1186.6666666666663,0.11,0.0,0.11795224719101127
Pickford,Everton,GKP,5.5,135.0,OK,24.55,7.1,1.0,135.0,EVE,1125.4761904761904,1200.3333333333333,1200.3333333333333,0.11,0.0,0.11660927520133298
Kelleher,Brentford,GKP,5.0,143.0,OK,28.6,7.5,1.0,143.0,BRE,1115.6190476190477,1164.9523809523807,1164.9523809523807,0.12,0.0,0.12725842053629827
Palmer,Ipswich Town,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,IPS,1188.952380952381,1188.5238095238094,1188.5238095238094,0.08,0.0,0.08377619295644857
Martinez,Aston Villa,GKP,5.0,120.0,OK,24.0,6.3,1.0,120.0,AVL,1181.809523809524,1202.2380952380954,1202.2380952380954,0.1,0.0,0.10348199786113199
Roefs,Sunderland,GKP,5.0,136.0,OK,27.2,7.2,1.0,136.0,SUN,1128.428571428571,1119.0,1119.0,0.12,0.0,0.12604110813226094
Steele,Brighton,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,BHA,1177.285714285714,1207.0,1207.0,0.08,0.0,0.08249378624689312
A.Becker,Liverpool,GKP,5.5,91.0,OK,16.55,4.8,1.0,91.0,LIV,1124.0,1121.3333333333333,1121.3333333333333,0.08,0.0,0.08414982164090369
Petrović,Bournemouth,GKP,4.5,124.0,OK,27.56,6.5,1.0,124.0,BOU,1175.3333333333333,1239.142857142857,1239.142857142857,0.1,0.0,0.10374106525247868
Forster,Bournemouth,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0,BOU,1175.3333333333333,1239.142857142857,1239.142857142857,0.08,0.0,0.08035393128890939
