Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Spence,Spurs,DEF,4.5,19,4.22,1.0,19.0,TOT,2.4,7.92,0.0,7.92
Saliba,Arsenal,DEF,6.0,18,3.0,1.0,18.0,ARS,2.2,8.18,0.0,8.18
Mukiele,Sunderland,DEF,4.0,18,4.5,1.0,18.0,SUN,2.6,6.92,0.0,6.92
Diouf,West Ham,DEF,4.4,18,4.09,1.0,18.0,WHU,2.8,6.43,0.0,6.43
Bassey,Fulham,DEF,4.5,17,3.78,1.0,17.0,FUL,2.8,6.07,0.0,6.07
Bogle,Leeds,DEF,4.5,17,3.78,1.0,17.0,LEE,2.0,8.5,0.0,8.5
Botman,Newcastle,DEF,4.9,17,3.47,1.0,17.0,NEW,2.8,6.07,0.0,6.07
Estève,Burnley,DEF,4.0,16,4.0,1.0,16.0,BUR,3.2,5.0,0.0,5.0
Van den Berg,Brentford,DEF,4.5,16,3.56,1.0,16.0,BRE,3.6,4.44,0.0,4.44
O'Brien,Everton,DEF,5.0,16,3.2,1.0,16.0,EVE,2.8,5.71,0.0,5.71
Rúben,Man City,DEF,5.5,16,2.91,1.0,16.0,MCI,2.2,7.27,0.0,7.27
Digne,Aston Villa,DEF,4.5,15,3.33,1.0,15.0,AVL,3.4,4.41,3.25,5.37
Collins,Brentford,DEF,5.0,15,3.0,1.0,15.0,BRE,3.6,4.17,0.0,4.17
Lewis-Potter,Brentford,DEF,5.0,15,3.0,1.0,15.0,BRE,3.6,4.17,1.25,4.51
Kayode,Brentford,DEF,4.5,15,3.33,1.0,15.0,BRE,3.6,4.17,0.0,4.17
Tete,Fulham,DEF,4.5,15,3.33,1.0,15.0,FUL,2.8,5.36,0.0,5.36
De Ligt,Man Utd,DEF,5.0,15,3.0,1.0,15.0,MUN,2.8,5.36,0.0,5.36
Hartman,Burnley,DEF,4.0,14,3.5,1.0,14.0,BUR,3.2,4.38,1.5,4.84
Maguire,Man Utd,DEF,4.4,14,3.18,1.0,14.0,MUN,2.8,5.0,0.0,5.0
N.Williams,Nott'm Forest,DEF,5.0,14,2.8,1.0,14.0,NFO,2.6,5.38,0.0,5.38
Reinildo,Sunderland,DEF,4.0,14,3.5,1.0,14.0,SUN,2.6,5.38,0.0,5.38
Dunk,Brighton,DEF,4.5,13,2.89,1.0,13.0,BHA,2.4,5.42,0.0,5.42
Lewis,Man City,DEF,5.0,13,2.6,1.0,13.0,MCI,2.2,5.91,0.0,5.91
Semenyo,Bournemouth,MID,7.7,41,5.32,1.0,41.0,BOU,2.4,17.08,2.5,18.12
Anthony,Burnley,MID,5.5,34,6.18,1.0,34.0,BUR,3.2,10.62,1.25,11.02
Caicedo,Chelsea,MID,5.6,33,5.89,1.0,33.0,CHE,2.8,11.79,0.0,11.79
Enzo,Chelsea,MID,6.7,30,4.48,1.2,36.0,CHE,2.8,12.86,0.0,12.86
M.Salah,Liverpool,MID,14.5,30,2.07,1.5,45.0,LIV,3.0,15.0,6.25,17.08
Stach,Leeds,MID,5.0,29,5.8,1.0,29.0,LEE,2.0,14.5,4.0,16.5
Ndiaye,Everton,MID,6.5,28,4.31,1.0,28.0,EVE,2.8,10.0,5.0,11.79
Zubimendi,Arsenal,MID,5.4,27,5.0,1.0,27.0,ARS,2.2,12.27,0.0,12.27
Cullen,Burnley,MID,5.0,27,5.4,1.0,27.0,BUR,3.2,8.44,0.75,8.67
Gravenberch,Liverpool,MID,5.6,27,4.82,1.0,27.0,LIV,3.0,9.0,0.0,9.0
Iwobi,Fulham,MID,6.5,26,4.0,1.0,26.0,FUL,2.8,9.29,0.0,9.29
Reijnders,Man City,MID,5.6,26,4.64,1.0,26.0,MCI,2.2,11.82,1.5,12.5
B.Fernandes,Man Utd,MID,9.0,26,2.89,1.0,26.0,MUN,2.8,9.29,0.0,9.29
Garner,Everton,MID,5.0,25,5.0,1.0,25.0,EVE,2.8,8.93,2.0,9.64
Grealish,Everton,MID,6.8,25,3.68,1.0,25.0,EVE,2.8,8.93,0.0,8.93
Gakpo,Liverpool,MID,7.7,25,3.25,1.0,25.0,LIV,3.0,8.33,2.5,9.17
Kudus,Spurs,MID,6.6,25,3.79,1.0,25.0,TOT,2.4,10.42,0.75,10.73
Minteh,Brighton,MID,5.9,24,4.07,1.0,24.0,BHA,2.4,10.0,0.0,10.0
