Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Raya,Arsenal,GKP,5.9,66,OK,11.19,11.0,1.0,66.0,ARS,1139.4666666666665,1165.8,1165.8,0.06,0.0,0.061331274661176875
Roefs,Sunderland,GKP,4.7,63,OK,13.4,4.0,1.0,63.0,SUN,1173.4666666666667,1251.4,1251.4,0.05,0.0,0.051941825155825475
Henderson,Crystal Palace,GKP,5.1,60,OK,11.76,9.0,1.0,60.0,CRY,1162.0666666666666,1191.6,1191.6,0.05,0.0,0.0541289023162135
Pickford,Everton,GKP,5.5,60,OK,10.91,8.0,1.0,60.0,EVE,1180.4666666666667,1166.1333333333334,1166.1333333333334,0.05,0.0,0.054882231877429674
Martinez,Aston Villa,GKP,5.1,54,DOUBT,10.59,11.0,1.0,54.0,AVL,1198.6666666666667,1194.4,1194.4,0.05,0.0,0.04981580709979906
Vicario,Spurs,GKP,5.0,51,OK,10.2,3.0,1.0,51.0,TOT,1149.9333333333334,1208.7333333333331,1208.7333333333331,0.04,0.0,0.04343389774419503
Sánchez,Chelsea,GKP,4.8,47,OK,9.79,4.0,1.0,47.0,CHE,1175.4666666666667,1175.533333333333,1175.533333333333,0.04,0.0,0.04168320762207226
Petrović,Bournemouth,GKP,4.5,45,OK,10.0,4.0,1.0,45.0,BOU,1136.4666666666667,1189.4666666666665,1189.4666666666665,0.04,0.0,0.03951350745432127
Verbruggen,Brighton,GKP,4.4,41,OK,9.32,8.0,1.0,41.0,BHA,1152.4,1196.9333333333332,1196.9333333333332,0.03,0.0,0.03759607886821879
Dúbravka,Burnley,GKP,4.0,40,OK,10.0,3.0,1.0,40.0,BUR,1163.8,1171.8,1171.8,0.03,0.0,0.035415599931728964
Leno,Fulham,GKP,4.9,40,OK,8.16,1.0,1.0,40.0,FUL,1133.7333333333331,1154.6666666666667,1154.6666666666667,0.03,0.0,0.03507505773672055
Kelleher,Brentford,GKP,4.5,38,OK,8.44,4.0,1.0,38.0,BRE,1123.7333333333331,1172.3333333333333,1172.3333333333333,0.03,0.0,0.03411998862667046
Sels,Nott'm Forest,GKP,4.7,38,OK,8.09,8.0,1.0,38.0,NFO,1164.5333333333335,1176.6666666666667,1176.6666666666667,0.03,0.0,0.035694050991501414
Donnarumma,Man City,GKP,5.7,37,OK,6.49,5.0,1.0,37.0,MCI,1127.7333333333331,1160.7333333333331,1160.7333333333331,0.03,0.0,0.034030210786284536
A.Becker,Liverpool,GKP,5.4,31,OK,5.74,9.0,1.0,31.0,LIV,1119.7333333333331,1184.2666666666669,1184.2666666666669,0.03,0.0,0.029976356676424225
Areola,West Ham,GKP,4.3,29,OK,6.74,5.0,1.0,29.0,WHU,1153.6,1218.6,1218.6,0.02,0.0,0.0258493353028065
Perri,Leeds,GKP,4.5,23,OK,5.11,5.0,1.0,23.0,LEE,1172.3333333333333,1224.6,1224.6,0.02,0.0,0.02082312591866732
Lammens,Man Utd,GKP,5.1,22,OK,4.31,4.0,1.0,22.0,MUN,1120.7333333333331,1174.466666666667,1174.466666666667,0.02,0.0,0.020434807288414594
Johnstone,Wolves,GKP,4.5,21,OK,4.67,5.0,1.0,21.0,WOL,1210.4666666666665,1251.1333333333334,1251.1333333333334,0.02,0.0,0.018782970107102892
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0,LIV,1119.7333333333331,1184.2666666666669,1184.2666666666669,0.02,0.0,0.01604368385498761
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0,MCI,1127.7333333333331,1160.7333333333331,1160.7333333333331,0.01,0.0,0.009476767560737467
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,MUN,1120.7333333333331,1174.466666666667,1174.466666666667,0.01,0.0,0.009365953340523356
Darlow,Leeds,GKP,4.0,10,OK,2.5,0.0,1.0,10.0,LEE,1172.3333333333333,1224.6,1224.6,0.01,0.0,0.008165931732810714
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0,WHU,1153.6,1218.6,1218.6,0.01,0.0,0.007385524372230429
M.Bizot,Aston Villa,GKP,4.3,8,OK,1.86,1.0,1.0,8.0,AVL,1198.6666666666667,1194.4,1194.4,0.01,0.0,0.007116543871399866
José Sá,Wolves,GKP,4.3,5,OK,1.16,0.0,1.0,5.0,WOL,1210.4666666666665,1251.1333333333334,1251.1333333333334,0.0,0.0,0.00399637661853253
Ramsdale,Newcastle,GKP,4.8,3,OK,0.62,3.0,1.0,3.0,NEW,1105.2,1171.5333333333335,1171.5333333333335,0.0,0.0,0.0038411198998463546
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,1.0,1.0,1.0,CHE,1175.4666666666667,1175.533333333333,1175.533333333333,0.0,0.0,0.0012760165598593549
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0,0.0,1.0,0.0,ARS,1139.4666666666665,1165.8,1165.8,0.0,0.0,0.0
Muñoz,Crystal Palace,DEF,6.1,89,OK,14.59,15.0,1.0,89.0,CRY,1162.0666666666666,1191.6,1191.6,0.07,0.0,0.08098355152735819
Guehi,Crystal Palace,DEF,5.1,83,OK,16.27,83.0,1.0,83.0,CRY,1162.0666666666666,1191.6,1191.6,0.07,0.0,0.10448136958710978
J.Timber,Arsenal,DEF,6.4,78,OK,12.19,6.0,1.0,78.0,ARS,1139.4666666666665,1165.8,1165.8,0.07,0.0,0.06948018528049409
Lacroix,Crystal Palace,DEF,5.1,78,OK,15.29,11.0,1.0,78.0,CRY,1162.0666666666666,1191.6,1191.6,0.07,0.0,0.07007385028533065
Cash,Aston Villa,DEF,4.7,72,OK,15.32,18.0,1.0,72.0,AVL,1198.6666666666667,1194.4,1194.4,0.06,1.5,0.06907233757535164
