Icon,Surname,Full_Info,Team,Appearances,Time Played - Exact,Goals From Penalties,Goals From Set Plays,Headed Goal Attempts From Set Plays,Shots From Set Plays,Corners,Corners - Successful,Crosses From Free Kick,Crosses From Free Kick - Successful,Mins,Mins_90s,Corners_per_90,FK_Crosses_per_90,SetPieceShots_per_90,Club
,Arokodare,"Arokodare Tolu Arokodare (Wolverhampton Wanderers, Forward)",WOL,33,1528,0,2,13,16,0,0,0,0,1528,16.977777777777778,0.0,0.0,0.94,WOL
,Awoniyi,"Awoniyi Taiwo Awoniyi (Nottingham Forest, Forward)",NFO,17,565,0,0,2,2,0,0,0,0,565,6.277777777777778,0.0,0.0,0.32,Nottingham Forest
,Ayari,"Ayari Yasin Ayari (Brighton and Hove Albion, Midfielder)",BHA,29,1983,0,0,0,8,16,4,4,2,1983,22.033333333333335,0.73,0.18,0.36,Brighton and Hove Albion
,Badiashile,"Badiashile Benoît Badiashile (Chelsea, Defender)",CHE,8,480,0,0,0,0,0,0,0,0,480,5.333333333333333,0.0,0.0,0.0,Chelsea
,Bailey,"Bailey (Leon) Leon Bailey (Aston Villa, Midfielder)",AVL,13,499,0,0,0,2,14,3,0,0,499,5.544444444444444,2.53,0.0,0.36,Aston Villa
,Bakwa,"Bakwa Dilane Bakwa (Nottingham Forest, Midfielder)",NFO,14,587,0,0,0,0,12,3,1,0,587,6.522222222222222,1.84,0.15,0.0,Nottingham Forest
,Baleba,"Baleba Carlos Baleba (Brighton and Hove Albion, Midfielder)",BHA,31,1677,0,0,0,4,0,0,0,0,1677,18.633333333333333,0.0,0.0,0.21,Brighton and Hove Albion
,Ballard,"Ballard Danny Ballard (Sunderland, Defender)",SUN,29,2164,0,2,19,24,0,0,0,0,2164,24.044444444444444,0.0,0.0,1.0,Sunderland
,Barkley,"Barkley Ross Barkley (Aston Villa, Midfielder)",AVL,21,903,0,3,4,7,1,0,0,0,903,10.033333333333333,0.1,0.0,0.7,Aston Villa
,Barnes,"Barnes (Ashley) Ashley Barnes (Burnley, Forward)",BUR,7,95,0,0,0,1,0,0,0,0,95,1.0555555555555556,0.0,0.0,0.95,BUR
,Barnes,"Barnes (Harvey) Harvey Barnes (Newcastle United, Midfielder)",NEW,37,2056,0,2,3,13,2,1,0,0,2056,22.844444444444445,0.09,0.0,0.57,Newcastle United
,Barry,"Barry Thierno Barry (Everton, Forward)",EVE,38,1999,0,1,8,11,0,0,0,0,1999,22.211111111111112,0.0,0.0,0.5,Everton
,Bassey,"Bassey Calvin Bassey (Fulham, Defender)",FUL,30,2554,0,1,6,10,0,0,0,0,2554,28.377777777777776,0.0,0.0,0.35,Fulham
,Bellegarde,"Bellegarde Jean-Ricner Bellegarde (Wolverhampton Wanderers, Midfielder)",WOL,26,1294,0,0,1,5,5,1,3,0,1294,14.377777777777778,0.35,0.21,0.35,WOL
,Bentancur,"Bentancur Rodrigo Bentancur (Tottenham Hotspur, Midfielder)",TOT,26,1880,0,1,3,11,0,0,0,0,1880,20.88888888888889,0.0,0.0,0.53,Tottenham Hotspur
,Berge,"Berge Sander Berge (Fulham, Midfielder)",FUL,35,2914,0,0,3,7,0,0,0,0,2914,32.37777777777778,0.0,0.0,0.22,Fulham
,Bergvall,"Bergvall Lucas Bergvall (Tottenham Hotspur, Midfielder)",TOT,23,1026,0,0,1,3,0,0,0,0,1026,11.4,0.0,0.0,0.26,Tottenham Hotspur
,Bijol,"Bijol Jaka Bijol (Leeds United, Defender)",LEE,25,1890,0,1,14,15,0,0,0,0,1890,21.0,0.0,0.0,0.71,Leeds United
,Bissouma,"Bissouma Yves Bissouma (Tottenham Hotspur, Midfielder)",TOT,11,619,0,0,0,1,0,0,0,0,619,6.877777777777778,0.0,0.0,0.15,Tottenham Hotspur
,Bobb,"Bobb Oscar Bobb (Fulham, Midfielder)",FUL,23,1097,0,0,0,4,5,1,1,0,1097,12.188888888888888,0.41,0.08,0.33,Fulham
,Bogarde,"Bogarde Lamar Bogarde (Aston Villa, Defender)",AVL,28,1139,0,0,0,0,0,0,0,0,1139,12.655555555555555,0.0,0.0,0.0,Aston Villa
,Bogle,"Bogle Jayden Bogle (Leeds United, Defender)",LEE,34,2748,0,0,0,2,0,0,0,0,2748,30.533333333333335,0.0,0.0,0.07,Leeds United
,Bruno Fernandes,"Bruno Fernandes Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,35,3062,4,1,0,16,90,29,30,9,3062,34.022222222222226,2.65,0.88,0.47,Manchester United
,Bornauw,"Bornauw Sebastiaan Bornauw (Leeds United, Defender)",LEE,12,453,0,0,1,1,0,0,0,0,453,5.033333333333333,0.0,0.0,0.2,Leeds United
,Boscagli,"Boscagli Olivier Boscagli (Brighton and Hove Albion, Defender)",BHA,12,821,0,0,0,0,4,0,0,0,821,9.122222222222222,0.44,0.0,0.0,Brighton and Hove Albion
,Botman,"Botman Sven Botman (Newcastle United, Defender)",NEW,25,1838,0,1,11,15,0,0,0,0,1838,20.42222222222222,0.0,0.0,0.73,Newcastle United
,Bowen,"Bowen Jarrod Bowen (West Ham United, Forward)",WHU,38,3402,1,1,5,12,57,15,2,0,3402,37.8,1.51,0.05,0.32,WHU
,Bradley,"Bradley Conor Bradley (Liverpool, Defender)",LIV,15,944,0,0,0,2,1,0,0,0,944,10.488888888888889,0.1,0.0,0.19,Liverpool
,Branthwaite,"Branthwaite Jarrad Branthwaite (Everton, Defender)",EVE,10,680,0,1,4,4,0,0,0,0,680,7.555555555555555,0.0,0.0,0.53,Everton
,Brobbey,"Brobbey Brian Brobbey (Sunderland, Forward)",SUN,31,1975,0,1,2,5,0,0,0,0,1975,21.944444444444443,0.0,0.0,0.23,Sunderland
,Broja,"Broja Armando Broja (Burnley, Forward)",BUR,24,948,0,1,2,4,0,0,0,0,948,10.533333333333333,0.0,0.0,0.38,BUR
,Brooks,"Brooks (David) David Brooks (Bournemouth, Midfielder)",BOU,31,1307,0,1,3,14,22,3,6,2,1307,14.522222222222222,1.51,0.41,0.96,Bournemouth
,Bruun Larsen,"Bruun Larsen Jacob Bruun Larsen (Burnley, Midfielder)",BUR,28,1107,0,0,1,10,18,4,3,0,1107,12.3,1.46,0.24,0.81,BUR
,Buendía,"Buendía Emiliano Buendía (Aston Villa, Midfielder)",AVL,36,1807,0,2,2,14,4,0,0,0,1807,20.07777777777778,0.2,0.0,0.7,Aston Villa
,Bueno,"Bueno (Hugo) Hugo Bueno (Wolverhampton Wanderers, Defender)",WOL,35,2408,0,1,0,4,45,12,13,5,2408,26.755555555555556,1.68,0.49,0.15,WOL
,Bueno,"Bueno (Santiago) Santiago Bueno (Wolverhampton Wanderers, Defender)",WOL,29,2559,0,3,4,8,0,0,0,0,2559,28.433333333333334,0.0,0.0,0.28,WOL
,Buonanotte,"Buonanotte Facundo Buonanotte (Leeds United, Midfielder)",LEE,4,95,0,0,0,0,2,1,0,0,95,1.0555555555555556,1.89,0.0,0.0,Leeds United
,Burn,"Burn Dan Burn (Newcastle United, Defender)",NEW,29,2223,0,1,7,7,0,0,0,0,2223,24.7,0.0,0.0,0.28,Newcastle United
,Moises Caicedo,"Moises Caicedo Moises Caicedo (Chelsea, Midfielder)",CHE,33,2788,0,1,0,10,0,0,0,0,2788,30.977777777777778,0.0,0.0,0.32,Chelsea
,Cairney,"Cairney Tom Cairney (Fulham, Midfielder)",FUL,24,871,0,1,0,5,4,1,1,0,871,9.677777777777777,0.41,0.1,0.52,Fulham
,Calafiori,"Calafiori Riccardo Calafiori (Arsenal, Defender)",ARS,26,1716,0,1,9,12,0,0,0,0,1716,19.066666666666666,0.0,0.0,0.63,Arsenal
,Calvert-Lewin,"Calvert-Lewin Dominic Calvert-Lewin (Leeds United, Forward)",LEE,35,2734,4,3,10,18,0,0,0,0,2734,30.377777777777776,0.0,0.0,0.59,Leeds United
,Canvot,"Canvot Jaydee Canvot (Crystal Palace, Defender)",CRY,20,1362,0,0,3,5,0,0,0,0,1362,15.133333333333333,0.0,0.0,0.33,Crystal Palace
,Pedro Lima,"Pedro Lima Pedro Henrique Cardoso de Lima (Wolverhampton Wanderers, Defender)",WOL,9,280,0,0,0,1,0,0,1,0,280,3.111111111111111,0.0,0.32,0.32,WOL
,Carvalho,"Carvalho Fabio Carvalho (Brentford, Midfielder)",BRE,6,130,0,1,0,1,3,1,0,0,130,1.4444444444444444,2.08,0.0,0.69,Brentford
,Cash,"Cash Matthew Cash (Aston Villa, Defender)",AVL,35,3008,0,2,0,14,47,12,6,1,3008,33.422222222222224,1.41,0.18,0.42,Aston Villa
,Dário Essugo,"Dário Essugo Dário Cassia Luís Essugo (Chelsea, Midfielder)",CHE,3,49,0,0,0,0,0,0,0,0,49,0.5444444444444444,0.0,0.0,0.0,Chelsea
,Castagne,"Castagne Timothy Castagne (Fulham, Defender)",FUL,30,1887,0,0,4,8,0,0,0,0,1887,20.966666666666665,0.0,0.0,0.38,Fulham
,Taty Castellanos,"Taty Castellanos Valentín Castellanos (West Ham United, Forward)",WHU,18,1380,0,2,9,11,0,0,0,0,1380,15.333333333333334,0.0,0.0,0.72,WHU
,Chalobah,"Chalobah Trevoh Chalobah (Chelsea, Defender)",CHE,34,2796,0,3,9,12,0,0,0,0,2796,31.066666666666666,0.0,0.0,0.39,Chelsea
,Cherki,"Cherki Rayan Cherki (Manchester City, Midfielder)",MCI,33,1866,0,1,0,13,55,13,7,2,1866,20.733333333333334,2.65,0.34,0.63,Manchester City
