Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Mukiele,Sunderland,DEF,4.5,102,OK,22.67,10.0,1.0,102.0,SUN,1142.809523809524,1195.904761904762,1195.904761904762,0.09,0.0,0.09114438161981364
Lacroix,Crystal Palace,DEF,5.1,100,OK,19.61,2.0,1.0,100.0,CRY,1109.6190476190477,1173.142857142857,1173.142857142857,0.09,0.0,0.08643448611787628
James,Chelsea,DEF,5.7,98,OK,17.19,15.0,1.0,98.0,CHE,1070.5238095238094,1139.952380952381,1139.952380952381,0.09,2.0,0.09693387359538828
Keane,Everton,DEF,4.7,96,DOUBT,20.43,96.0,1.0,96.0,EVE,1142.904761904762,1188.9047619047617,1188.9047619047617,0.08,0.0,0.13726919533784598
Van de Ven,Spurs,DEF,4.6,96,DOUBT,20.87,7.0,1.0,96.0,TOT,1206.857142857143,1225.952380952381,1225.952380952381,0.08,0.0,0.08230335987570403
Cash,Aston Villa,DEF,4.8,95,OK,19.79,8.0,1.0,95.0,AVL,1133.095238095238,1192.047619047619,1192.047619047619,0.08,1.5,0.08565094075819918
Senesi,Bournemouth,DEF,4.6,94,OK,20.43,6.0,1.0,94.0,BOU,1102.2380952380952,1150.4761904761904,1150.4761904761904,0.08,0.0,0.08535596026490068
Romero,Spurs,DEF,5.0,92,OK,18.4,19.0,1.0,92.0,TOT,1206.857142857143,1225.952380952381,1225.952380952381,0.08,0.0,0.08589240629248397
Collins,Brentford,DEF,5.0,91,OK,18.2,91.0,1.0,91.0,BRE,1205.2857142857144,1203.333333333333,1203.333333333333,0.08,0.0,0.1285595567867036
Virgil,Liverpool,DEF,5.9,90,OK,15.25,11.0,1.0,90.0,LIV,1179.857142857143,1199.3333333333333,1199.3333333333333,0.08,0.0,0.08146192329071707
Andersen,Fulham,DEF,4.6,86,OK,18.7,10.0,1.0,86.0,FUL,1169.2857142857144,1212.7142857142856,1212.7142857142856,0.07,0.0,0.07668747791259278
