Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Virgil,Liverpool,DEF,5.9,90,OK,15.25,11.0,1.0,90.0
Andersen,Fulham,DEF,4.6,86,OK,18.7,10.0,1.0,86.0
Van Hecke,Brighton,DEF,4.5,85,OK,18.89,7.0,1.0,85.0
Mitchell,Crystal Palace,DEF,5.1,85,OK,16.67,1.0,1.0,85.0
Thiaw,Newcastle,DEF,5.1,85,OK,16.67,10.0,1.0,85.0
O'Reilly,Man City,DEF,5.0,84,DOUBT,16.8,5.0,1.0,84.0
Ballard,Sunderland,DEF,4.6,83,OK,18.04,6.0,1.0,83.0
Konaté,Liverpool,DEF,5.4,81,DOUBT,15.0,2.0,1.0,81.0
O'Brien,Everton,DEF,4.9,80,OK,16.33,13.0,1.0,80.0
Gvardiol,Man City,DEF,5.9,77,OK,13.05,0.0,1.0,77.0
Truffert,Bournemouth,DEF,4.5,74,OK,16.44,7.0,1.0,74.0
Gusto,Chelsea,DEF,4.9,74,OK,15.1,1.0,1.0,74.0
Dorgu,Man Utd,DEF,4.4,74,OK,16.82,23.0,1.0,74.0
Dalot,Man Utd,DEF,4.5,71,OK,15.78,71.0,1.0,71.0
Saliba,Arsenal,DEF,6.0,70,DOUBT,11.67,9.0,1.0,70.0
Konsa,Aston Villa,DEF,4.4,70,OK,15.91,8.0,1.0,70.0
Digne,Aston Villa,DEF,4.5,68,OK,15.11,4.0,1.0,68.0
Struijk,Leeds,DEF,4.3,68,OK,15.81,10.0,1.0,68.0
Lewis-Potter,Brentford,DEF,4.9,67,OK,13.67,2.0,1.0,67.0
Hume,Sunderland,DEF,4.5,66,OK,14.67,1.0,1.0,66.0
Kayode,Brentford,DEF,4.5,65,OK,14.44,2.0,1.0,65.0
Tete,Fulham,DEF,4.5,65,OK,14.44,0.0,1.0,65.0
Mykolenko,Everton,DEF,4.9,64,OK,13.06,8.0,1.0,64.0
Murillo,Nott'm Forest,DEF,5.2,62,OK,11.92,62.0,1.0,62.0
F.Kadıoğlu,Brighton,DEF,4.4,59,OK,13.41,3.0,1.0,59.0
Gudmundsson,Leeds,DEF,3.8,55,OK,14.47,6.0,1.0,55.0
Van den Berg,Brentford,DEF,4.5,53,OK,11.78,1.0,1.0,53.0
Dunk,Brighton,DEF,4.5,53,OK,11.78,5.0,1.0,53.0
Bogle,Leeds,DEF,4.4,53,OK,12.05,8.0,1.0,53.0
Kerkez,Bournemouth,DEF,5.6,53,OK,9.46,1.0,1.0,53.0
Shaw,Man Utd,DEF,4.5,53,OK,11.78,6.0,1.0,53.0
Hall,Newcastle,DEF,5.3,52,OK,9.81,52.0,1.0,52.0
Semenyo,Man City,MID,7.4,130,OK,17.57,130.0,1.0,130.0
Rice,Arsenal,MID,6.9,126,OK,18.26,4.0,1.0,126.0
B.Fernandes,Man Utd,MID,9.5,121,OK,12.74,15.0,1.0,121.0
Bruno G.,Newcastle,MID,6.8,120,OK,17.65,3.0,1.0,120.0
Wilson,Fulham,MID,6.1,114,OK,18.69,12.0,1.0,114.0
Rogers,Aston Villa,MID,7.7,111,OK,14.42,10.0,1.0,111.0
Enzo,Chelsea,MID,6.7,106,OK,15.82,14.0,1.0,106.0
Foden,Man City,MID,8.4,102,OK,12.14,2.0,1.0,102.0
Saka,Arsenal,MID,10.0,101,OK,10.1,3.0,1.0,101.0
Garner,Everton,MID,5.2,101,OK,19.42,6.0,1.0,101.0
Gravenberch,Liverpool,MID,5.7,97,OK,17.02,3.0,1.0,97.0
Anderson,Nott'm Forest,MID,5.3,97,OK,18.3,11.0,1.0,97.0
Stach,Leeds,MID,4.9,95,OK,19.39,8.0,1.0,95.0
Neto,Chelsea,MID,7.1,94,OK,13.24,6.0,1.0,94.0
Casemiro,Man Utd,MID,5.5,92,OK,16.73,5.0,1.0,92.0
Aaronson,Leeds,MID,5.4,91,OK,16.85,91.0,1.0,91.0
Gibbs-White,Nott'm Forest,MID,7.3,90,OK,12.33,9.0,1.0,90.0
Xhaka,Sunderland,MID,5.2,90,DOUBT,17.31,2.0,1.0,90.0
Schade,Brentford,MID,7.2,88,OK,12.22,3.0,1.0,88.0
Szoboszlai,Liverpool,MID,6.6,84,OK,12.73,13.0,1.0,84.0
Trossard,Arsenal,MID,6.8,83,OK,12.21,3.0,1.0,83.0
Wirtz,Liverpool,MID,8.3,83,OK,10.0,83.0,1.0,83.0
Reijnders,Man City,MID,5.2,82,OK,15.77,82.0,1.0,82.0
Minteh,Brighton,MID,5.8,81,OK,13.97,2.0,1.0,81.0
E Le Fee,Sunderland,MID,4.9,81,OK,16.53,10.0,1.0,81.0
Cherki,Man City,MID,6.6,80,OK,12.12,80.0,1.0,80.0
M.Fernandes,West Ham,MID,5.5,80,OK,14.55,17.0,1.0,80.0
J.Palhinha,Spurs,MID,5.5,78,OK,14.18,0.0,1.0,78.0
Ayari,Brighton,MID,4.8,77,OK,16.04,11.0,1.0,77.0
Caicedo,Chelsea,MID,5.7,76,OK,13.33,76.0,1.0,76.0
Dewsbury-Hall,Everton,MID,4.9,76,OK,15.51,76.0,1.0,76.0
Anthony,Burnley,MID,5.0,73,OK,14.6,4.0,1.0,73.0
Ampadu,Leeds,MID,4.9,72,OK,14.69,72.0,1.0,72.0
Doku,Man City,MID,6.4,72,DOUBT,11.25,3.0,1.0,72.0
McGinn,Aston Villa,MID,5.4,71,OK,13.15,1.0,1.0,71.0
Yarmoliuk,Brentford,MID,5.0,70,OK,14.0,4.0,1.0,70.0
Barnes,Newcastle,MID,6.1,70,OK,11.48,5.0,1.0,70.0
Eze,Arsenal,MID,7.3,68,OK,9.32,1.0,1.0,68.0
Ugochukwu,Burnley,MID,5.0,67,OK,13.4,6.0,1.0,67.0
Merino,Arsenal,MID,5.5,66,OK,12.0,66.0,1.0,66.0
O.Dango,Brentford,MID,5.8,66,OK,11.38,66.0,1.0,66.0
Georginio,Brighton,MID,5.6,62,OK,11.07,2.0,1.0,62.0
Florentino,Burnley,MID,5.0,61,OK,12.2,61.0,1.0,61.0
Damsgaard,Brentford,MID,5.7,61,OK,10.7,61.0,1.0,61.0
Haaland,Man City,FWD,14.1,166,OK,11.77,3.0,1.1,182.6
Thiago,Brentford,FWD,6.5,124,OK,19.08,4.0,1.0,124.0
Bowen,West Ham,FWD,7.6,105,OK,13.82,15.0,1.0,105.0
João Pedro,Chelsea,FWD,7.2,104,OK,14.44,20.0,1.0,104.0
Calvert-Lewin,Leeds,FWD,6.0,93,OK,15.5,12.0,1.0,93.0
Watkins,Aston Villa,FWD,8.8,91,DOUBT,10.34,10.0,1.0,91.0
Ekitiké,Liverpool,FWD,8.8,87,OK,9.89,3.0,1.0,87.0
Mateta,Crystal Palace,FWD,7.5,84,OK,11.2,4.0,1.0,84.0
Woltemade,Newcastle,FWD,7.1,81,OK,11.41,3.0,1.0,81.0
Evanilson,Bournemouth,FWD,7.0,72,OK,10.29,10.0,1.0,72.0
Raúl,Fulham,FWD,6.2,71,OK,11.45,9.0,1.0,71.0
Welbeck,Brighton,FWD,6.2,68,OK,10.97,4.0,1.0,68.0
Barry,Everton,FWD,5.7,59,OK,10.35,18.0,1.0,59.0
Wilson,West Ham,FWD,5.8,59,OK,10.17,7.0,1.0,59.0
Kroupi.Jr,Bournemouth,FWD,4.6,57,OK,12.39,3.0,1.0,57.0
Gyökeres,Arsenal,FWD,8.7,56,OK,6.44,2.0,1.0,56.0
Šeško,Man Utd,FWD,7.2,56,OK,7.78,1.0,1.0,56.0
Brobbey,Sunderland,FWD,5.6,55,OK,9.82,15.0,1.0,55.0
Igor Jesus,Nott'm Forest,FWD,5.8,55,OK,9.48,55.0,1.0,55.0
Isidor,Sunderland,FWD,5.2,50,DOUBT,9.62,0.0,1.0,50.0
Beto,Everton,FWD,5.0,38,OK,7.6,2.0,1.0,38.0
Strand Larsen,Wolves,FWD,6.1,38,OK,6.23,4.0,1.0,38.0
Mané,Wolves,FWD,4.5,38,OK,8.44,38.0,1.0,38.0
Broja,Burnley,FWD,5.2,36,OK,6.92,36.0,1.0,36.0
Toti,Wolves,FWD,5.4,35,OK,6.48,3.0,1.0,35.0
Zirkzee,Man Utd,FWD,5.8,33,DOUBT,5.69,0.0,1.0,33.0
Mané,Wolves,FWD,4.5,25,OK,5.56,25.0,1.0,25.0
Mayenda,Sunderland,FWD,5.2,22,OK,4.23,0.0,1.0,22.0
Kolo Muani,Spurs,FWD,6.9,21,OK,3.04,0.0,1.0,21.0
Kostoulas,Brighton,FWD,4.8,18,OK,3.75,0.0,1.0,18.0
Enes Ünal,Bournemouth,FWD,5.4,14,OK,2.59,2.0,1.0,14.0
Delap,Chelsea,FWD,6.2,14,OK,2.26,14.0,1.0,14.0
Marc Guiu,Chelsea,FWD,4.2,12,OK,2.86,0.0,1.0,12.0
Wissa,Newcastle,FWD,7.3,11,OK,1.51,2.0,1.0,11.0
Kalimuendo,Nott'm Forest,FWD,6.0,8,OK,1.33,8.0,1.0,8.0
Pablo,West Ham,FWD,5.5,5,OK,0.91,4.0,1.0,5.0
Havertz,Arsenal,FWD,7.3,1,OK,0.14,0.0,1.0,1.0
Scarlett,Spurs,FWD,4.3,1,OK,0.23,0.0,1.0,1.0
Taty,West Ham,FWD,5.5,1,OK,0.18,1.0,1.0,1.0
Casey,Man City,FWD,4.5,0,OK,0.0,0.0,1.0,0.0
Graham,Everton,FWD,4.5,0,OK,0.0,0.0,1.0,0.0
