Surname,Team,Position,Price,TP,Status
Haaland,Man City,FWD,14.1,166,OK
Thiago,Brentford,FWD,6.5,124,OK
Bowen,West Ham,FWD,7.6,105,OK
João Pedro,Chelsea,FWD,7.2,104,OK
Calvert-Lewin,Leeds,FWD,6.0,93,OK
Watkins,Aston Villa,FWD,8.8,91,DOUBT
Ekitiké,Liverpool,FWD,8.8,87,OK
Mateta,Crystal Palace,FWD,7.5,84,OK
Woltemade,Newcastle,FWD,7.1,81,OK
Richarlison,Spurs,FWD,6.3,75,INJURY
Evanilson,Bournemouth,FWD,7.0,72,OK
Raúl,Fulham,FWD,6.2,71,OK
Welbeck,Brighton,FWD,6.2,68,OK
Barry,Everton,FWD,5.7,59,OK
Wilson,West Ham,FWD,5.8,59,OK
Kroupi.Jr,Bournemouth,FWD,4.6,57,OK
Gyökeres,Arsenal,FWD,8.7,56,OK
Šeško,Man Utd,FWD,7.2,56,OK
Brobbey,Sunderland,FWD,5.6,55,OK
Igor Jesus,Nott'm Forest,FWD,5.8,55,OK
Isidor,Sunderland,FWD,5.2,50,DOUBT
Nmecha,Leeds,FWD,5.0,49,INJURY
Flemming,Burnley,FWD,5.3,42,INJURY
Foster,Burnley,FWD,4.9,42,INJURY
Beto,Everton,FWD,5.0,38,OK
Strand Larsen,Wolves,FWD,6.1,38,OK
Mané,Wolves,FWD,4.5,38,OK
Broja,Burnley,FWD,5.2,36,OK
Toti,Wolves,FWD,5.4,35,OK
Zirkzee,Man Utd,FWD,5.8,33,DOUBT
Isak,Liverpool,FWD,10.3,29,INJURY
Wood,Nott'm Forest,FWD,7.2,25,INJURY
Mané,Wolves,FWD,4.5,25,OK
Nketiah,Crystal Palace,FWD,5.4,23,INJURY
Mayenda,Sunderland,FWD,5.2,22,OK
Kolo Muani,Spurs,FWD,6.9,21,OK
Kostoulas,Brighton,FWD,4.8,18,OK
Osula,Newcastle,FWD,5.4,18,INJURY
Muniz,Fulham,FWD,5.3,17,INJURY
Tzimas,Brighton,FWD,5.2,16,INJURY
Enes Ünal,Bournemouth,FWD,5.4,14,OK
Uche,Crystal Palace,FWD,5.5,13,INJURY
Delap,Chelsea,FWD,6.2,14,OK
Marc Guiu,Chelsea,FWD,4.2,12,OK
Wissa,Newcastle,FWD,7.3,11,OK
Piroe,Leeds,FWD,4.9,11,INJURY
G.Jesus,Arsenal,FWD,6.4,9,INJURY
Kalimuendo,Nott'm Forest,FWD,6.0,8,OK
Awoniyi,Nott'm Forest,FWD,5.2,7,INJURY
Pablo,West Ham,FWD,5.5,5,OK
Kusi-Asare,Fulham,FWD,4.5,4,INJURY
Solanke,Spurs,FWD,7.2,2,INJURY
Marshall,West Ham,FWD,4.3,2,INJURY
Havertz,Arsenal,FWD,7.3,1,OK
Barnes,Burnley,FWD,4.2,1,INJURY
Scarlett,Spurs,FWD,4.3,1,OK
Taty,West Ham,FWD,5.5,1,OK
Amdouni,Burnley,FWD,4.8,0,INJURY
Marsh,Crystal Palace,FWD,4.5,0,INJURY
Casey,Man City,FWD,4.5,0,OK
Graham,Everton,FWD,4.5,0,OK
Gray,Leeds,FWD,4.5,0,INJURY
Danns,Liverpool,FWD,4.3,0,INJURY
