Surname,Team,Position,Price,TP,Status
Semenyo,Bournemouth,MID,7.7,75,OK
Rice,Arsenal,MID,6.8,63,OK
Caicedo,Chelsea,MID,6.0,58,OK
Mbeumo,Man Utd,MID,8.4,53,OK
Ndiaye,Everton,MID,6.5,52,OK
M.Salah,Liverpool,MID,14.2,52,OK
Gravenberch,Liverpool,MID,5.6,50,OK
Xhaka,Sunderland,MID,5.1,49,OK
J.Palhinha,Spurs,MID,5.5,48,OK
Anthony,Burnley,MID,5.7,47,OK
Minteh,Brighton,MID,6.0,47,OK
Bruno G.,Newcastle,MID,6.6,46,OK
Tavernier,Bournemouth,MID,5.5,45,OK
Enzo,Chelsea,MID,6.6,45,OK
Gakpo,Liverpool,MID,7.6,45,OK
B.Fernandes,Man Utd,MID,8.9,45,OK
Kudus,Spurs,MID,6.6,45,DOUBT
Zubimendi,Arsenal,MID,5.4,43,DOUBT
Cullen,Burnley,MID,5.0,43,OK
Neto,Chelsea,MID,7.1,43,DOUBT
Sarr,Crystal Palace,MID,6.7,43,OK
Sessegnon,Fulham,MID,5.4,43,OK
Szoboszlai,Liverpool,MID,6.6,43,OK
Casemiro,Man Utd,MID,5.5,42,OK
L.Paquetá,West Ham,MID,5.9,41,OK
Grealish,Everton,MID,6.8,40,OK
Eze,Arsenal,MID,7.6,39,OK
Garner,Everton,MID,5.0,39,OK
Stach,Leeds,MID,4.9,36,OK
Adams,Bournemouth,MID,5.0,35,OK
O.Dango,Brentford,MID,6.0,35,OK
P.M.Sarr,Spurs,MID,4.9,35,OK
Munetsi,Wolves,MID,5.4,35,OK
Scott,Bournemouth,MID,5.0,34,OK
Aaronson,Leeds,MID,5.4,34,OK
Reijnders,Man City,MID,5.5,34,OK
J.Murphy,Newcastle,MID,6.1,34,OK
Bentancur,Spurs,MID,5.3,34,OK
Saka,Arsenal,MID,10.1,33,OK
Rogers,Aston Villa,MID,6.8,33,OK
Wieffer,Brighton,MID,4.9,33,OK
Wilson,Fulham,MID,5.2,33,OK
Doku,Man City,MID,6.4,33,OK
Talbi,Sunderland,MID,5.0,33,OK
Schade,Brentford,MID,7.0,32,OK
Gana,Everton,MID,5.4,32,OK
Anderson,Nott'm Forest,MID,5.3,32,OK
E Le Fee,Sunderland,MID,4.9,32,OK
Trossard,Arsenal,MID,6.9,31,OK
Damsgaard,Brentford,MID,5.8,31,OK
Gibbs-White,Nott'm Forest,MID,7.3,30,OK
Yarmoliuk,Brentford,MID,5.0,29,OK
Kamada,Crystal Palace,MID,5.0,29,OK
Amad,Man Utd,MID,6.3,29,OK
Buendia,Aston Villa,MID,5.3,28,OK
Georginio,Brighton,MID,5.7,28,OK
