Surname,Team,Position,Price,TP,Status
Haaland,Man City,FWD,15.0,120,OK
Thiago,Brentford,FWD,6.8,78,OK
João Pedro,Chelsea,FWD,7.4,63,OK
Mateta,Crystal Palace,FWD,8.1,59,OK
Bowen,West Ham,FWD,7.5,57,OK
Welbeck,Brighton,FWD,6.6,56,OK
Woltemade,Newcastle,FWD,7.4,54,OK
Richarlison,Spurs,FWD,6.4,51,OK
Isidor,Sunderland,FWD,5.6,46,OK
Watkins,Aston Villa,FWD,8.5,45,OK
Calvert-Lewin,Leeds,FWD,5.5,42,DOUBT
Ekitiké,Liverpool,FWD,8.4,42,OK
Gyökeres,Arsenal,FWD,8.8,39,OK
Wilson,West Ham,FWD,5.8,38,OK
Nmecha,Leeds,FWD,5.0,37,DOUBT
Evanilson,Bournemouth,FWD,7.0,36,OK
Kroupi.Jr,Bournemouth,FWD,4.6,35,OK
Flemming,Burnley,FWD,5.3,34,OK
Raúl,Fulham,FWD,6.2,34,OK
Foster,Burnley,FWD,5.0,33,OK
Šeško,Man Utd,FWD,7.2,31,INJURY
Igor Jesus,Nott'm Forest,FWD,5.8,27,OK
Strand Larsen,Wolves,FWD,6.2,27,OK
Wood,Nott'm Forest,FWD,7.2,25,INJURY
Beto,Everton,FWD,5.1,24,OK
Brobbey,Sunderland,FWD,5.5,22,OK
Isak,Liverpool,FWD,10.4,21,OK
Barry,Everton,FWD,5.7,18,OK
Osula,Newcastle,FWD,5.4,18,INJURY
Muniz,Fulham,FWD,5.4,17,INJURY
Zirkzee,Man Utd,FWD,5.8,17,OK
Mayenda,Sunderland,FWD,5.3,17,OK
Tzimas,Brighton,FWD,5.3,16,INJURY
Marc Guiu,Chelsea,FWD,4.2,12,OK
Füllkrug,West Ham,FWD,5.6,12,OK
Toti,Wolves,FWD,5.4,12,OK
Delap,Man City,FWD,6.2,11,OK
Nketiah,Crystal Palace,FWD,5.4,10,OK
Kolo Muani,Spurs,FWD,6.9,10,OK
Kostoulas,Brighton,FWD,4.8,9,OK
Broja,Burnley,FWD,5.2,8,OK
Enes Ünal,Bournemouth,FWD,5.4,8,OK
Jire,Leeds,FWD,5.0,8,OK
Kalimuendo,Nott'm Forest,FWD,6.0,7,OK
Uche,Crystal Palace,FWD,5.5,4,OK
Awoniyi,Nott'm Forest,FWD,5.2,4,INJURY
Mané,Wolves,FWD,4.5,3,OK
Kusi-Asare,Fulham,FWD,4.5,2,OK
Solanke,Spurs,FWD,7.2,2,DOUBT
Marshall,West Ham,FWD,4.3,2,INJURY
Havertz,Arsenal,FWD,7.3,1,OK
Barnes,Burnley,FWD,4.3,1,OK
G.Jesus,Arsenal,FWD,6.4,0,INJURY
Amdouni,Burnley,FWD,4.8,0,INJURY
Morgan,Everton,FWD,4.4,0,OK
Marsh,Crystal Palace,FWD,4.5,0,OK
Gray,Leeds,FWD,4.5,0,OK
Danns,Liverpool,FWD,4.3,0,INJURY
Obi,Man Utd,FWD,4.3,0,INJURY
Wissa,Newcastle,FWD,7.3,0,OK
