Surname,Team,Position,Price,TP,Status
Kudus,Spurs,MID,6.5,47,OK
Grealish,Everton,MID,6.7,46,OK
Szoboszlai,Liverpool,MID,6.6,46,OK
Doku,Man City,MID,6.5,46,OK
L.Paquetá,West Ham,MID,5.9,45,OK
O.Dango,Brentford,MID,6.0,44,OK
Stach,Leeds,MID,4.8,44,INJURY
Iwobi,Fulham,MID,6.4,43,OK
Aaronson,Leeds,MID,5.4,43,OK
Schade,Brentford,MID,7.0,42,OK
Buendia,Aston Villa,MID,5.3,40,OK
Wieffer,Brighton,MID,4.9,40,OK
Gana,Everton,MID,5.4,40,DOUBT
Longstaff,Leeds,MID,4.9,40,DOUBT
Adams,Bournemouth,MID,5.0,39,OK
Amad,Man Utd,MID,6.3,39,OK
Barnes,Newcastle,MID,6.3,39,OK
J.Murphy,Newcastle,MID,6.1,38,OK
P.M.Sarr,Spurs,MID,4.8,38,OK
Scott,Bournemouth,MID,5.0,37,OK
Munetsi,Wolves,MID,5.4,37,OK
Malen,Aston Villa,MID,5.1,36,OK
Wilson,Fulham,MID,5.2,36,OK
Tonali,Newcastle,MID,5.4,36,OK
E.Le Fée,Sunderland,MID,4.9,36,OK
Bentancur,Spurs,MID,5.3,36,OK
Damsgaard,Brentford,MID,5.8,35,OK
Yarmoliuk,Brentford,MID,5.0,35,OK
Kamada,Crystal Palace,MID,5.0,35,OK
Reijnders,Man City,MID,5.4,35,OK
Semenyo,Bournemouth,MID,7.9,75,DOUBT
Rice,Arsenal,MID,6.9,71,OK
Eze,Arsenal,MID,7.7,61,OK
Minteh,Brighton,MID,6.2,61,OK
Mbeumo,Man Utd,MID,8.6,61,OK
Neto,Chelsea,MID,7.1,60,OK
Caicedo,Chelsea,MID,6.1,60,OK
Bruno G.,Newcastle,MID,6.6,60,OK
Enzo,Chelsea,MID,6.7,59,OK
J.Palhinha,Spurs,MID,5.5,59,OK
Ndiaye,Everton,MID,6.6,58,OK
M.Salah,Liverpool,MID,14.2,56,OK
Cullen,Burnley,MID,5.0,55,OK
Tavernier,Bournemouth,MID,5.5,54,OK
Xhaka,Sunderland,MID,5.2,54,OK
Gravenberch,Liverpool,MID,5.6,53,OK
Trossard,Arsenal,MID,6.9,52,DOUBT
B.Fernandes,Man Utd,MID,8.9,52,OK
Anthony,Burnley,MID,5.6,51,OK
Zubimendi,Arsenal,MID,5.4,50,OK
Rogers,Aston Villa,MID,6.9,50,OK
Sessegnon,Fulham,MID,5.4,50,OK
Anderson,Nott'm Forest,MID,5.3,50,OK
Saka,Arsenal,MID,10.1,49,OK
Sarr,Crystal Palace,MID,6.7,49,OK
Dewsbury-Hall,Everton,MID,4.9,48,OK
Garner,Everton,MID,5.0,48,OK
Gakpo,Liverpool,MID,7.5,48,OK
Gibbs-White,Nott'm Forest,MID,7.3,48,DOUBT
Casemiro,Man Utd,MID,5.5,47,OK
