Surname,Team,Position,Price,TP,Status
Semenyo,Bournemouth,MID,7.4,75,OK
Rice,Arsenal,MID,6.9,65,OK
Caicedo,Chelsea,MID,6.1,60,OK
Mbeumo,Man Utd,MID,8.5,60,OK
Ndiaye,Everton,MID,6.6,55,OK
M.Salah,Liverpool,MID,14.5,54,OK
Cullen,Burnley,MID,5.0,53,OK
Neto,Chelsea,MID,7.1,52,DOUBT
Gravenberch,Liverpool,MID,5.6,52,OK
Xhaka,Sunderland,MID,5.2,52,OK
J.Palhinha,Spurs,MID,5.5,51,OK
Minteh,Brighton,MID,6.0,50,OK
B.Fernandes,Man Utd,MID,8.9,50,OK
Bruno G.,Newcastle,MID,6.6,50,OK
Anthony,Burnley,MID,5.7,49,OK
Zubimendi,Arsenal,MID,5.4,48,DOUBT
Enzo,Chelsea,MID,6.6,48,OK
Tavernier,Bournemouth,MID,5.5,47,OK
Sessegnon,Fulham,MID,5.4,47,OK
Casemiro,Man Utd,MID,5.5,47,DOUBT
Sarr,Crystal Palace,MID,6.7,46,OK
Gakpo,Liverpool,MID,7.5,46,OK
Saka,Arsenal,MID,10.1,45,OK
Kudus,West Ham,MID,6.5,45,DOUBT
L.Paquetá,West Ham,MID,5.9,45,OK
Szoboszlai,Liverpool,MID,6.6,44,INJURY
Doku,Man City,MID,6.4,44,OK
Grealish,Everton,MID,6.8,43,OK
Gana,Everton,MID,5.4,42,OK
Garner,Everton,MID,5.0,42,OK
Eze,Arsenal,MID,7.6,41,OK
Aaronson,Leeds,MID,5.4,41,OK
Anderson,Nott'm Forest,MID,5.3,41,OK
Trossard,Arsenal,MID,6.9,40,OK
Schade,Brentford,MID,7.0,40,OK
Iwobi,Fulham,MID,6.5,40,OK
Stach,Leeds,MID,5.0,40,OK
Gibbs-White,Nott'm Forest,MID,7.3,40,OK
Buendia,Aston Villa,MID,5.3,39,OK
O.Dango,Brentford,MID,6.0,39,OK
Longstaff,Leeds,MID,4.9,38,OK
Adams,Bournemouth,MID,5.0,37,DOUBT
Amad,Man Utd,MID,6.3,37,OK
P.M.Sarr,Spurs,MID,4.8,37,OK
Scott,Bournemouth,MID,5.0,36,OK
Wieffer,Brighton,MID,4.9,36,OK
J.Murphy,Newcastle,MID,6.1,36,OK
Rogers,Aston Villa,MID,6.8,35,OK
Dewsbury-Hall,Everton,MID,4.9,35,OK
Bentancur,Spurs,MID,5.3,35,OK
Munetsi,Wolves,MID,5.4,35,OK
Wilson,Fulham,MID,5.2,34,OK
Reijnders,Man City,MID,5.5,34,OK
E Le Fee,Sunderland,MID,4.9,34,OK
Talbi,Sunderland,MID,5.0,34,OK
Damsgaard,Brentford,MID,5.8,33,OK
Yarmoliuk,Brentford,MID,5.0,33,OK
Malen,Aston Villa,MID,5.1,32,OK
Ugochukwu,Burnley,MID,5.0,32,OK
Kamada,Crystal Palace,MID,5.0,32,OK
