Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Raya,Arsenal,GKP,6.0,122,OK,20.33,122,1.0,122.0
Pickford,Everton,GKP,5.6,117,OK,20.89,117,1.0,117.0
Henderson,Crystal Palace,GKP,5.0,115,OK,23.0,115,1.0,115.0
Roefs,Sunderland,GKP,4.9,110,DOUBT,22.45,110,1.0,110.0
Kelleher,Brentford,GKP,4.7,104,OK,22.13,104,1.0,104.0
Donnarumma,Man City,GKP,5.6,102,OK,18.21,102,1.0,102.0
Martinez,Aston Villa,GKP,5.1,97,OK,19.02,97,1.0,97.0
Sánchez,Chelsea,GKP,4.9,97,OK,19.8,97,1.0,97.0
Petrović,Bournemouth,GKP,4.5,94,OK,20.89,94,1.0,94.0
Verbruggen,Brighton,GKP,4.5,91,OK,20.22,91,1.0,91.0
A.Becker,Liverpool,GKP,5.4,85,OK,15.74,85,1.0,85.0
Vicario,Spurs,GKP,4.7,85,OK,18.09,85,1.0,85.0
Pope,Newcastle,GKP,5.1,82,OK,16.08,82,1.0,82.0
Dúbravka,Burnley,GKP,4.0,80,OK,20.0,80,1.0,80.0
Leno,Fulham,GKP,4.9,79,OK,16.12,79,1.0,79.0
Lammens,Man Utd,GKP,5.0,72,OK,14.4,72,1.0,72.0
Sels,Nott'm Forest,GKP,4.6,64,OK,13.91,64,1.0,64.0
José Sá,Wolves,GKP,4.2,56,OK,13.33,56,1.0,56.0
Areola,West Ham,GKP,4.3,51,OK,11.86,51,1.0,51.0
Perri,Leeds,GKP,4.5,43,OK,9.56,43,1.0,43.0
Hermansen,West Ham,GKP,4.2,40,OK,9.52,40,1.0,40.0
Darlow,Leeds,GKP,3.9,30,OK,7.69,30,1.0,30.0
Johnstone,Wolves,GKP,4.4,21,OK,4.77,21,1.0,21.0
Mamardashvili,Liverpool,GKP,4.1,19,OK,4.63,19,1.0,19.0
Ramsdale,Newcastle,GKP,4.8,14,OK,2.92,14,1.0,14.0
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62,11,1.0,11.0
Trafford,Man City,GKP,4.5,11,OK,2.44,11,1.0,11.0
Bayindir,Man Utd,GKP,4.7,11,OK,2.34,11,1.0,11.0
Ortega Moreno,Nott'm Forest,GKP,4.7,11,DOUBT,2.34,11,1.0,11.0
Gabriel,Arsenal,DEF,6.6,164,OK,24.85,164,1.0,164.0
J.Timber,Arsenal,DEF,6.4,148,OK,23.12,148,1.0,148.0
Tarkowski,Everton,DEF,5.7,136,OK,23.86,136,1.0,136.0
Guéhi,Man City,DEF,4.6,133,OK,28.91,133,1.0,133.0
Virgil,Liverpool,DEF,6.2,130,OK,20.97,130,1.0,130.0
Chalobah,Chelsea,DEF,5.3,129,OK,24.34,129,1.0,129.0
Senesi,Bournemouth,DEF,4.6,126,OK,27.39,126,1.0,126.0
Matheus N.,Man City,DEF,5.4,126,OK,23.33,126,1.0,126.0
O'Reilly,Man City,DEF,5.1,123,OK,24.12,123,1.0,123.0
Lacroix,Crystal Palace,DEF,5.1,119,OK,23.33,119,1.0,119.0
Mukiele,Sunderland,DEF,4.5,115,DOUBT,25.56,115,1.0,115.0
Ballard,Sunderland,DEF,4.6,114,OK,24.78,114,1.0,114.0
Rúben,Man City,DEF,5.5,112,OK,20.36,112,1.0,112.0
James,Chelsea,DEF,5.6,111,OK,19.82,111,1.0,111.0
Konaté,Liverpool,DEF,5.5,111,OK,20.18,111,1.0,111.0
Muñoz,Crystal Palace,DEF,5.9,109,DOUBT,18.47,109,1.0,109.0
Mitchell,Crystal Palace,DEF,5.0,108,OK,21.6,108,1.0,108.0
Truffert,Bournemouth,DEF,4.6,107,OK,23.26,107,1.0,107.0
Van Hecke,Brighton,DEF,4.4,107,OK,24.32,107,1.0,107.0
Keane,Everton,DEF,4.6,107,OK,23.26,107,1.0,107.0
Thiaw,Newcastle,DEF,5.0,105,OK,21.0,105,1.0,105.0
Richards,Crystal Palace,DEF,4.4,104,OK,23.64,104,1.0,104.0
Cash,Aston Villa,DEF,4.8,100,DOUBT,20.83,100,1.0,100.0
Alderete,Sunderland,DEF,4.1,100,OK,24.39,100,1.0,100.0
Collins,Brentford,DEF,4.9,99,OK,20.2,99,1.0,99.0
Saliba,Arsenal,DEF,6.1,96,DOUBT,15.74,96,1.0,96.0
Dalot,Man Utd,DEF,4.6,95,OK,20.65,95,1.0,95.0
O'Brien,Everton,DEF,4.9,93,OK,18.98,93,1.0,93.0
Andersen,Fulham,DEF,4.5,93,OK,20.67,93,1.0,93.0
Cucurella,Chelsea,DEF,6.0,91,OK,15.17,91,1.0,91.0
Gusto,Chelsea,DEF,4.9,89,OK,18.16,89,1.0,89.0
