Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Raya,Arsenal,GKP,6.0,122,OK,20.33,122,1.0,122.0,ARS,1027.904761904762,1050.5714285714287,1050.5714285714287,0.12
Pickford,Everton,GKP,5.6,117,OK,20.89,117,1.0,117.0,EVE,1152.9047619047617,1222.285714285714,1222.285714285714,0.1
Henderson,Crystal Palace,GKP,5.0,115,OK,23.0,115,1.0,115.0,CRY,1014.0,1029.4285714285716,1029.4285714285716,0.11
Roefs,Sunderland,GKP,4.9,110,DOUBT,22.45,110,1.0,110.0,SUN,1202.047619047619,1237.285714285714,1237.285714285714,0.09
Kelleher,Brentford,GKP,4.7,104,OK,22.13,104,1.0,104.0,BRE,1189.142857142857,1189.5714285714284,1189.5714285714284,0.09
Donnarumma,Man City,GKP,5.6,102,OK,18.21,102,1.0,102.0,MCI,1023.4761904761905,1019.2380952380952,1019.2380952380952,0.1
Martinez,Aston Villa,GKP,5.1,97,OK,19.02,97,1.0,97.0,AVL,1193.0476190476188,1249.4285714285716,1249.4285714285716,0.08
Sánchez,Chelsea,GKP,4.9,97,OK,19.8,97,1.0,97.0,CHE,1211.6190476190477,1218.5238095238094,1218.5238095238094,0.08
Petrović,Bournemouth,GKP,4.5,94,OK,20.89,94,1.0,94.0,BOU,1215.8095238095239,1222.095238095238,1222.095238095238,0.08
Verbruggen,Brighton,GKP,4.5,91,OK,20.22,91,1.0,91.0,BHA,1271.5714285714287,1231.5714285714287,1231.5714285714287,0.07
A.Becker,Liverpool,GKP,5.4,85,OK,15.74,85,1.0,85.0,LIV,1181.5714285714287,1178.4285714285713,1178.4285714285713,0.07
Vicario,Spurs,GKP,4.7,85,OK,18.09,85,1.0,85.0,TOT,1203.3333333333333,1212.3809523809523,1212.3809523809523,0.07
Pope,Newcastle,GKP,5.1,82,OK,16.08,82,1.0,82.0,NEW,1194.904761904762,1236.1904761904761,1236.1904761904761,0.07
Dúbravka,Burnley,GKP,4.0,80,OK,20.0,80,1.0,80.0,BUR,1186.0,1204.095238095238,1204.095238095238,0.07
Leno,Fulham,GKP,4.9,79,OK,16.12,79,1.0,79.0,FUL,1147.095238095238,1202.2857142857142,1202.2857142857142,0.07
Lammens,Man Utd,GKP,5.0,72,OK,14.4,72,1.0,72.0,MUN,1195.857142857143,1246.3333333333333,1246.3333333333333,0.06
Sels,Nott'm Forest,GKP,4.6,64,OK,13.91,64,1.0,64.0,NFO,1228.142857142857,1292.2857142857142,1292.2857142857142,0.05
José Sá,Wolves,GKP,4.2,56,OK,13.33,56,1.0,56.0,WOL,1025.3333333333333,1072.7619047619046,1072.7619047619046,0.05
Areola,West Ham,GKP,4.3,51,OK,11.86,51,1.0,51.0,WHU,1201.0,1215.3333333333333,1215.3333333333333,0.04
Perri,Leeds,GKP,4.5,43,OK,9.56,43,1.0,43.0,LEE,1196.5714285714287,1175.0,1175.0,0.04
Hermansen,West Ham,GKP,4.2,40,OK,9.52,40,1.0,40.0,WHU,1201.0,1215.3333333333333,1215.3333333333333,0.03
Darlow,Leeds,GKP,3.9,30,OK,7.69,30,1.0,30.0,LEE,1196.5714285714287,1175.0,1175.0,0.03
Johnstone,Wolves,GKP,4.4,21,OK,4.77,21,1.0,21.0,WOL,1025.3333333333333,1072.7619047619046,1072.7619047619046,0.02
Mamardashvili,Liverpool,GKP,4.1,19,OK,4.63,19,1.0,19.0,LIV,1181.5714285714287,1178.4285714285713,1178.4285714285713,0.02
Ramsdale,Newcastle,GKP,4.8,14,OK,2.92,14,1.0,14.0,NEW,1194.904761904762,1236.1904761904761,1236.1904761904761,0.01
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62,11,1.0,11.0,AVL,1193.0476190476188,1249.4285714285716,1249.4285714285716,0.01
Trafford,Man City,GKP,4.5,11,OK,2.44,11,1.0,11.0,MCI,1023.4761904761905,1019.2380952380952,1019.2380952380952,0.01
Bayindir,Man Utd,GKP,4.7,11,OK,2.34,11,1.0,11.0,MUN,1195.857142857143,1246.3333333333333,1246.3333333333333,0.01
Ortega Moreno,Nott'm Forest,GKP,4.7,11,DOUBT,2.34,11,1.0,11.0,NFO,1228.142857142857,1292.2857142857142,1292.2857142857142,0.01
Gabriel,Arsenal,DEF,6.6,164,OK,24.85,164,1.0,164.0,ARS,1027.904761904762,1050.5714285714287,1050.5714285714287,0.16
J.Timber,Arsenal,DEF,6.4,148,OK,23.12,148,1.0,148.0,ARS,1027.904761904762,1050.5714285714287,1050.5714285714287,0.14
Tarkowski,Everton,DEF,5.7,136,OK,23.86,136,1.0,136.0,EVE,1152.9047619047617,1222.285714285714,1222.285714285714,0.11
Guéhi,Man City,DEF,4.6,133,OK,28.91,133,1.0,133.0,MCI,1023.4761904761905,1019.2380952380952,1019.2380952380952,0.13
Virgil,Liverpool,DEF,6.2,130,OK,20.97,130,1.0,130.0,LIV,1181.5714285714287,1178.4285714285713,1178.4285714285713,0.11
Chalobah,Chelsea,DEF,5.3,129,OK,24.34,129,1.0,129.0,CHE,1211.6190476190477,1218.5238095238094,1218.5238095238094,0.11
Senesi,Bournemouth,DEF,4.6,126,OK,27.39,126,1.0,126.0,BOU,1215.8095238095239,1222.095238095238,1222.095238095238,0.1
Matheus N.,Man City,DEF,5.4,126,OK,23.33,126,1.0,126.0,MCI,1023.4761904761905,1019.2380952380952,1019.2380952380952,0.12
O'Reilly,Man City,DEF,5.1,123,OK,24.12,123,1.0,123.0,MCI,1023.4761904761905,1019.2380952380952,1019.2380952380952,0.12
Lacroix,Crystal Palace,DEF,5.1,119,OK,23.33,119,1.0,119.0,CRY,1014.0,1029.4285714285716,1029.4285714285716,0.12
Mukiele,Sunderland,DEF,4.5,115,DOUBT,25.56,115,1.0,115.0,SUN,1202.047619047619,1237.285714285714,1237.285714285714,0.09
Ballard,Sunderland,DEF,4.6,114,OK,24.78,114,1.0,114.0,SUN,1202.047619047619,1237.285714285714,1237.285714285714,0.09
Rúben,Man City,DEF,5.5,112,OK,20.36,112,1.0,112.0,MCI,1023.4761904761905,1019.2380952380952,1019.2380952380952,0.11
James,Chelsea,DEF,5.6,111,OK,19.82,111,1.0,111.0,CHE,1211.6190476190477,1218.5238095238094,1218.5238095238094,0.09
Konaté,Liverpool,DEF,5.5,111,OK,20.18,111,1.0,111.0,LIV,1181.5714285714287,1178.4285714285713,1178.4285714285713,0.09
Muñoz,Crystal Palace,DEF,5.9,109,DOUBT,18.47,109,1.0,109.0,CRY,1014.0,1029.4285714285716,1029.4285714285716,0.11
Mitchell,Crystal Palace,DEF,5.0,108,OK,21.6,108,1.0,108.0,CRY,1014.0,1029.4285714285716,1029.4285714285716,0.1
Truffert,Bournemouth,DEF,4.6,107,OK,23.26,107,1.0,107.0,BOU,1215.8095238095239,1222.095238095238,1222.095238095238,0.09
Van Hecke,Brighton,DEF,4.4,107,OK,24.32,107,1.0,107.0,BHA,1271.5714285714287,1231.5714285714287,1231.5714285714287,0.09
Keane,Everton,DEF,4.6,107,OK,23.26,107,1.0,107.0,EVE,1152.9047619047617,1222.285714285714,1222.285714285714,0.09
Thiaw,Newcastle,DEF,5.0,105,OK,21.0,105,1.0,105.0,NEW,1194.904761904762,1236.1904761904761,1236.1904761904761,0.08
Richards,Crystal Palace,DEF,4.4,104,OK,23.64,104,1.0,104.0,CRY,1014.0,1029.4285714285716,1029.4285714285716,0.1
Cash,Aston Villa,DEF,4.8,100,DOUBT,20.83,100,1.0,100.0,AVL,1193.0476190476188,1249.4285714285716,1249.4285714285716,0.08
Alderete,Sunderland,DEF,4.1,100,OK,24.39,100,1.0,100.0,SUN,1202.047619047619,1237.285714285714,1237.285714285714,0.08
Collins,Brentford,DEF,4.9,99,OK,20.2,99,1.0,99.0,BRE,1189.142857142857,1189.5714285714284,1189.5714285714284,0.08
Saliba,Arsenal,DEF,6.1,96,DOUBT,15.74,96,1.0,96.0,ARS,1027.904761904762,1050.5714285714287,1050.5714285714287,0.09
