Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Raya,Arsenal,GKP,6.0,122,OK,20.33,122,1.0,122.0,ARS,1027.904761904762,1050.571428571429,1050.571428571429,0.12,0.0,0.19741637204242582
Pickford,Everton,GKP,5.6,117,OK,20.89,117,1.0,117.0,EVE,1152.9047619047617,1222.285714285714,1222.285714285714,0.1,0.0,0.1627279102384292
Henderson,Crystal Palace,GKP,5.0,115,OK,23.0,115,1.0,115.0,CRY,1014.0,1029.4285714285716,1029.4285714285716,0.11,0.0,0.18991118512350816
Roefs,Sunderland,GKP,4.9,110,DOUBT,22.45,110,1.0,110.0,SUN,1202.047619047619,1237.285714285714,1237.285714285714,0.09,0.0,0.15113728206904517
Kelleher,Brentford,GKP,4.7,104,OK,22.13,104,1.0,104.0,BRE,1189.142857142857,1189.5714285714284,1189.5714285714284,0.09,0.0,0.14862495496577402
Donnarumma,Man City,GKP,5.6,102,OK,18.21,102,1.0,102.0,MCI,1023.4761904761904,1019.2380952380952,1019.2380952380952,0.1,0.0,0.17012707905064473
Martinez,Aston Villa,GKP,5.1,97,OK,19.02,97,1.0,97.0,AVL,1193.0476190476188,1249.4285714285716,1249.4285714285716,0.08,0.0,0.13198033386691055
Sánchez,Chelsea,GKP,4.9,97,OK,19.8,97,1.0,97.0,CHE,1211.6190476190477,1218.5238095238094,1218.5238095238094,0.08,0.0,0.13532767986244087
Petrović,Bournemouth,GKP,4.5,94,OK,20.89,94,1.0,94.0,BOU,1215.809523809524,1222.095238095238,1222.095238095238,0.08,0.0,0.1307590399002494
Verbruggen,Brighton,GKP,4.5,91,OK,20.22,91,1.0,91.0,BHA,1271.571428571429,1231.571428571429,1231.571428571429,0.07,0.0,0.12561187797239295
A.Becker,Liverpool,GKP,5.4,85,OK,15.74,85,1.0,85.0,LIV,1181.571428571429,1178.428571428571,1178.428571428571,0.07,0.0,0.12262092374833317
Vicario,Spurs,GKP,4.7,85,OK,18.09,85,1.0,85.0,TOT,1203.3333333333333,1212.3809523809523,1212.3809523809523,0.07,0.0,0.11918695993715633
Pope,Newcastle,GKP,5.1,82,OK,16.08,82,1.0,82.0,NEW,1194.904761904762,1236.190476190476,1236.190476190476,0.07,0.0,0.11276579352850542
Dúbravka,Burnley,GKP,4.0,80,OK,20.0,80,1.0,80.0,BUR,1186.0,1204.095238095238,1204.095238095238,0.07,0.0,0.1129478762951831
Leno,Fulham,GKP,4.9,79,OK,16.12,79,1.0,79.0,FUL,1147.095238095238,1202.2857142857142,1202.2857142857142,0.07,0.0,0.11170389733840305
Lammens,Man Utd,GKP,5.0,72,OK,14.4,72,1.0,72.0,MUN,1195.857142857143,1246.3333333333333,1246.3333333333333,0.06,0.0,0.09820807702594278
Sels,Nott'm Forest,GKP,4.6,64,OK,13.91,64,1.0,64.0,NFO,1228.142857142857,1292.2857142857142,1292.2857142857142,0.05,0.0,0.0841919080256467
José Sá,Wolves,GKP,4.2,56,OK,13.33,56,1.0,56.0,WOL,1025.3333333333333,1072.7619047619046,1072.7619047619046,0.05,0.0,0.08874289772727273
Areola,West Ham,GKP,4.3,51,OK,11.86,51,1.0,51.0,WHU,1201.0,1215.3333333333333,1215.3333333333333,0.04,0.0,0.07133845309928688
Perri,Leeds,GKP,4.5,43,OK,9.56,43,1.0,43.0,LEE,1196.571428571429,1175.0,1175.0,0.04,0.0,0.062212765957446806
Hermansen,West Ham,GKP,4.2,40,OK,9.52,40,1.0,40.0,WHU,1201.0,1215.3333333333333,1215.3333333333333,0.03,0.0,0.05595172792100933
Darlow,Leeds,GKP,3.9,30,OK,7.69,30,1.0,30.0,LEE,1196.571428571429,1175.0,1175.0,0.03,0.0,0.04340425531914894
Johnstone,Wolves,GKP,4.4,21,OK,4.77,21,1.0,21.0,WOL,1025.3333333333333,1072.7619047619046,1072.7619047619046,0.02,0.0,0.03327858664772728
Mamardashvili,Liverpool,GKP,4.1,19,OK,4.63,19,1.0,19.0,LIV,1181.571428571429,1178.428571428571,1178.428571428571,0.02,0.0,0.027409382955509765
Ramsdale,Newcastle,GKP,4.8,14,OK,2.92,14,1.0,14.0,NEW,1194.904761904762,1236.190476190476,1236.190476190476,0.01,0.0,0.01925269645608629
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62,11,1.0,11.0,AVL,1193.0476190476188,1249.4285714285716,1249.4285714285716,0.01,0.0,0.014966841984907385
Trafford,Man City,GKP,4.5,11,OK,2.44,11,1.0,11.0,MCI,1023.4761904761904,1019.2380952380952,1019.2380952380952,0.01,0.0,0.018347037936834235
