Surname,Team,Position,Price,TP,Status
Semenyo,Man City,MID,8.3,172,OK
B.Fernandes,Man Utd,MID,10.0,166,OK
Rice,Arsenal,MID,7.4,160,OK
Wilson,Fulham,MID,6.0,140,DOUBT
Bruno G.,Newcastle,MID,6.8,134,INJURY
Anderson,Nott'm Forest,MID,5.5,131,OK
Saka,Arsenal,MID,9.8,130,OK
Rogers,Aston Villa,MID,7.5,130,OK
Garner,Everton,MID,5.2,129,OK
Casemiro,Man Utd,MID,5.6,127,OK
Enzo,Chelsea,MID,6.7,125,OK
Gibbs-White,Nott'm Forest,MID,7.3,122,OK
Gravenberch,Liverpool,MID,5.5,119,OK
Mbeumo,Man Utd,MID,8.7,118,OK
Zubimendi,Arsenal,MID,5.2,114,OK
Stach,Leeds,MID,4.7,114,OK
Dewsbury-Hall,Everton,MID,5.1,112,OK
Foden,Man City,MID,8.1,111,OK
Szoboszlai,Liverpool,MID,6.9,109,OK
E.Le Fée,Sunderland,MID,5.0,107,OK
Neto,Chelsea,MID,7.0,106,OK
Aaronson,Leeds,MID,5.4,105,OK
Tavernier,Bournemouth,MID,5.3,104,OK
M.Fernandes,West Ham,MID,5.5,104,OK
Cunha,Man Utd,MID,8.0,103,OK
Scott,Bournemouth,MID,5.1,101,OK
Gakpo,Liverpool,MID,7.3,101,OK
Anthony,Burnley,MID,5.0,100,OK
Ndiaye,Everton,MID,6.2,100,OK
Wirtz,Liverpool,MID,8.3,100,OK
Trossard,Arsenal,MID,6.7,99,DOUBT
Cherki,Man City,MID,6.4,99,OK
O.Dango,Brentford,MID,6.0,97,OK
Schade,Brentford,MID,6.9,97,OK
M.Salah,Liverpool,MID,14.0,96,OK
Xhaka,Sunderland,MID,5.1,94,OK
J.Palhinha,Spurs,MID,5.5,94,OK
Caicedo,Chelsea,MID,5.7,93,OK
Palmer,Chelsea,MID,10.6,92,OK
Ampadu,Leeds,MID,4.9,92,OK
Summerville,West Ham,MID,5.7,92,OK
Eze,Arsenal,MID,7.2,91,OK
Iwobi,Fulham,MID,6.4,91,OK
Sarr,Crystal Palace,MID,6.3,90,OK
Wharton,Crystal Palace,MID,5.0,90,OK
Damsgaard,Brentford,MID,5.6,85,OK
Minteh,Brighton,MID,5.5,85,OK
Reijnders,Man City,MID,5.0,85,OK
J.Gomes,Wolves,MID,5.3,85,OK
Ayari,Brighton,MID,4.8,83,OK
Ugochukwu,Burnley,MID,5.0,81,OK
Buendía,Aston Villa,MID,5.3,79,OK
Gomez,Brighton,MID,4.9,79,OK
Grealish,Everton,MID,6.3,79,INJURY
Sessegnon,Fulham,MID,5.4,78,OK
Barnes,Newcastle,MID,6.1,78,OK
Gordon,Newcastle,MID,7.2,77,OK
Yarmoliuk,Brentford,MID,5.0,76,OK
Mac Allister,Liverpool,MID,6.2,76,OK
Kudus,Spurs,MID,6.4,75,INJURY
