Surname,Team,Position,Price,TP,Status
B.Fernandes,Man Utd,MID,9.0,85,OK
Rice,Arsenal,MID,7.1,84,OK
Semenyo,Bournemouth,MID,7.6,83,OK
Bruno G.,Newcastle,MID,6.9,81,OK
Foden,Man City,MID,8.6,77,OK
Dewsbury-Hall,Everton,MID,5.1,74,OK
Mbeumo,Man Utd,MID,8.4,72,OK
Ndiaye,Everton,MID,6.5,71,OK
Neto,Chelsea,MID,7.3,70,OK
Minteh,Brighton,MID,6.3,69,OK
Enzo,Chelsea,MID,6.6,66,OK
Gravenberch,Liverpool,MID,5.6,66,OK
Eze,Arsenal,MID,7.8,65,INJURY
Gakpo,Liverpool,MID,7.5,65,OK
Xhaka,Sunderland,MID,5.2,65,OK
Kudus,Spurs,MID,6.5,65,OK
Saka,Arsenal,MID,10.2,64,OK
Cullen,Burnley,MID,5.0,63,OK
O.Dango,Brentford,MID,6.0,62,OK
Grealish,Everton,MID,6.6,62,OK
Wilson,Fulham,MID,5.3,62,OK
Stach,Leeds,MID,4.8,62,OK
Anderson,Nott'm Forest,MID,5.4,62,OK
Rogers,Aston Villa,MID,6.9,61,OK
Tavernier,Bournemouth,MID,5.5,61,OK
Casemiro,Man Utd,MID,5.5,61,OK
J.Palhinha,Spurs,MID,5.5,61,OK
Szoboszlai,Liverpool,MID,6.6,59,OK
Doku,Man City,MID,6.6,59,OK
Trossard,Arsenal,MID,6.9,58,OK
Caicedo,Chelsea,MID,5.8,58,INJURY
Anthony,Burnley,MID,5.3,57,OK
M.Salah,Liverpool,MID,14.0,57,INJURY
Garner,Everton,MID,5.0,56,OK
Sessegnon,Fulham,MID,5.4,56,DOUBT
E Le Fee,Sunderland,MID,4.9,56,OK
Zubimendi,Arsenal,MID,5.3,55,INJURY
Gibbs-White,Nott'm Forest,MID,7.3,55,OK
Wieffer,Brighton,MID,4.9,54,OK
Iwobi,Fulham,MID,6.4,54,OK
Merino,Arsenal,MID,6.0,51,OK
Kamara,Aston Villa,MID,4.9,50,OK
Sarr,Crystal Palace,MID,6.5,50,INJURY
Adams,Bournemouth,MID,5.0,49,INJURY
Amad,Man Utd,MID,6.3,49,OK
Buendía,Aston Villa,MID,5.3,48,OK
Wharton,Crystal Palace,MID,5.0,48,OK
Aaronson,Leeds,MID,5.4,48,OK
Talbi,Sunderland,MID,5.0,48,OK
Schade,Brentford,MID,7.0,47,INJURY
L.Paquetá,West Ham,MID,5.9,47,INJURY
Malen,Aston Villa,MID,5.1,46,OK
Scott,Bournemouth,MID,5.0,46,OK
Reijnders,Man City,MID,5.3,46,OK
Bentancur,Spurs,MID,5.3,45,OK
Henderson,Brentford,MID,5.0,44,OK
Georginio,Brighton,MID,5.6,44,OK
Kamada,Crystal Palace,MID,5.0,44,OK
Barnes,Newcastle,MID,6.4,44,OK
McGinn,Aston Villa,MID,5.4,43,OK
