Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Raya,Arsenal,GKP,6.0,66,OK,11.0,66.0,1.0,66.0,ARS,1102.945701357466,1144.348416289593,1144.348416289593,0.06,0.0,0.0980470618937845
Pickford,Everton,GKP,5.5,66,OK,12.0,13.0,1.0,66.0,EVE,1216.4343891402714,1190.954751131222,1190.954751131222,0.06,0.0,0.06305865099296733
Roefs,Sunderland,GKP,4.7,64,OK,13.62,4.0,1.0,64.0,SUN,1160.5113122171947,1183.0814479638009,1183.0814479638009,0.05,0.0,0.056462722929997204
Henderson,Crystal Palace,GKP,5.1,63,OK,12.35,10.0,1.0,63.0,CRY,1163.398190045249,1221.027149321267,1221.027149321267,0.05,0.0,0.05732878260643995
Sánchez,Chelsea,GKP,4.8,57,OK,11.88,11.0,1.0,57.0,CHE,1163.8506787330316,1159.6515837104073,1159.6515837104073,0.05,0.0,0.05579261987724508
Vicario,Spurs,GKP,4.9,57,OK,11.63,8.0,1.0,57.0,TOT,1164.0361990950223,1211.8642533936652,1211.8642533936652,0.05,0.0,0.05165595059405127
Martinez,Aston Villa,GKP,5.1,54,OK,10.59,4.0,1.0,54.0,AVL,1116.343891402715,1171.0950226244345,1171.0950226244345,0.05,0.0,0.04850161507194411
Petrović,Bournemouth,GKP,4.5,52,OK,11.56,9.0,1.0,52.0,BOU,1117.6153846153843,1183.289592760181,1183.289592760181,0.04,0.0,0.049269426822226556
Verbruggen,Brighton,GKP,4.4,44,OK,10.0,4.0,1.0,44.0,BHA,1204.212669683258,1239.3755656108597,1239.3755656108597,0.04,0.0,0.03776095099707195
Dúbravka,Burnley,GKP,4.0,43,OK,10.75,5.0,1.0,43.0,BUR,1140.606334841629,1147.787330316742,1147.787330316742,0.04,0.0,0.04051273155904928
Donnarumma,Man City,GKP,5.7,43,OK,7.54,6.0,1.0,43.0,MCI,1131.2669683257916,1179.9592760181,1179.9592760181,0.04,0.0,0.04000138052160707
Leno,Fulham,GKP,4.9,42,OK,8.57,2.0,1.0,42.0,FUL,1106.746606334842,1126.8914027149324,1126.8914027149324,0.04,0.0,0.038513027870688984
Kelleher,Brentford,GKP,4.5,40,OK,8.89,4.0,1.0,40.0,BRE,1089.7194570135748,1153.3846153846157,1153.3846153846157,0.03,0.0,0.03710817660397491
Sels,Nott'm Forest,GKP,4.7,40,OK,8.51,8.0,1.0,40.0,NFO,1168.6923076923078,1189.1447963800908,1189.1447963800908,0.03,0.0,0.03834688604685674
A.Becker,Liverpool,GKP,5.4,32,OK,5.93,4.0,1.0,32.0,LIV,1121.945701357466,1181.072398190045,1181.072398190045,0.03,0.0,0.02946474750686737
Areola,West Ham,GKP,4.3,32,OK,7.44,6.0,1.0,32.0,WHU,1168.8371040723982,1230.076923076923,1230.076923076923,0.03,0.0,0.02942905384278657
Perri,Leeds,GKP,4.5,25,OK,5.56,4.0,1.0,25.0,LEE,1154.8506787330316,1205.2533936651585,1205.2533936651585,0.02,0.0,0.023065689046069055
Lammens,Man Utd,GKP,5.1,24,OK,4.71,4.0,1.0,24.0,MUN,1158.1990950226243,1193.579185520362,1193.579185520362,0.02,0.0,0.022453474662693675
Johnstone,Wolves,GKP,4.5,22,OK,4.89,3.0,1.0,22.0,WOL,1264.085972850679,1280.3710407239817,1280.3710407239817,0.02,0.0,0.018822668768244503
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0,LIV,1121.945701357466,1181.072398190045,1181.072398190045,0.02,0.0,0.016087074788232188
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0,MCI,1131.2669683257916,1179.9592760181,1179.9592760181,0.01,0.0,0.009322355630035545
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,MUN,1158.1990950226243,1193.579185520362,1193.579185520362,0.01,0.0,0.009215978406329492
Darlow,Leeds,GKP,3.9,10,OK,2.56,0.0,1.0,10.0,LEE,1154.8506787330316,1205.2533936651585,1205.2533936651585,0.01,0.0,0.00829701044822628
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0,WHU,1168.8371040723982,1230.076923076923,1230.076923076923,0.01,0.0,0.007316615596272904
M.Bizot,Aston Villa,GKP,4.3,8,OK,1.86,1.0,1.0,8.0,AVL,1116.343891402715,1171.0950226244345,1171.0950226244345,0.01,0.0,0.0074289445620759455
Ramsdale,Newcastle,GKP,4.8,5,OK,1.04,3.0,1.0,5.0,NEW,1159.2443438914029,1200.3212669683255,1200.3212669683255,0.0,0.0,0.005915083065996661
José Sá,Wolves,GKP,4.3,5,OK,1.16,0.0,1.0,5.0,WOL,1264.085972850679,1280.3710407239817,1280.3710407239817,0.0,0.0,0.0039051180017104776
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,0.0,1.0,1.0,CHE,1163.8506787330316,1159.6515837104073,1159.6515837104073,0.0,0.0,0.0008623279733731851
Arrizabalaga,Arsenal,GKP,4.1,0,OK,0.0,0.0,1.0,0.0,ARS,1102.945701357466,1144.348416289593,1144.348416289593,0.0,0.0,0.0
Guehi,Crystal Palace,DEF,5.2,91,DOUBT,17.5,22.0,1.0,91.0,CRY,1163.398190045249,1221.027149321267,1221.027149321267,0.07,0.0,0.08713974956178873
