Team,Gameweek,Opponent,Location,FDR
ARS,GW11,SUN,A,1
ARS,GW12,TOT,H,3
ARS,GW13,CHE,A,3
ARS,GW14,BRE,H,3
ARS,GW15,AVL,A,2
AVL,GW11,BOU,H,3
AVL,GW12,LEE,A,1
AVL,GW13,WOL,H,1
AVL,GW14,BHA,A,2
AVL,GW15,ARS,H,5
BHA,GW11,CRY,A,3
BHA,GW12,BRE,H,3
BHA,GW13,NFO,A,1
BHA,GW14,AVL,H,3
BHA,GW15,WHU,H,1
BOU,GW11,AVL,A,2
BOU,GW12,WHU,H,1
BOU,GW13,SUN,A,1
BOU,GW14,EVE,H,2
BOU,GW15,CHE,H,3
BRE,GW11,NEW,H,3
BRE,GW12,BHA,A,2
BRE,GW13,BUR,H,1
BRE,GW14,ARS,A,4
BRE,GW15,TOT,A,3
BUR,GW11,WHU,A,1
BUR,GW12,CHE,H,3
BUR,GW13,BRE,A,2
BUR,GW14,CRY,H,3
BUR,GW15,NEW,A,3
CHE,GW11,WOL,H,1
CHE,GW12,BUR,A,1
CHE,GW13,ARS,H,5
CHE,GW14,LEE,A,1
CHE,GW15,BOU,A,2
CRY,GW11,BHA,H,3
CRY,GW12,WOL,A,1
CRY,GW13,MUN,H,3
CRY,GW14,BUR,A,1
CRY,GW15,FUL,A,1
EVE,GW11,FUL,H,2
EVE,GW12,MUN,A,2
EVE,GW13,NEW,H,3
EVE,GW14,BOU,A,2
EVE,GW15,NFO,H,2
FUL,GW11,EVE,A,1
FUL,GW12,SUN,H,2
FUL,GW13,TOT,A,3
FUL,GW14,MCI,H,4
FUL,GW15,CRY,H,3
LEE,GW11,NFO,A,1
LEE,GW12,AVL,H,3
LEE,GW13,MCI,A,4
LEE,GW14,CHE,H,3
LEE,GW15,LIV,H,4
LIV,GW11,MCI,A,4
LIV,GW12,NFO,H,2
LIV,GW13,WHU,A,1
LIV,GW14,SUN,H,2
LIV,GW15,LEE,A,1
MCI,GW11,LIV,H,4
MCI,GW12,NEW,A,3
MCI,GW13,LEE,H,2
MCI,GW14,FUL,A,1
MCI,GW15,SUN,H,2
MUN,GW11,TOT,A,3
MUN,GW12,EVE,H,2
MUN,GW13,CRY,A,3
MUN,GW14,WHU,H,1
MUN,GW15,WOL,A,1
NEW,GW11,BRE,A,2
NEW,GW12,MCI,H,4
NEW,GW13,EVE,A,1
NEW,GW14,TOT,H,3
NEW,GW15,BUR,H,1
NFO,GW11,LEE,H,2
NFO,GW12,LIV,A,3
NFO,GW13,BHA,H,3
NFO,GW14,WOL,A,1
NFO,GW15,EVE,A,1
SUN,GW11,ARS,H,5
SUN,GW12,FUL,A,1
SUN,GW13,BOU,H,3
SUN,GW14,LIV,A,3
SUN,GW15,MCI,A,4
TOT,GW11,MUN,H,3
TOT,GW12,ARS,A,4
TOT,GW13,FUL,H,2
TOT,GW14,NEW,A,3
TOT,GW15,BRE,H,3
WHU,GW11,BUR,H,1
WHU,GW12,BOU,A,2
WHU,GW13,LIV,H,4
WHU,GW14,MUN,A,2
WHU,GW15,BHA,A,2
WOL,GW11,CHE,A,3
WOL,GW12,CRY,H,3
WOL,GW13,AVL,A,2
WOL,GW14,NFO,H,2
WOL,GW15,MUN,H,3
