Surname,Team,Position,Price,TP,Status
Semenyo,Man City,MID,8.0,153,OK
Rice,Arsenal,MID,7.6,148,OK
B.Fernandes,Man Utd,MID,9.8,143,OK
Bruno G.,Newcastle,MID,7.0,134,INJURY
Rogers,Aston Villa,MID,7.6,125,OK
Wilson,Fulham,MID,6.0,120,OK
Enzo,Chelsea,MID,6.9,118,OK
Saka,Arsenal,MID,9.8,114,DOUBT
Anderson,Nott'm Forest,MID,5.4,113,OK
Garner,Everton,MID,5.2,111,OK
Gravenberch,Liverpool,MID,5.5,111,OK
Casemiro,Man Utd,MID,5.6,110,OK
Mbeumo,Man Utd,MID,8.6,109,OK
Foden,Man City,MID,8.2,108,OK
Zubimendi,Arsenal,MID,5.3,107,OK
Gibbs-White,Nott'm Forest,MID,7.3,103,OK
Wirtz,Liverpool,MID,8.4,100,OK
Neto,Chelsea,MID,7.0,99,OK
Aaronson,Leeds,MID,5.4,98,OK
Stach,Leeds,MID,4.7,97,OK
Szoboszlai,Liverpool,MID,6.7,97,OK
Trossard,Arsenal,MID,6.8,95,DOUBT
M.Fernandes,West Ham,MID,5.5,95,OK
Tavernier,Bournemouth,MID,5.3,94,INJURY
Dewsbury-Hall,Everton,MID,4.9,93,OK
Cunha,Man Utd,MID,8.1,93,OK
Scott,Bournemouth,MID,5.0,90,OK
Cherki,Man City,MID,6.5,90,OK
E.Le Fée,Sunderland,MID,4.9,90,OK
Xhaka,Sunderland,MID,5.1,90,DOUBT
Gakpo,Liverpool,MID,7.3,89,OK
Ndiaye,Everton,MID,6.2,88,OK
O.Dango,Brentford,MID,5.8,87,OK
Schade,Brentford,MID,6.9,86,OK
Caicedo,Chelsea,MID,5.7,85,OK
Anthony,Burnley,MID,5.0,84,OK
Minteh,Brighton,MID,5.6,84,OK
Reijnders,Man City,MID,5.1,84,OK
J.Palhinha,Spurs,MID,5.5,84,OK
Ayari,Brighton,MID,4.8,83,INJURY
M.Salah,Liverpool,MID,14.0,82,OK
Palmer,Chelsea,MID,10.6,79,OK
Grealish,Everton,MID,6.3,79,INJURY
Ampadu,Leeds,MID,4.9,78,OK
Ugochukwu,Burnley,MID,5.0,77,OK
Summerville,West Ham,MID,5.6,77,OK
Wharton,Crystal Palace,MID,5.0,76,OK
Barnes,Newcastle,MID,6.1,76,OK
Buendia,Aston Villa,MID,5.3,75,OK
Kudus,Spurs,MID,6.4,75,INJURY
Yarmoliuk,Brentford,MID,5.0,74,OK
Eze,Arsenal,MID,7.2,72,OK
Doku,Man City,MID,6.4,72,DOUBT
McGinn,Aston Villa,MID,5.4,71,INJURY
Sarr,Crystal Palace,MID,6.4,71,OK
Sessegnon,Fulham,MID,5.4,71,OK
Cullen,Burnley,MID,4.9,70,INJURY
Janelt,Brentford,MID,4.9,69,OK
Okafor,Leeds,MID,5.5,67,INJURY
Amad,Man Utd,MID,6.2,67,OK
