Surname,Team,Position,Price,TP,Status
B.Fernandes,Man Utd,MID,9.1,98,OK
Semenyo,Bournemouth,MID,7.4,89,OK
Foden,Man City,MID,8.2,88,OK
Rice,Arsenal,MID,6.9,86,OK
Bruno G.,Newcastle,MID,6.8,82,OK
Wilson,Fulham,MID,5.6,78,OK
Rogers,Aston Villa,MID,7.1,76,OK
Neto,Chelsea,MID,7.3,76,OK
Saka,Arsenal,MID,10.3,75,DOUBT
Dewsbury-Hall,Everton,MID,5.1,75,DOUBT
Mbeumo,Man Utd,MID,8.2,74,INJURY
Tavernier,Bournemouth,MID,5.5,73,INJURY
Ndiaye,Everton,MID,6.4,73,INJURY
Minteh,Brighton,MID,6.2,71,OK
Gravenberch,Liverpool,MID,5.6,69,OK
Enzo,Chelsea,MID,6.6,69,OK
Xhaka,Sunderland,MID,5.2,68,OK
Cullen,Burnley,MID,5.0,67,OK
Casemiro,Man Utd,MID,5.5,67,INJURY
Kudus,Spurs,MID,6.4,67,INJURY
Eze,Arsenal,MID,7.8,66,INJURY
Gakpo,Liverpool,MID,7.4,65,INJURY
Anderson,Nott'm Forest,MID,5.4,65,INJURY
O.Dango,Brentford,MID,6.1,64,INJURY
Grealish,Everton,MID,6.5,64,INJURY
Stach,Leeds,MID,4.8,64,INJURY
M.Salah,Liverpool,MID,14.0,64,INJURY
Szoboszlai,Liverpool,MID,6.7,62,INJURY
J.Palhinha,Spurs,MID,5.5,62,OK
Garner,Everton,MID,5.0,60,OK
Trossard,Arsenal,MID,6.9,59,OK
Doku,Man City,MID,6.5,59,OK
Anthony,Burnley,MID,5.3,58,OK
Caicedo,Chelsea,MID,5.7,58,OK
Gibbs-White,Nott'm Forest,MID,7.3,58,OK
E Le Fee,Sunderland,MID,4.9,58,OK
Zubimendi,Arsenal,MID,5.2,56,OK
Wieffer,Brighton,MID,4.9,56,OK
Iwobi,Fulham,MID,6.4,56,INJURY
Sessegnon,Fulham,MID,5.4,56,INJURY
Amad,Man Utd,MID,6.3,56,INJURY
Henderson,Brentford,MID,5.0,53,OK
Merino,Arsenal,MID,6.1,52,INJURY
Sarr,Crystal Palace,MID,6.4,52,INJURY
Wharton,Crystal Palace,MID,5.0,52,INJURY
M.Fernandes,West Ham,MID,5.5,52,OK
Kamara,Aston Villa,MID,4.9,51,OK
Talbi,Sunderland,MID,5.0,51,INJURY
Adams,Bournemouth,MID,5.0,49,INJURY
Buendía,Aston Villa,MID,5.3,49,INJURY
Aaronson,Leeds,MID,5.4,49,OK
Cherki,Man City,MID,6.5,49,OK
Reijnders,Man City,MID,5.2,49,OK
L.Paquetá,West Ham,MID,5.9,49,INJURY
Scott,Bournemouth,MID,5.0,48,OK
Malen,Aston Villa,MID,5.1,47,INJURY
Ugochukwu,Burnley,MID,5.0,47,OK
Schade,Brentford,MID,7.0,47,INJURY
Sangaré,Nott'm Forest,MID,4.9,47,INJURY
Georginio,Brighton,MID,5.6,46,OK
