Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW22,NFO,A,1158,1134,1183
ARS,GW23,MUN,H,1165,1122,1201
ARS,GW24,LEE,A,1176,1122,1201
ARS,GW25,SUN,H,1122,1122,1122
ARS,GW26,BRE,A,1201,1134,1201
AVL,GW22,EVE,H,1122,1134,1109
AVL,GW23,NEW,A,1201,1201,1217
AVL,GW24,BRE,H,1165,1122,1201
AVL,GW25,BOU,A,1201,1201,1201
AVL,GW26,BHA,H,1183,1109,1201
BOU,GW22,BHA,A,1194,1134,1201
BOU,GW23,LIV,H,1201,1201,1253
BOU,GW24,WOL,A,1102,1053,1147
BOU,GW25,AVL,H,1176,1183,1170
BOU,GW26,EVE,A,1158,1158,1158
BRE,GW22,CHE,A,1201,1194,1201
BRE,GW23,NFO,H,1122,1122,1122
BRE,GW24,AVL,A,1201,1201,1201
BRE,GW25,NEW,A,1201,1201,1217
BRE,GW26,ARS,H,1266,1323,1217
BHA,GW22,BOU,H,1183,1122,1201
BHA,GW23,FUL,A,1158,1170,1147
BHA,GW24,EVE,H,1122,1134,1109
BHA,GW25,CRY,H,1199,1183,1201
BHA,GW26,AVL,A,1201,1201,1201
BUR,GW22,LIV,A,1223,1201,1295
BUR,GW23,TOT,H,1199,1158,1201
BUR,GW24,SUN,A,1176,1147,1201
BUR,GW25,WHU,H,1089,1053,1122
BUR,GW26,CRY,A,1201,1183,1217
CHE,GW22,BRE,H,1165,1122,1201
CHE,GW23,CRY,A,1201,1183,1217
CHE,GW24,WHU,H,1089,1053,1122
CHE,GW25,WOL,A,1102,1053,1147
CHE,GW26,LEE,H,1115,1095,1134
CRY,GW22,SUN,A,1176,1147,1201
CRY,GW23,CHE,H,1201,1170,1201
CRY,GW24,NFO,A,1158,1134,1183
CRY,GW25,BHA,A,1194,1134,1201
CRY,GW26,BUR,H,1061,1001,1122
EVE,GW22,AVL,A,1201,1201,1201
EVE,GW23,LEE,H,1115,1095,1134
EVE,GW24,BHA,A,1194,1134,1201
EVE,GW25,FUL,A,1158,1170,1147
EVE,GW26,BOU,H,1183,1122,1201
FUL,GW22,LEE,A,1176,1122,1201
FUL,GW23,BHA,H,1183,1109,1201
FUL,GW24,MUN,A,1201,1183,1217
FUL,GW25,EVE,H,1122,1134,1109
FUL,GW26,MCI,A,1273,1201,1383
LEE,GW22,FUL,H,1109,1095,1122
LEE,GW23,EVE,A,1158,1158,1158
LEE,GW24,ARS,H,1266,1323,1217
LEE,GW25,NFO,H,1122,1122,1122
LEE,GW26,CHE,A,1201,1194,1201
LIV,GW22,BUR,H,1061,1001,1122
LIV,GW23,BOU,A,1201,1201,1201
LIV,GW24,NEW,H,1194,1201,1183
LIV,GW25,MCI,H,1206,1201,1253
LIV,GW26,SUN,A,1176,1147,1201
MCI,GW22,MUN,A,1201,1183,1217
MCI,GW23,WOL,H,1082,1053,1109
MCI,GW24,TOT,A,1201,1183,1201
MCI,GW25,LIV,A,1223,1201,1295
MCI,GW26,FUL,H,1109,1095,1122
MUN,GW22,MCI,H,1206,1201,1253
MUN,GW23,ARS,A,1376,1399,1338
MUN,GW24,FUL,H,1109,1095,1122
MUN,GW25,TOT,H,1199,1158,1201
MUN,GW26,WHU,A,1089,1053,1122
NEW,GW22,WOL,A,1102,1053,1147
NEW,GW23,AVL,H,1176,1183,1170
NEW,GW24,LIV,A,1223,1201,1295
NEW,GW25,BRE,H,1165,1122,1201
NEW,GW26,TOT,A,1201,1183,1201
NFO,GW22,ARS,H,1266,1323,1217
NFO,GW23,BRE,A,1201,1134,1201
NFO,GW24,CRY,H,1199,1183,1201
NFO,GW25,LEE,A,1176,1122,1201
NFO,GW26,WOL,H,1082,1053,1109
SUN,GW22,CRY,H,1199,1183,1201
SUN,GW23,WHU,A,1089,1053,1122
SUN,GW24,BUR,H,1061,1001,1122
SUN,GW25,ARS,A,1376,1399,1338
SUN,GW26,LIV,H,1201,1201,1253
TOT,GW22,WHU,H,1089,1053,1122
TOT,GW23,BUR,A,1115,1109,1122
TOT,GW24,MCI,H,1206,1201,1253
TOT,GW25,MUN,A,1201,1183,1217
TOT,GW26,NEW,H,1194,1201,1183
WHU,GW22,TOT,A,1201,1183,1201
WHU,GW23,SUN,H,1122,1122,1122
WHU,GW24,CHE,A,1201,1194,1201
WHU,GW25,BUR,A,1115,1109,1122
WHU,GW26,MUN,H,1165,1122,1201
WOL,GW22,NEW,H,1194,1201,1183
WOL,GW23,MCI,A,1273,1201,1383
WOL,GW24,BOU,H,1183,1122,1201
WOL,GW25,CHE,H,1201,1170,1201
WOL,GW26,NFO,A,1158,1134,1183
