Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Bogle,Leeds,DEF,4.4,65,OK,14.77,65,1.0,65.0,LEE,1211.7142857142856,1220.5714285714284,1220.5714285714284,0.05
Murillo,Nott'm Forest,DEF,5.2,64,OK,12.31,64,1.0,64.0,NFO,1211.1904761904761,1258.333333333333,1258.333333333333,0.05
Dunk,Brighton,DEF,4.5,63,OK,14.0,63,1.0,63.0,BHA,1221.904761904762,1234.952380952381,1234.952380952381,0.05
Ajer,Brentford,DEF,4.4,62,OK,14.09,62,1.0,62.0,BRE,1193.5714285714284,1191.9999999999998,1191.9999999999998,0.05
Shaw,Man Utd,DEF,4.5,62,OK,13.78,62,1.0,62.0,MUN,1201.0,1213.4761904761904,1213.4761904761904,0.05
S.Bueno,Wolves,DEF,4.4,62,OK,14.09,62,1.0,62.0,WOL,1143.8095238095239,1157.8095238095239,1157.8095238095239,0.05
Diouf,West Ham,DEF,4.0,61,OK,15.25,61,1.0,61.0,WHU,1173.3809523809525,1233.904761904762,1233.904761904762,0.05
H.Bueno,Wolves,DEF,4.3,61,OK,14.19,61,1.0,61.0,WOL,1143.8095238095239,1157.8095238095239,1157.8095238095239,0.05
Hill,Bournemouth,DEF,4.0,59,OK,14.75,59,1.0,59.0,BOU,1177.7619047619048,1187.047619047619,1187.047619047619,0.05
Semenyo,Man City,MID,8.0,153,OK,19.12,153,1.0,153.0,MCI,1139.0,1149.5714285714284,1139.0,0.13
Rice,Arsenal,MID,7.6,148,OK,19.47,148,1.0,148.0,ARS,1143.8095238095239,1161.4761904761904,1143.8095238095239,0.13
B.Fernandes,Man Utd,MID,9.8,143,OK,14.59,143,1.0,143.0,MUN,1201.0,1213.4761904761904,1201.0,0.12
Rogers,Aston Villa,MID,7.6,125,OK,16.45,125,1.0,125.0,AVL,1164.6190476190475,1205.8095238095236,1164.6190476190475,0.11
Wilson,Fulham,MID,6.0,120,OK,20.0,120,1.0,120.0,FUL,1194.238095238095,1199.904761904762,1194.238095238095,0.1
Enzo,Chelsea,MID,6.9,118,OK,17.1,118,1.0,118.0,CHE,1156.0476190476188,1206.190476190476,1156.0476190476188,0.1
Saka,Arsenal,MID,9.8,114,DOUBT,11.63,114,1.0,114.0,ARS,1143.8095238095239,1161.4761904761904,1143.8095238095239,0.1
Anderson,Nott'm Forest,MID,5.4,113,OK,20.93,113,1.0,113.0,NFO,1211.1904761904761,1258.333333333333,1211.1904761904761,0.09
Garner,Everton,MID,5.2,111,OK,21.35,111,1.0,111.0,EVE,1188.904761904762,1251.8095238095236,1188.904761904762,0.09
Gravenberch,Liverpool,MID,5.5,111,OK,20.18,111,1.0,111.0,LIV,1183.285714285714,1194.3333333333333,1183.285714285714,0.09
Casemiro,Man Utd,MID,5.6,110,OK,19.64,110,1.0,110.0,MUN,1201.0,1213.4761904761904,1201.0,0.09
Mbeumo,Man Utd,MID,8.6,109,OK,12.67,109,1.0,109.0,MUN,1201.0,1213.4761904761904,1201.0,0.09
