Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Raya,Arsenal,GKP,6.0,109,OK,18.17,109,1.0,109.0,ARS,1143.809523809524,1161.4761904761904,1161.4761904761904,0.09,0.0,0.15953835431101637
Pickford,Everton,GKP,5.6,108,OK,19.29,108,1.0,108.0,EVE,1188.904761904762,1251.8095238095236,1251.8095238095236,0.09,0.0,0.14666768107121123
Roefs,Sunderland,GKP,4.9,107,OK,21.84,107,1.0,107.0,SUN,1184.8095238095236,1215.190476190476,1215.190476190476,0.09,0.0,0.14968846741643482
Kelleher,Brentford,GKP,4.6,96,OK,20.87,96,1.0,96.0,BRE,1193.5714285714284,1191.9999999999998,1191.9999999999998,0.08,0.0,0.13691275167785236
Sánchez,Chelsea,GKP,4.9,93,OK,18.98,93,1.0,93.0,CHE,1156.0476190476188,1206.190476190476,1206.190476190476,0.08,0.0,0.13107382550335572
Henderson,Crystal Palace,GKP,5.0,93,OK,18.6,93,1.0,93.0,CRY,1118.1904761904764,1116.6666666666663,1116.6666666666663,0.08,0.0,0.14158208955223886
Martinez,Aston Villa,GKP,5.0,92,OK,18.4,92,1.0,92.0,AVL,1164.6190476190477,1205.8095238095236,1205.8095238095236,0.08,0.0,0.12970539451860041
Donnarumma,Man City,GKP,5.6,91,OK,16.25,91,1.0,91.0,MCI,1139.0,1149.5714285714284,1149.5714285714284,0.08,0.0,0.1345718901453958
Vicario,Spurs,GKP,4.7,83,OK,17.66,83,1.0,83.0,TOT,1267.809523809524,1229.6190476190477,1229.6190476190477,0.07,0.0,0.11475098753001316
Verbruggen,Brighton,GKP,4.5,79,OK,17.56,79,1.0,79.0,BHA,1221.904761904762,1234.952380952381,1234.952380952381,0.06,0.0,0.10874913241304851
Pope,Newcastle,GKP,5.1,79,OK,15.49,79,1.0,79.0,NEW,1244.8095238095236,1307.3333333333337,1307.3333333333337,0.06,0.0,0.1027281998980112
Dúbravka,Burnley,GKP,4.0,76,OK,19.0,76,1.0,76.0,BUR,1195.0,1241.7619047619048,1241.7619047619048,0.06,0.0,0.1040457107796142
Petrović,Bournemouth,GKP,4.5,76,OK,16.89,76,1.0,76.0,BOU,1177.7619047619048,1187.047619047619,1187.047619047619,0.06,0.0,0.10884146341463413
A.Becker,Liverpool,GKP,5.4,75,OK,13.89,75,1.0,75.0,LIV,1183.285714285714,1194.3333333333333,1194.3333333333333,0.06,0.0,0.10675411666201508
Leno,Fulham,GKP,4.9,72,OK,14.69,72,1.0,72.0,FUL,1194.238095238095,1199.904761904762,1199.904761904762,0.06,0.0,0.10200809588062545
Lammens,Man Utd,GKP,5.0,59,OK,11.8,59,1.0,59.0,MUN,1201.0,1213.4761904761904,1213.4761904761904,0.05,0.0,0.08265510340226818
Areola,West Ham,GKP,4.3,51,OK,11.86,51,1.0,51.0,WHU,1173.3809523809523,1233.904761904762,1233.904761904762,0.04,0.0,0.07026474220438406
Perri,Leeds,GKP,4.5,43,OK,9.56,43,1.0,43.0,LEE,1211.7142857142856,1220.5714285714284,1220.5714285714284,0.04,0.0,0.05988998127340824
José Sá,Wolves,GKP,4.2,43,OK,10.24,43,1.0,43.0,WOL,1143.809523809524,1157.809523809524,1157.809523809524,0.04,0.0,0.06313646458830302
Darlow,Leeds,GKP,3.9,23,OK,5.9,23,1.0,23.0,LEE,1211.7142857142856,1220.5714285714284,1220.5714285714284,0.02,0.0,0.032034176029962544
Hermansen,West Ham,GKP,4.2,21,OK,5.0,21,1.0,21.0,WHU,1173.3809523809523,1233.904761904762,1233.904761904762,0.02,0.0,0.02893254090768756
Johnstone,Wolves,GKP,4.4,21,OK,4.77,21,1.0,21.0,WOL,1143.809523809524,1157.809523809524,1157.809523809524,0.02,0.0,0.03083408735707822
Mamardashvili,Liverpool,GKP,4.1,19,OK,4.63,19,1.0,19.0,LIV,1183.285714285714,1194.3333333333333,1194.3333333333333,0.02,0.0,0.027044376221043817
