Surname,Team,Position,Price,TP,Status,PPM
Raya,Arsenal,GKP,6.0,109,OK,18.17
Pickford,Everton,GKP,5.6,108,OK,19.29
Roefs,Sunderland,GKP,4.9,107,OK,21.84
Kelleher,Brentford,GKP,4.6,96,OK,20.87
Sánchez,Chelsea,GKP,4.9,93,OK,18.98
Henderson,Crystal Palace,GKP,5.0,93,OK,18.6
Martinez,Aston Villa,GKP,5.0,92,OK,18.4
Donnarumma,Man City,GKP,5.6,91,OK,16.25
Vicario,Spurs,GKP,4.7,83,OK,17.66
Verbruggen,Brighton,GKP,4.5,79,OK,17.56
Pope,Newcastle,GKP,5.1,79,OK,15.49
Dúbravka,Burnley,GKP,4.0,76,OK,19.0
Petrović,Bournemouth,GKP,4.5,76,OK,16.89
A.Becker,Liverpool,GKP,5.4,75,OK,13.89
Leno,Fulham,GKP,4.9,72,OK,14.69
Lammens,Man Utd,GKP,5.0,59,OK,11.8
Areola,West Ham,GKP,4.3,51,OK,11.86
Perri,Leeds,GKP,4.5,43,OK,9.56
José Sá,Wolves,GKP,4.2,43,OK,10.24
Darlow,Leeds,GKP,3.9,23,OK,5.9
Hermansen,West Ham,GKP,4.2,21,OK,5.0
Johnstone,Wolves,GKP,4.4,21,OK,4.77
Mamardashvili,Liverpool,GKP,4.1,19,OK,4.63
Trafford,Man City,GKP,4.5,11,OK,2.44
Bayindir,Man Utd,GKP,4.7,11,OK,2.34
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29
Ortega Moreno,Nott'm Forest,GKP,4.7,8,OK,1.7
Gabriel,Arsenal,DEF,7.1,142,OK,20.0
J.Timber,Arsenal,DEF,6.4,124,OK,19.38
Chalobah,Chelsea,DEF,5.8,124,OK,21.38
Guéhi,Man City,DEF,5.2,124,OK,23.85
Tarkowski,Everton,DEF,5.7,117,OK,20.53
Lacroix,Crystal Palace,DEF,5.1,116,OK,22.75
Matheus N.,Man City,DEF,5.4,115,OK,21.3
Mukiele,Sunderland,DEF,4.6,114,OK,24.78
Virgil,Liverpool,DEF,5.9,111,OK,18.81
Senesi,Bournemouth,DEF,4.8,106,OK,22.08
Keane,Everton,DEF,4.7,103,OK,21.91
Rúben,Man City,DEF,5.5,102,OK,18.55
O'Reilly,Man City,DEF,4.9,100,OK,20.41
Van de Ven,Spurs,DEF,4.5,100,OK,22.22
Cash,Aston Villa,DEF,4.9,99,DOUBT,20.2
Konaté,Liverpool,DEF,5.4,99,OK,18.33
Muñoz,Crystal Palace,DEF,5.9,98,OK,16.61
James,Chelsea,DEF,5.6,97,OK,17.32
Thiaw,Newcastle,DEF,5.0,97,OK,19.4
Ballard,Sunderland,DEF,4.6,97,OK,21.09
Mitchell,Crystal Palace,DEF,5.0,94,OK,18.8
Richards,Crystal Palace,DEF,4.4,93,OK,21.14
Collins,Brentford,DEF,5.0,92,OK,18.4
Van Hecke,Brighton,DEF,4.4,92,OK,20.91
Truffert,Bournemouth,DEF,4.5,89,OK,19.78
Andersen,Fulham,DEF,4.5,89,OK,19.78
Alderete,Sunderland,DEF,4.1,88,OK,21.46
Calafiori,Arsenal,DEF,5.6,86,OK,15.36
Dalot,Man Utd,DEF,4.5,86,OK,19.11
Saliba,Arsenal,DEF,6.1,84,OK,13.77
Konsa,Aston Villa,DEF,4.4,80,OK,18.18
N.Williams,Nott'm Forest,DEF,4.7,79,OK,16.81
Lewis-Potter,Brentford,DEF,4.8,77,OK,16.04
Gusto,Chelsea,DEF,4.9,77,OK,15.71
Rodon,Leeds,DEF,3.9,77,OK,19.74
Milenković,Nott'm Forest,DEF,5.1,76,OK,14.9
Struijk,Leeds,DEF,4.3,74,OK,17.21
Hume,Sunderland,DEF,4.5,74,OK,16.44
Kayode,Brentford,DEF,4.5,73,OK,16.22
Digne,Aston Villa,DEF,4.5,72,OK,16.0
Burn,Newcastle,DEF,5.0,70,OK,14.0
Van den Berg,Brentford,DEF,4.5,68,OK,15.11
Mykolenko,Everton,DEF,4.9,67,OK,13.67
Tete,Fulham,DEF,4.5,67,OK,14.89
F.Kadıoğlu,Brighton,DEF,4.4,65,OK,14.77
Bogle,Leeds,DEF,4.4,65,OK,14.77
Murillo,Nott'm Forest,DEF,5.2,64,OK,12.31
Dunk,Brighton,DEF,4.5,63,OK,14.0
Ajer,Brentford,DEF,4.4,62,OK,14.09
Shaw,Man Utd,DEF,4.5,62,OK,13.78
S.Bueno,Wolves,DEF,4.4,62,OK,14.09
Diouf,West Ham,DEF,4.0,61,OK,15.25
H.Bueno,Wolves,DEF,4.3,61,OK,14.19
Hill,Bournemouth,DEF,4.0,59,OK,14.75
Semenyo,Man City,MID,8.0,153,OK,19.12
Rice,Arsenal,MID,7.6,148,OK,19.47
B.Fernandes,Man Utd,MID,9.8,143,OK,14.59
Rogers,Aston Villa,MID,7.6,125,OK,16.45
Wilson,Fulham,MID,6.0,120,OK,20.0
Enzo,Chelsea,MID,6.9,118,OK,17.1
Saka,Arsenal,MID,9.8,114,DOUBT,11.63
Anderson,Nott'm Forest,MID,5.4,113,OK,20.93
Garner,Everton,MID,5.2,111,OK,21.35
Gravenberch,Liverpool,MID,5.5,111,OK,20.18
Casemiro,Man Utd,MID,5.6,110,OK,19.64
Mbeumo,Man Utd,MID,8.6,109,OK,12.67
Foden,Man City,MID,8.2,108,OK,13.17
Zubimendi,Arsenal,MID,5.3,107,OK,20.19
Gibbs-White,Nott'm Forest,MID,7.3,103,OK,14.11
Wirtz,Liverpool,MID,8.4,100,OK,11.9
Neto,Chelsea,MID,7.0,99,OK,14.14
Aaronson,Leeds,MID,5.4,98,OK,18.15
Stach,Leeds,MID,4.7,97,OK,20.64
Szoboszlai,Liverpool,MID,6.7,97,OK,14.48
Trossard,Arsenal,MID,6.8,95,DOUBT,13.97
M.Fernandes,West Ham,MID,5.5,95,OK,17.27
Dewsbury-Hall,Everton,MID,4.9,93,OK,18.98
Cunha,Man Utd,MID,8.1,93,OK,11.48
Scott,Bournemouth,MID,5.0,90,OK,18.0
Cherki,Man City,MID,6.5,90,OK,13.85
E.Le Fée,Sunderland,MID,4.9,90,OK,18.37
Xhaka,Sunderland,MID,5.1,90,DOUBT,17.65
Gakpo,Liverpool,MID,7.3,89,OK,12.19
