Surname,Team,Position,Price,TP,Status,PPM
Raya,Arsenal,GKP,6.0,66,OK,11.0
Pickford,Everton,GKP,5.5,66,OK,12.0
Roefs,Sunderland,GKP,4.7,64,OK,13.62
Henderson,Crystal Palace,GKP,5.1,63,OK,12.35
Sánchez,Chelsea,GKP,4.8,57,OK,11.88
Vicario,Spurs,GKP,4.9,57,OK,11.63
Martinez,Aston Villa,GKP,5.1,54,OK,10.59
Petrović,Bournemouth,GKP,4.5,52,OK,11.56
Verbruggen,Brighton,GKP,4.4,44,OK,10.0
Dúbravka,Burnley,GKP,4.0,43,OK,10.75
Donnarumma,Man City,GKP,5.7,43,OK,7.54
Leno,Fulham,GKP,4.9,42,OK,8.57
Kelleher,Brentford,GKP,4.5,40,OK,8.89
Sels,Nott'm Forest,GKP,4.7,40,OK,8.51
A.Becker,Liverpool,GKP,5.4,32,OK,5.93
Areola,West Ham,GKP,4.3,32,OK,7.44
Perri,Leeds,GKP,4.5,25,OK,5.56
Lammens,Man Utd,GKP,5.1,24,OK,4.71
Johnstone,Wolves,GKP,4.5,22,OK,4.89
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42
Trafford,Man City,GKP,4.6,11,OK,2.39
Bayindir,Man Utd,GKP,4.8,11,OK,2.29
Darlow,Leeds,GKP,3.9,10,OK,2.56
Hermansen,West Ham,GKP,4.3,9,OK,2.09
M.Bizot,Aston Villa,GKP,4.3,8,OK,1.86
Ramsdale,Newcastle,GKP,4.8,5,OK,1.04
José Sá,Wolves,GKP,4.3,5,OK,1.16
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23
Arrizabalaga,Arsenal,GKP,4.1,0,OK,0.0
Guehi,Crystal Palace,DEF,5.2,91,DOUBT,17.5
Muñoz,Crystal Palace,DEF,6.1,89,OK,14.59
Chalobah,Chelsea,DEF,5.3,82,OK,15.47
Lacroix,Crystal Palace,DEF,5.1,80,OK,15.69
J.Timber,Arsenal,DEF,6.5,78,OK,12.0
Keane,Everton,DEF,4.6,76,OK,16.52
Cash,Aston Villa,DEF,4.8,73,OK,15.21
Tarkowski,Everton,DEF,5.4,73,OK,13.52
Richards,Crystal Palace,DEF,4.6,72,OK,15.65
Senesi,Bournemouth,DEF,5.0,71,OK,14.2
Mitchell,Crystal Palace,DEF,5.0,70,OK,14.0
Rúben,Man City,DEF,5.6,67,OK,11.96
Burn,Newcastle,DEF,5.1,66,OK,12.94
Van Hecke,Brighton,DEF,4.5,65,OK,14.44
Van de Ven,Spurs,DEF,4.7,64,OK,13.62
Cucurella,Chelsea,DEF,6.2,63,OK,10.16
O'Reilly,Man City,DEF,5.2,62,OK,11.92
James,Chelsea,DEF,5.6,61,OK,10.89
Ballard,Sunderland,DEF,4.6,58,OK,12.61
Romero,Spurs,DEF,5.0,58,OK,11.6
Matheus N.,Man City,DEF,5.3,57,OK,10.75
Truffert,Bournemouth,DEF,4.5,56,OK,12.44
Virgil,Liverpool,DEF,6.0,56,OK,9.33
Mukiele,Sunderland,DEF,4.2,56,OK,13.33
Andersen,Fulham,DEF,4.5,54,OK,12.0
Gvardiol,Man City,DEF,5.9,53,OK,8.98
Pedro Porro,Spurs,DEF,5.3,53,OK,10.0
Rodon,Leeds,DEF,4.1,52,OK,12.68
Konaté,Liverpool,DEF,5.4,52,OK,9.63
Digne,Aston Villa,DEF,4.5,51,OK,11.33
Gusto,Chelsea,DEF,4.9,50,OK,10.2
Alderete,Sunderland,DEF,4.0,50,OK,12.5
