Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Roefs,Sunderland,GKP,4.8,73,OK,15.21,10.0,1.0,73.0
Raya,Arsenal,GKP,6.0,68,OK,11.33,2.0,1.0,68.0
Pickford,Everton,GKP,5.5,68,OK,12.36,8.0,1.0,68.0
Henderson,Crystal Palace,GKP,5.1,64,OK,12.55,4.0,1.0,64.0
Sánchez,Chelsea,GKP,4.9,63,OK,12.86,16.0,1.0,63.0
Vicario,Spurs,GKP,4.9,59,OK,12.04,8.0,1.0,59.0
Martinez,Aston Villa,GKP,5.1,54,DOUBT,10.59,0.0,1.0,54.0
Petrović,Bournemouth,GKP,4.5,53,OK,11.78,8.0,1.0,53.0
Donnarumma,Man City,GKP,5.7,50,OK,8.77,13.0,1.0,50.0
Verbruggen,Brighton,GKP,4.4,45,OK,10.23,4.0,1.0,45.0
Leno,Fulham,GKP,4.9,45,OK,9.18,5.0,1.0,45.0
Dúbravka,Burnley,GKP,4.0,44,OK,11.0,4.0,1.0,44.0
Kelleher,Brentford,GKP,4.5,43,OK,9.56,5.0,1.0,43.0
Sels,Nott'm Forest,GKP,4.7,40,DOUBT,8.51,2.0,1.0,40.0
A.Becker,Liverpool,GKP,5.4,39,OK,7.22,8.0,1.0,39.0
Areola,West Ham,GKP,4.3,33,OK,7.67,4.0,1.0,33.0
Perri,Leeds,GKP,4.5,27,OK,6.0,4.0,1.0,27.0
Lammens,Man Utd,GKP,5.1,25,OK,4.9,3.0,1.0,25.0
Johnstone,Wolves,GKP,4.5,21,OK,4.67,0.0,1.0,21.0
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0
Darlow,Leeds,GKP,3.9,10,OK,2.56,0.0,1.0,10.0
M.Bizot,Aston Villa,GKP,4.2,9,OK,2.14,1.0,1.0,9.0
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0
Ramsdale,Newcastle,GKP,4.8,7,OK,1.46,4.0,1.0,7.0
John,Nott'm Forest,GKP,4.0,6,OK,1.5,6.0,1.0,6.0
José Sá,Wolves,GKP,4.2,5,OK,1.19,0.0,1.0,5.0
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,0.0,1.0,1.0
Guéhi,Crystal Palace,DEF,4.6,92,OK,20.0,92.0,1.0,92.0
Muñoz,Crystal Palace,DEF,5.9,81,OK,13.73,-8.0,1.0,81.0
Lacroix,Crystal Palace,DEF,5.2,81,OK,15.58,3.0,1.0,81.0
J.Timber,Arsenal,DEF,5.6,80,OK,14.29,2.0,1.0,80.0
Keane,Everton,DEF,4.6,77,DOUBT,16.74,10.0,1.0,77.0
Rúben,Man City,DEF,5.6,75,OK,13.39,22.0,1.0,75.0
Tarkowski,Everton,DEF,5.5,74,OK,13.45,10.0,1.0,74.0
Cash,Aston Villa,DEF,4.9,73,OK,14.9,1.0,1.0,73.0
Richards,Crystal Palace,DEF,4.6,73,OK,15.87,5.0,1.0,73.0
Senesi,Bournemouth,DEF,4.6,72,OK,15.65,9.0,1.0,72.0
Calafiori,Arsenal,DEF,5.7,71,OK,12.46,0.0,1.0,71.0
Mitchell,Crystal Palace,DEF,5.0,71,OK,14.2,3.0,1.0,71.0
Cucurella,Chelsea,DEF,6.2,69,OK,11.13,12.0,1.0,69.0
Gusto,Chelsea,DEF,4.9,68,OK,13.88,25.0,1.0,68.0
