Surname,Team,Position,Price,TP,Status,PPM
Roefs,Sunderland,GKP,4.8,73,OK,15.21
Raya,Arsenal,GKP,6.0,68,OK,11.33
Pickford,Everton,GKP,5.5,68,OK,12.36
Henderson,Crystal Palace,GKP,5.1,64,OK,12.55
Sánchez,Chelsea,GKP,4.9,63,OK,12.86
Vicario,Spurs,GKP,4.9,59,OK,12.04
Martinez,Aston Villa,GKP,5.1,54,DOUBT,10.59
Petrović,Bournemouth,GKP,4.5,53,OK,11.78
Donnarumma,Man City,GKP,5.7,50,OK,8.77
Verbruggen,Brighton,GKP,4.4,45,OK,10.23
Leno,Fulham,GKP,4.9,45,OK,9.18
Dúbravka,Burnley,GKP,4.0,44,OK,11.0
Kelleher,Brentford,GKP,4.5,43,OK,9.56
Sels,Nott'm Forest,GKP,4.7,40,DOUBT,8.51
A.Becker,Liverpool,GKP,5.4,39,OK,7.22
Areola,West Ham,GKP,4.3,33,OK,7.67
Perri,Leeds,GKP,4.5,27,OK,6.0
Lammens,Man Utd,GKP,5.1,25,OK,4.9
Johnstone,Wolves,GKP,4.5,21,OK,4.67
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42
Trafford,Man City,GKP,4.6,11,OK,2.39
Bayindir,Man Utd,GKP,4.8,11,OK,2.29
Darlow,Leeds,GKP,3.9,10,OK,2.56
M.Bizot,Aston Villa,GKP,4.2,9,OK,2.14
Hermansen,West Ham,GKP,4.3,9,OK,2.09
Ramsdale,Newcastle,GKP,4.8,7,OK,1.46
John,Nott'm Forest,GKP,4.0,6,OK,1.5
José Sá,Wolves,GKP,4.2,5,OK,1.19
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23
Guéhi,Crystal Palace,DEF,4.6,92,OK,20.0
Muñoz,Crystal Palace,DEF,5.9,81,OK,13.73
Lacroix,Crystal Palace,DEF,5.2,81,OK,15.58
J.Timber,Arsenal,DEF,5.6,80,OK,14.29
Keane,Everton,DEF,4.6,77,DOUBT,16.74
Rúben,Man City,DEF,5.6,75,OK,13.39
Tarkowski,Everton,DEF,5.5,74,OK,13.45
Cash,Aston Villa,DEF,4.9,73,OK,14.9
Richards,Crystal Palace,DEF,4.6,73,OK,15.87
Senesi,Bournemouth,DEF,4.6,72,OK,15.65
Calafiori,Arsenal,DEF,5.7,71,OK,12.46
Mitchell,Crystal Palace,DEF,5.0,71,OK,14.2
Cucurella,Chelsea,DEF,6.2,69,OK,11.13
Gusto,Chelsea,DEF,4.9,68,OK,13.88
Matheus N.,Man City,DEF,5.3,68,OK,12.83
