Surname,Team,Position,Price,TP,Status
Haaland,Man City,FWD,14.1,135,OK
Thiago,Brentford,FWD,6.5,82,OK
Bowen,West Ham,FWD,7.5,74,OK
Ekitiké,Liverpool,FWD,8.6,68,OK
João Pedro,Chelsea,FWD,7.3,66,OK
Mateta,Crystal Palace,FWD,8.0,63,OK
Richarlison,Spurs,FWD,6.4,61,OK
Welbeck,Brighton,FWD,6.5,59,OK
Calvert-Lewin,Leeds,FWD,5.6,57,OK
Woltemade,Newcastle,FWD,7.4,56,OK
Watkins,Aston Villa,FWD,8.5,50,OK
Isidor,Sunderland,FWD,5.5,47,OK
Wilson,West Ham,FWD,5.8,43,OK
Gyökeres,Arsenal,FWD,8.8,41,OK
Raúl,Fulham,FWD,6.3,41,OK
Flemming,Burnley,FWD,5.3,40,OK
Kroupi.Jr,Bournemouth,FWD,4.6,40,OK
Evanilson,Bournemouth,FWD,7.0,38,OK
Nmecha,Leeds,FWD,5.0,37,DOUBT
Foster,Burnley,FWD,5.0,36,INJURY
Šeško,Man Utd,FWD,7.2,35,INJURY
Igor Jesus,Nott'm Forest,FWD,5.8,31,INJURY
Strand Larsen,Wolves,FWD,6.2,30,OK
Beto,Everton,FWD,5.0,26,INJURY
Barry,Everton,FWD,5.7,25,OK
Wood,Nott'm Forest,FWD,7.2,25,INJURY
Brobbey,Sunderland,FWD,5.5,24,OK
Isak,Liverpool,FWD,10.3,23,OK
Nketiah,Crystal Palace,FWD,5.4,20,OK
Toti,Wolves,FWD,5.4,20,OK
Zirkzee,Man Utd,FWD,5.8,18,OK
Osula,Newcastle,FWD,5.4,18,INJURY
Muniz,Fulham,FWD,5.4,17,INJURY
Mayenda,Sunderland,FWD,5.3,17,OK
Tzimas,Brighton,FWD,5.3,16,INJURY
Kolo Muani,Spurs,FWD,6.9,14,OK
Tolu,Wolves,FWD,5.4,13,OK
Delap,Chelsea,FWD,6.2,12,INJURY
Marc Guiu,Chelsea,FWD,4.2,12,OK
Füllkrug,West Ham,FWD,5.6,12,OK
Broja,Burnley,FWD,5.2,12,INJURY
Kostoulas,Brighton,FWD,4.8,11,OK
Enes Ünal,Bournemouth,FWD,5.4,9,OK
Piroe,Leeds,FWD,5.0,9,INJURY
Mané,Wolves,FWD,4.5,8,OK
Kalimuendo,Nott'm Forest,FWD,6.0,7,OK
Uche,Crystal Palace,FWD,5.5,6,INJURY
Awoniyi,Nott'm Forest,FWD,5.2,4,INJURY
Kusi-Asare,Fulham,FWD,4.5,2,INJURY
Wissa,Newcastle,FWD,7.3,2,OK
Solanke,Spurs,FWD,7.2,2,DOUBT
Marshall,West Ham,FWD,4.3,2,INJURY
Havertz,Arsenal,FWD,7.3,1,OK
Barnes,Burnley,FWD,4.3,1,OK
G.Jesus,Arsenal,FWD,6.4,1,INJURY
Amdouni,Burnley,FWD,4.8,0,INJURY
Morgan,Brentford,FWD,4.4,0,INJURY
Marsh,Crystal Palace,FWD,4.5,0,INJURY
Gray,Leeds,FWD,4.5,0,INJURY
Danns,Liverpool,FWD,4.3,0,INJURY
Obi,Man Utd,FWD,4.2,0,INJURY
