Surname,Team,Position,Price,TP,Status
Groß,Brighton,MID,5.7,33,OK
Saka,Arsenal,MID,9.5,30,OK
Schade,Brentford,MID,6.1,30,OK
Tavernier,Bournemouth,MID,6.1,29,OK
Gakpo,Liverpool,MID,7.2,29,OK
B.Fernandes,Man Utd,MID,12.0,29,OK
Scott,Bournemouth,MID,6.1,28,OK
Ødegaard,Arsenal,MID,6.8,27,OK
Rogers,Chelsea,MID,7.7,27,OK
Belloumi,Hull City,MID,5.1,27,OK
Palmer,Chelsea,MID,9.7,26,OK
Cherki,Man City,MID,7.8,26,OK
Gibbs-White,Nott'm Forest,MID,8.0,26,OK
Janelt,Brentford,MID,5.0,25,OK
Mbeumo,Man Utd,MID,7.9,23,OK
M.Sangaré,Brentford,MID,5.7,22,OK
King,Fulham,MID,5.5,22,OK
Stach,Leeds,MID,6.0,22,OK
Rice,Arsenal,MID,7.4,19,OK
Lewis-Potter,Brentford,MID,5.5,19,OK
Yalcouyé,Brighton,MID,4.5,19,OK
Barnes,Newcastle,MID,6.0,19,OK
Xhaka,Sunderland,MID,5.5,19,OK
Kamada,Crystal Palace,MID,5.0,18,OK
George,Everton,MID,5.5,18,OK
Szoboszlai,Liverpool,MID,7.0,18,OK
Mainoo,Man Utd,MID,5.5,18,OK
Elanga,Newcastle,MID,6.2,18,OK
Dewsbury-Hall,Everton,MID,6.5,17,OK
Ndiaye,Man City,MID,5.9,17,OK
Hinshelwood,Brighton,MID,5.9,16,OK
Gomez,Brighton,MID,5.0,16,OK
Ampadu,Leeds,MID,5.4,16,OK
Semenyo,Man City,MID,8.4,16,OK
Cunha,Man Utd,MID,7.9,16,OK
Kluivert,Bournemouth,MID,6.0,15,OK
Okafor,Leeds,MID,5.8,15,OK
Tzolis,Arsenal,MID,6.4,14,OK
Armstrong,Everton,MID,5.0,14,OK
Munoz,Liverpool,MID,6.5,14,OK
Ndoye,Nott'm Forest,MID,5.5,14,OK
Damsgaard,Brentford,MID,5.4,13,OK
Slater,Hull City,MID,4.5,13,OK
Enciso,Ipswich Town,MID,5.5,13,OK
Anderson,Man City,MID,6.3,13,OK
E.Le Fée,Sunderland,MID,5.8,13,OK
Ayari,Brighton,MID,5.4,12,OK
Neto,Chelsea,MID,6.5,12,OK
Yeremy,Crystal Palace,MID,5.5,12,OK
Tanaka,Leeds,MID,4.9,12,OK
Wirtz,Liverpool,MID,7.3,12,OK
Willock,Newcastle,MID,5.0,12,OK
Tonali,Spurs,MID,5.4,12,OK
N.Angulo,Sunderland,MID,5.0,12,OK
McGinn,Aston Villa,MID,5.4,11,OK
Lavia,Chelsea,MID,5.0,11,OK
Palacios,Fulham,MID,5.4,11,OK
Schlager,Nott'm Forest,MID,5.0,11,OK
Bentancur,Spurs,MID,5.5,11,OK
Wharton,Crystal Palace,MID,5.5,10,OK
