Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Form_Factor,Raw_Form,Adjusted_Form,Form_Efficiency,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Raya,Arsenal,GKP,6.0,253,OK,42.17,29,15.0,15.0,17.78,1.08,1.0,253.0,ARS,1143.3333333333337,1194.5714285714284,1194.5714285714284,0.21,0.0,0.22221023678545807
Tzolakis,Hull City,GKP,4.6,235,OK,51.09,28,26.0,26.0,30.22,1.93,1.0,235.0,HUL,1123.095238095238,1127.0476190476188,1127.0476190476188,0.21,0.0,0.22727877302687177
A.Becker,Liverpool,GKP,5.5,163,OK,29.64,19,10.0,10.0,11.96,0.69,1.0,163.0,LIV,1132.809523809524,1248.3333333333333,1248.3333333333333,0.13,0.0,0.13728064085447264
Trafford,Leeds,GKP,5.0,139,OK,27.8,18,15.0,15.0,18.26,1.12,1.0,139.0,LEE,1190.428571428571,1204.4761904761904,1204.4761904761904,0.12,0.0,0.1260149442555547
Verbruggen,Brighton,GKP,4.5,155,OK,34.44,17,9.0,9.0,10.44,0.66,1.0,155.0,BHA,1258.809523809524,1249.7142857142858,1249.7142857142858,0.12,0.0,0.12987608596250572
Pickford,Everton,GKP,5.5,156,OK,28.36,17,11.0,11.0,13.51,0.83,1.0,156.0,EVE,1108.4285714285716,1089.5238095238094,1089.5238095238094,0.14,0.0,0.151861756993007
Donnarumma,Man City,GKP,5.5,156,OK,28.36,17,10.0,10.0,12.24,0.74,1.0,156.0,MCI,1177.047619047619,1157.190476190476,1157.190476190476,0.13,0.0,0.14221340685568498
Kinsky,Spurs,GKP,4.5,126,OK,28.0,16,9.0,9.0,10.63,0.66,1.0,126.0,TOT,1173.904761904762,1217.5238095238096,1217.5238095238096,0.1,0.0,0.10960032071339174
Leno,Fulham,GKP,4.5,138,OK,30.67,15,6.0,6.0,6.98,0.44,1.0,138.0,FUL,1121.5238095238094,1167.2380952380954,1167.2380952380954,0.12,0.0,0.12241375652741512
Suzuki,Aston Villa,GKP,5.0,130,OK,26.0,14,12.0,12.0,13.74,0.87,1.0,130.0,AVL,1154.857142857143,1189.857142857143,1189.857142857143,0.11,0.0,0.117340136871173
Kelleher,Brentford,GKP,5.0,135,OK,27.0,14,11.0,11.0,12.28,0.79,1.0,135.0,BRE,1162.0,1215.2857142857142,1215.2857142857142,0.11,0.0,0.11815822264017868
Sels,Nott'm Forest,GKP,5.0,112,OK,22.4,12,9.0,9.0,10.86,0.68,1.0,112.0,NFO,1141.4761904761904,1171.7619047619046,1171.7619047619046,0.1,0.0,0.10207022392002278
Horníček,Newcastle,GKP,5.0,108,OK,21.6,11,10.0,10.0,11.75,0.74,1.0,108.0,NEW,1092.0476190476188,1075.7142857142858,1075.7142857142858,0.1,0.0,0.10804448871181938
Roefs,Sunderland,GKP,4.9,111,OK,22.65,11,9.0,9.0,10.77,0.65,1.0,111.0,SUN,1166.7619047619048,1251.0476190476188,1251.0476190476188,0.09,0.0,0.09475178897685752
Petrović,Bournemouth,GKP,4.5,78,OK,17.33,7,6.0,6.0,6.85,0.44,1.0,78.0,BOU,1182.5238095238096,1262.7619047619046,1262.7619047619046,0.06,0.0,0.06556659627422884
Martinez,Chelsea,GKP,5.0,77,OK,15.4,7,5.0,5.0,5.46,0.35,1.0,77.0,CHE,1133.2857142857142,1172.9047619047617,1172.9047619047617,0.07,0.0,0.06890755551946735
Scherpen,Ipswich Town,GKP,4.5,75,OK,16.67,7,6.0,6.0,7.51,0.45,1.0,75.0,IPS,1160.2857142857144,1179.190476190476,1179.190476190476,0.06,0.0,0.06806109922061142
Lammens,Man Utd,GKP,4.9,75,OK,15.31,7,5.0,5.0,6.15,0.35,1.0,75.0,MUN,1091.571428571429,1140.047619047619,1140.047619047619,0.07,0.0,0.06956288375589993
Rushworth,Coventry City,GKP,4.5,60,OK,13.33,5,5.0,5.0,6.05,0.37,1.0,60.0,COV,1123.6666666666663,1184.2857142857142,1184.2857142857142,0.05,0.0,0.0542394451145959
Henderson,Crystal Palace,GKP,5.0,64,OK,12.8,5,5.0,5.0,6.03,0.36,1.0,64.0,CRY,1114.3809523809523,1145.047619047619,1145.047619047619,0.06,0.0,0.05957918156866007
Benitez,Crystal Palace,GKP,4.5,37,OK,8.22,2,2.0,2.0,2.36,0.14,1.0,37.0,CRY,1114.3809523809523,1145.047619047619,1145.047619047619,0.03,0.0,0.03375580138068702
M.Bizot,Aston Villa,GKP,4.5,11,OK,2.44,1,1.0,1.0,1.34,0.07,1.0,11.0,AVL,1154.857142857143,1189.857142857143,1189.857142857143,0.01,0.0,0.010033137231360307
Arrizabalaga,Arsenal,GKP,4.9,24,OK,4.9,0,0.0,0.0,0.0,0.0,1.0,24.0,ARS,1143.3333333333337,1194.5714285714284,1194.5714285714284,0.02,0.0,0.020090887347524518
Meslier,Arsenal,GKP,4.9,24,OK,4.9,0,0.0,0.0,0.0,0.0,1.0,24.0,ARS,1143.3333333333337,1194.5714285714284,1194.5714285714284,0.02,0.0,0.020090887347524518
Forster,Bournemouth,GKP,4.0,19,OK,4.75,0,0.0,0.0,0.0,0.0,1.0,19.0,BOU,1182.5238095238096,1262.7619047619046,1262.7619047619046,0.02,0.0,0.015046383588505923
Di Gregorio,Bournemouth,GKP,4.5,22,OK,4.89,0,0.0,0.0,0.0,0.0,1.0,22.0,BOU,1182.5238095238096,1262.7619047619046,1262.7619047619046,0.02,0.0,0.017422128365638438
Valdimarsson,Brentford,GKP,4.5,22,OK,4.89,0,0.0,0.0,0.0,0.0,1.0,22.0,BRE,1162.0,1215.2857142857142,1215.2857142857142,0.02,0.0,0.01810273892088868
Steele,Brighton,GKP,4.0,19,OK,4.75,0,0.0,0.0,0.0,0.0,1.0,19.0,BHA,1258.809523809524,1249.7142857142858,1249.7142857142858,0.02,0.0,0.01520347508001829
Penders,Chelsea,GKP,4.4,21,OK,4.77,0,0.0,0.0,0.0,0.0,1.0,21.0,CHE,1133.2857142857142,1172.9047619047617,1172.9047619047617,0.02,0.0,0.017904266980634163
Wilson,Coventry City,GKP,4.4,21,OK,4.77,0,0.0,0.0,0.0,0.0,1.0,21.0,COV,1123.6666666666663,1184.2857142857142,1184.2857142857142,0.02,0.0,0.01773220747889023
Bogle,Leeds,DEF,4.6,300,OK,65.22,37,22.0,22.0,27.19,1.65,1.0,300.0,LEE,1190.428571428571,1204.4761904761904,1204.4761904761904,0.25,0.0,0.26487281568751486
Gvardiol,Man City,DEF,5.7,267,OK,46.84,33,22.0,22.0,26.26,1.63,1.0,267.0,MCI,1177.047619047619,1157.190476190476,1157.190476190476,0.23,0.0,0.24661627093535252
De Cuyper,Brighton,DEF,4.9,260,OK,53.06,32,21.0,21.0,24.73,1.53,1.0,260.0,BHA,1258.809523809524,1249.7142857142858,1249.7142857142858,0.21,3.25,0.2245001143118427
Tarkowski,Everton,DEF,6.1,254,OK,41.64,29,21.0,21.0,26.45,1.58,1.0,254.0,EVE,1108.4285714285716,1089.5238095238094,1089.5238095238094,0.23,0.0,0.25012303321678325
Calafiori,Arsenal,DEF,5.8,235,OK,40.52,28,22.0,22.0,26.45,1.59,1.0,235.0,ARS,1143.3333333333337,1194.5714285714284,1194.5714285714284,0.2,0.0,0.21222255441281992
Ajayi,Hull City,DEF,4.2,216,OK,51.43,26,25.0,25.0,28.43,1.86,1.0,216.0,HUL,1123.095238095238,1127.0476190476188,1127.0476190476188,0.19,0.0,0.20930881358796694
Guéhi,Man City,DEF,6.0,233,OK,38.83,26,20.0,20.0,23.94,1.48,1.0,233.0,MCI,1177.047619047619,1157.190476190476,1157.190476190476,0.2,0.0,0.2158313649644048
Egan,Hull City,DEF,4.1,208,OK,50.73,25,23.0,23.0,26.84,1.71,1.0,208.0,HUL,1123.095238095238,1127.0476190476188,1127.0476190476188,0.18,0.0,0.20122308602332267
Mendy,Hull City,DEF,4.1,208,OK,50.73,25,24.0,24.0,26.99,1.79,1.0,208.0,HUL,1123.095238095238,1127.0476190476188,1127.0476190476188,0.18,0.0,0.20131624978874435
Gabriel,Arsenal,DEF,8.0,224,OK,28.0,24,15.0,15.0,17.99,1.08,1.08,241.92,ARS,1143.3333333333337,1194.5714285714284,1194.5714285714284,0.2,0.0,0.21305800047835446
Vuskovic,Brighton,DEF,5.0,204,OK,40.8,24,18.0,18.0,20.13,1.31,1.0,204.0,BHA,1258.809523809524,1249.7142857142858,1249.7142857142858,0.16,0.0,0.17451268861454047
Giles,Hull City,DEF,4.0,200,OK,50.0,24,20.0,20.0,23.41,1.49,1.0,200.0,HUL,1123.095238095238,1127.0476190476188,1127.0476190476188,0.18,0.75,0.19266000507013695
Davis,Ipswich Town,DEF,4.0,192,OK,48.0,23,9.0,9.0,11.73,0.68,1.0,192.0,IPS,1160.2857142857144,1179.190476190476,1179.190476190476,0.16,0.0,0.16978681904454232
Dunk,Brighton,DEF,4.5,187,OK,41.56,22,11.0,11.0,12.59,0.8,1.0,187.0,BHA,1258.809523809524,1249.7142857142858,1249.7142857142858,0.15,1.25,0.15768644261545495
Mykolenko,Everton,DEF,4.5,186,OK,41.33,22,11.0,11.0,13.62,0.83,1.0,186.0,EVE,1108.4285714285716,1089.5238095238094,1089.5238095238094,0.17,0.0,0.17946739510489512
