Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Tzolakis,Hull City,GKP,4.5,162,OK,36.0,10.0,1.0,162.0,HUL,1114.4761904761904,1136.4761904761904,1136.4761904761904,0.14,0.0,0.14870527109695802
Trafford,Leeds,GKP,5.0,79,OK,15.8,9.0,1.0,79.0,LEE,1169.5714285714284,1213.2380952380952,1213.2380952380952,0.07,0.0,0.0703077164612607
Kelleher,Brentford,GKP,5.0,168,OK,33.6,7.0,1.0,168.0,BRE,1113.142857142857,1132.142857142857,1132.142857142857,0.15,0.0,0.1527192429022082
Pickford,Everton,GKP,5.5,161,OK,29.27,7.0,1.0,161.0,EVE,1083.190476190476,1199.095238095238,1199.095238095238,0.13,0.0,0.13835431476112944
Raya,Arsenal,GKP,6.0,175,OK,29.17,6.0,1.0,175.0,ARS,1146.809523809524,1185.6666666666663,1185.6666666666663,0.15,0.0,0.15113859994377288
Verbruggen,Brighton,GKP,4.5,150,OK,33.33,6.0,1.0,150.0,BHA,1155.6190476190477,1191.0952380952378,1191.0952380952378,0.13,0.0,0.129460680446168
Donnarumma,Man City,GKP,5.5,131,OK,23.82,3.0,1.0,131.0,MCI,1140.428571428571,1174.952380952381,1174.952380952381,0.11,0.0,0.11328118667423198
Petrović,Bournemouth,GKP,4.5,114,OK,25.33,2.0,1.0,114.0,BOU,1150.952380952381,1174.6190476190477,1174.6190476190477,0.1,0.0,0.0982446183159687
Sánchez,Chelsea,GKP,5.0,106,OK,21.2,2.0,1.0,106.0,CHE,1201.142857142857,1178.5714285714284,1178.5714285714284,0.09,0.0,0.09112727272727274
Henderson,Crystal Palace,GKP,5.0,120,OK,24.0,2.0,1.0,120.0,CRY,1177.4285714285716,1240.904761904762,1240.904761904762,0.1,0.0,0.09783184312521585
Leno,Fulham,GKP,4.5,113,OK,25.11,2.0,1.0,113.0,FUL,1121.857142857143,1149.4761904761904,1149.4761904761904,0.1,0.0,0.09952359252661669
Scherpen,Ipswich Town,GKP,4.5,102,OK,22.67,2.0,1.0,102.0,IPS,1179.4761904761904,1248.2380952380952,1248.2380952380952,0.08,0.0,0.08283676038606799
A.Becker,Liverpool,GKP,5.5,88,OK,16.0,2.0,1.0,88.0,LIV,1136.0952380952378,1150.904761904762,1150.904761904762,0.08,0.0,0.07767801729488187
Sels,Nott'm Forest,GKP,5.0,99,OK,19.8,2.0,1.0,99.0,NFO,1154.142857142857,1224.3809523809523,1224.3809523809523,0.08,0.0,0.0820006222775358
