Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Roefs,Sunderland,GKP,4.7,60,OK,12.77,4.0,1.0,60.0,SUN,1169.8666666666668,1260.2666666666667,1260.2666666666667,0.05
Raya,Arsenal,GKP,5.9,58,OK,9.83,5.0,1.0,58.0,ARS,1154.5333333333335,1185.8,1185.8,0.05
Henderson,Crystal Palace,GKP,5.0,53,OK,10.6,8.0,1.0,53.0,CRY,1138.2666666666667,1175.8,1175.8,0.05
Pickford,Everton,GKP,5.5,53,OK,9.64,11.0,1.0,53.0,EVE,1192.2666666666667,1180.0666666666668,1180.0666666666668,0.04
Martinez,Aston Villa,GKP,5.1,50,OK,9.8,10.0,1.0,50.0,AVL,1132.8666666666666,1162.8666666666666,1162.8666666666666,0.04
Vicario,Spurs,GKP,5.0,49,OK,9.8,2.0,1.0,49.0,TOT,1140.3999999999999,1179.6666666666665,1179.6666666666665,0.04
Sánchez,Chelsea,GKP,4.8,46,OK,9.58,9.0,1.0,46.0,CHE,1211.7333333333333,1195.1333333333334,1195.1333333333334,0.04
Petrović,Bournemouth,GKP,4.5,43,OK,9.56,3.0,1.0,43.0,BOU,1143.1333333333332,1173.2666666666667,1173.2666666666667,0.04
Verbruggen,Brighton,GKP,4.4,40,OK,9.09,14.0,1.0,40.0,BHA,1138.7333333333333,1177.9333333333332,1177.9333333333332,0.03
Leno,Fulham,GKP,4.9,40,OK,8.16,6.0,1.0,40.0,FUL,1173.8,1198.8666666666666,1198.8666666666666,0.03
Dúbravka,Burnley,GKP,4.0,38,OK,9.5,3.0,1.0,38.0,BUR,1159.6,1193.5333333333333,1193.5333333333333,0.03
Donnarumma,Man City,GKP,5.7,37,OK,6.49,6.0,1.0,37.0,MCI,1128.7333333333333,1145.0666666666666,1145.0666666666666,0.03
Kelleher,Brentford,GKP,4.5,36,OK,8.0,4.0,1.0,36.0,BRE,1159.2666666666667,1198.3333333333333,1198.3333333333333,0.03
Sels,Nott'm Forest,GKP,4.7,32,OK,6.81,9.0,1.0,32.0,NFO,1113.8666666666666,1174.2,1174.2,0.03
A.Becker,Liverpool,GKP,5.4,28,OK,5.19,8.0,1.0,28.0,LIV,1100.5333333333333,1153.0,1153.0,0.02
Areola,West Ham,GKP,4.3,26,OK,6.05,11.0,1.0,26.0,WHU,1180.3999999999999,1230.6666666666667,1230.6666666666667,0.02
Perri,Leeds,GKP,4.5,21,OK,4.67,4.0,1.0,21.0,LEE,1182.6,1272.4,1272.4,0.02
Lammens,Man Utd,GKP,5.0,20,OK,4.0,4.0,1.0,20.0,MUN,1114.8,1174.2,1174.2,0.02
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0,LIV,1100.5333333333333,1153.0,1153.0,0.02
Johnstone,Wolves,GKP,4.5,19,OK,4.22,4.0,1.0,19.0,WOL,1184.8666666666666,1197.9333333333334,1197.9333333333334,0.02
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0,MCI,1128.7333333333333,1145.0666666666666,1145.0666666666666,0.01
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,MUN,1114.8,1174.2,1174.2,0.01
Darlow,Leeds,GKP,4.0,10,OK,2.5,0.0,1.0,10.0,LEE,1182.6,1272.4,1272.4,0.01
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0,WHU,1180.3999999999999,1230.6666666666667,1230.6666666666667,0.01
M.Bizot,Aston Villa,GKP,4.3,7,OK,1.63,0.0,1.0,7.0,AVL,1132.8666666666666,1162.8666666666666,1162.8666666666666,0.01
José Sá,Wolves,GKP,4.3,5,OK,1.16,0.0,1.0,5.0,WOL,1184.8666666666666,1197.9333333333334,1197.9333333333334,0.0
Ramsdale,Newcastle,GKP,4.8,2,OK,0.42,2.0,1.0,2.0,NEW,1125.1333333333334,1170.3333333333333,1170.3333333333333,0.0
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,0.0,1.0,1.0,CHE,1211.7333333333333,1195.1333333333334,1195.1333333333334,0.0
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0,0.0,1.0,0.0,ARS,1154.5333333333335,1185.8,1185.8,0.0
Gabriel,Arsenal,DEF,6.3,81,OK,12.86,81.0,1.0,81.0,ARS,1154.5333333333335,1185.8,1185.8,0.07
Muñoz,Crystal Palace,DEF,6.0,75,OK,12.5,15.0,1.0,75.0,CRY,1138.2666666666667,1175.8,1175.8,0.06
J.Timber,Arsenal,DEF,6.4,74,OK,11.56,7.0,1.0,74.0,ARS,1154.5333333333335,1185.8,1185.8,0.06
Chalobah,Chelsea,DEF,5.2,70,OK,13.46,15.0,1.0,70.0,CHE,1211.7333333333333,1195.1333333333334,1195.1333333333334,0.06
Lacroix,Crystal Palace,DEF,5.1,70,OK,13.73,14.0,1.0,70.0,CRY,1138.2666666666667,1175.8,1175.8,0.06
Guehi,Crystal Palace,DEF,5.1,69,OK,13.53,5.0,1.0,69.0,CRY,1138.2666666666667,1175.8,1175.8,0.06
