Surname,Team,Position,Price,TP,Status
Haaland,Man City,FWD,14.1,102,OK
Thiago,Brentford,FWD,6.3,60,OK
João Pedro,Chelsea,FWD,7.7,59,OK
Mateta,Crystal Palace,FWD,8.1,50,OK
Bowen,West Ham,FWD,7.7,46,OK
Welbeck,Brighton,FWD,6.5,45,OK
Richarlison,Spurs,FWD,6.4,44,OK
Isidor,Sunderland,FWD,5.6,41,OK
Woltemade,Newcastle,FWD,7.4,40,OK
Ekitiké,Liverpool,FWD,8.6,39,OK
Gyökeres,Arsenal,FWD,8.9,37,INJURY
Šeško,Man Utd,FWD,7.3,31,DOUBT
Kroupi.Jr,Bournemouth,FWD,4.6,30,OK
Foster,Burnley,FWD,5.0,28,OK
Watkins,Aston Villa,FWD,8.5,27,OK
Flemming,Burnley,FWD,5.3,25,OK
Evanilson,Bournemouth,FWD,7.0,25,OK
Raúl,Fulham,FWD,6.2,25,OK
Calvert-Lewin,Leeds,FWD,5.5,25,OK
Wood,Nott'm Forest,FWD,7.2,25,INJURY
Nmecha,Leeds,FWD,5.0,23,OK
Wilson,West Ham,FWD,5.8,22,OK
Beto,Everton,FWD,5.2,21,OK
Strand Larsen,Wolves,FWD,6.3,21,OK
Osula,Newcastle,FWD,5.5,18,INJURY
Muniz,Fulham,FWD,5.4,17,DOUBT
Mayenda,Sunderland,FWD,5.4,16,OK
Igor Jesus,Nott'm Forest,FWD,5.8,14,OK
Brobbey,Sunderland,FWD,5.5,13,OK
Barry,Everton,FWD,5.7,12,OK
