Surname,Team,Position,Price,TP,Status
Isak,Liverpool,FWD,10.4,12,OK
Marc Guiu,Chelsea,FWD,4.2,11,OK
Fullkrug,West Ham,FWD,5.6,11,OK
Tzimas,Brighton,FWD,5.3,10,OK
Tolu,Wolves,FWD,5.5,10,OK
Nketiah,Crystal Palace,FWD,5.4,9,OK
Kostoulas,Brighton,FWD,4.8,8,OK
Delap,Chelsea,FWD,6.2,8,OK
Enes Unal,Bournemouth,FWD,5.4,7,OK
Piroe,Leeds,FWD,5.0,7,OK
Kolo Muani,Spurs,FWD,6.9,7,OK
Broja,Burnley,FWD,5.2,6,OK
Zirkzee,Man Utd,FWD,5.8,6,OK
Kalimuendo,Nott'm Forest,FWD,6.0,6,OK
Awoniyi,Nott'm Forest,FWD,5.2,4,INJURY
Uche,Crystal Palace,FWD,5.5,3,OK
Solanke,Spurs,FWD,7.2,2,INJURY
Marshall,West Ham,FWD,4.4,2,OK
Havertz,Arsenal,FWD,7.3,1,DOUBT
Barnes,Burnley,FWD,4.3,1,OK
Kusi-Asare,Fulham,FWD,4.5,1,OK
Mané,Wolves,FWD,4.5,1,OK
G.Jesus,Arsenal,FWD,6.4,0,DOUBT
Amdouni,Burnley,FWD,4.8,0,INJURY
Morgan,Brentford,FWD,4.4,0,OK
Marsh,Crystal Palace,FWD,4.5,0,OK
Gray,Leeds,FWD,4.5,0,OK
Danns,Liverpool,FWD,4.3,0,INJURY
Obi,Man Utd,FWD,4.3,0,OK
Wissa,Newcastle,FWD,7.3,0,INJURY
Haaland,Man City,FWD,14.9,104,OK
Thiago,Brentford,FWD,6.5,64,OK
João Pedro,Chelsea,FWD,7.5,60,OK
Welbeck,Brighton,FWD,6.6,53,OK
Mateta,Crystal Palace,FWD,8.1,51,OK
Richarlison,Spurs,FWD,6.4,50,OK
Bowen,West Ham,FWD,7.6,50,OK
Isidor,Sunderland,FWD,5.6,43,OK
Woltemade,Newcastle,FWD,7.4,42,OK
Ekitiké,Liverpool,FWD,8.5,40,DOUBT
Gyökeres,Arsenal,FWD,8.8,37,DOUBT
Wilson,West Ham,FWD,5.8,34,OK
Kroupi.Jr,Bournemouth,FWD,4.6,32,OK
Raúl,Fulham,FWD,6.2,31,OK
Nmecha,Leeds,FWD,5.0,31,OK
Seško,Man Utd,FWD,7.2,31,INJURY
Evanilson,Bournemouth,FWD,7.0,30,OK
Watkins,Aston Villa,FWD,8.5,29,OK
Foster,Burnley,FWD,5.0,29,OK
Flemming,Burnley,FWD,5.3,27,OK
Calvert-Lewin,Leeds,FWD,5.5,26,OK
Wood,Nott'm Forest,FWD,7.2,25,INJURY
Strand Larsen,Wolves,FWD,6.3,23,OK
Beto,Everton,FWD,5.1,22,OK
Osula,Newcastle,FWD,5.5,18,INJURY
Muniz,Fulham,FWD,5.4,17,INJURY
Mayenda,Sunderland,FWD,5.3,17,OK
Igor Jesus,Nott'm Forest,FWD,5.8,16,OK
Barry,Everton,FWD,5.7,14,OK
Brobbey,Sunderland,FWD,5.5,14,OK
