Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Roefs,Sunderland,GKP,4.7,59,OK,12.55,5.0,1.0,59.0,SUN,1169.8666666666668,1260.2666666666669,1260.2666666666669,0.05,0.0,0.04879919593736774
Raya,Arsenal,GKP,5.9,55,OK,9.32,3.0,1.0,55.0,ARS,1154.5333333333335,1185.8,1185.8,0.05,0.0,0.04764715803676843
Pope,Newcastle,GKP,5.2,55,OK,10.58,6.0,1.0,55.0,NEW,1125.1333333333334,1170.3333333333333,1170.3333333333333,0.05,0.0,0.0495585303332384
Pickford,Everton,GKP,5.5,52,OK,9.45,17.0,1.0,52.0,EVE,1192.2666666666669,1180.0666666666668,1180.0666666666668,0.04,0.0,0.051268289927122755
Henderson,Crystal Palace,GKP,5.0,51,OK,10.2,15.0,1.0,51.0,CRY,1138.2666666666669,1175.8,1175.8,0.04,0.0,0.04975335941486648
Vicario,Spurs,GKP,5.0,48,OK,9.6,2.0,1.0,48.0,TOT,1140.4,1179.6666666666663,1179.6666666666663,0.04,0.0,0.04153715738909298
Martinez,Aston Villa,GKP,5.0,43,OK,8.6,17.0,1.0,43.0,AVL,1132.8666666666666,1162.8666666666666,1162.8666666666666,0.04,0.0,0.04428710657570373
Sánchez,Chelsea,GKP,4.8,43,OK,8.96,12.0,1.0,43.0,CHE,1211.7333333333331,1195.1333333333334,1195.1333333333334,0.04,0.0,0.040999609527528305
Petrović,Bournemouth,GKP,4.5,41,OK,9.11,2.0,1.0,41.0,BOU,1143.1333333333332,1173.2666666666669,1173.2666666666669,0.03,0.0,0.0357974884936644
Leno,Fulham,GKP,5.0,39,OK,7.8,7.0,1.0,39.0,FUL,1173.8,1198.8666666666666,1198.8666666666666,0.03,0.0,0.03545014736139688
Dúbravka,Burnley,GKP,4.0,37,OK,9.25,4.0,1.0,37.0,BUR,1159.6,1193.5333333333333,1193.5333333333333,0.03,0.0,0.03267608780651288
Kelleher,Brentford,GKP,4.5,34,OK,7.56,4.0,1.0,34.0,BRE,1159.2666666666669,1198.3333333333333,1198.3333333333333,0.03,0.0,0.030041724617524343
Verbruggen,Brighton,GKP,4.4,33,OK,7.5,13.0,1.0,33.0,BHA,1138.7333333333331,1177.9333333333332,1177.9333333333332,0.03,0.0,0.033533306921727325
Donnarumma,Man City,GKP,5.7,32,OK,5.61,7.0,1.0,32.0,MCI,1128.7333333333331,1145.0666666666666,1145.0666666666666,0.03,0.0,0.031002561714019564
Sels,Nott'm Forest,GKP,4.7,30,OK,6.38,9.0,1.0,30.0,NFO,1113.8666666666666,1174.2,1174.2,0.03,0.0,0.029381706693919263
Areola,West Ham,GKP,4.3,24,OK,5.58,11.0,1.0,24.0,WHU,1180.4,1230.6666666666667,1230.6666666666667,0.02,0.0,0.023970747562296855
A.Becker,Liverpool,GKP,5.4,22,DOUBT,4.07,2.0,1.0,22.0,LIV,1100.5333333333333,1153.0,1153.0,0.02,0.0,0.0199479618386817
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,7.0,1.0,19.0,LIV,1100.5333333333333,1153.0,1153.0,0.02,0.0,0.019514310494362534
Perri,Leeds,GKP,4.5,18,OK,4.0,3.0,1.0,18.0,LEE,1182.6,1272.4,1272.4,0.01,0.0,0.015325369380697893
Lammens,Man Utd,GKP,5.0,18,OK,3.6,3.0,1.0,18.0,MUN,1114.8,1174.2,1174.2,0.02,0.0,0.01660705160960654
Johnstone,Wolves,GKP,4.5,16,OK,3.56,3.0,1.0,16.0,WOL,1184.8666666666666,1197.9333333333334,1197.9333333333334,0.01,0.0,0.01460849240358395
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0,MCI,1128.7333333333331,1145.0666666666666,1145.0666666666666,0.01,0.0,0.009606427573358174
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,MUN,1114.8,1174.2,1174.2,0.01,0.0,0.009368080395162664
Darlow,Leeds,GKP,4.0,10,OK,2.5,0.0,1.0,10.0,LEE,1182.6,1272.4,1272.4,0.01,0.0,0.007859163784973278
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0,WHU,1180.4,1230.6666666666667,1230.6666666666667,0.01,0.0,0.0073131094257854815
M.Bizot,Aston Villa,GKP,4.3,7,OK,1.63,0.0,1.0,7.0,AVL,1132.8666666666666,1162.8666666666666,1162.8666666666666,0.01,0.0,0.006019606719027691
José Sá,Wolves,GKP,4.3,5,OK,1.16,0.0,1.0,5.0,WOL,1184.8666666666666,1197.9333333333334,1197.9333333333334,0.0,0.0,0.004173854972452557
Jorgensen,Chelsea,GKP,4.3,1,OK,0.23,1.0,1.0,1.0,CHE,1211.7333333333331,1195.1333333333334,1195.1333333333334,0.0,0.0,0.001255090087577397
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0,0.0,1.0,0.0,ARS,1154.5333333333335,1185.8,1185.8,0.0,0.0,0.0
Setford,Arsenal,GKP,4.0,0,OK,0.0,0.0,1.0,0.0,ARS,1154.5333333333335,1185.8,1185.8,0.0,0.0,0.0
Hume,Sunderland,DEF,4.5,42,OK,9.33,2.0,1.0,42.0,SUN,1169.8666666666668,1260.2666666666669,1260.2666666666669,0.03,2.75,0.03630184088023698
Saliba,Arsenal,DEF,6.0,41,OK,6.83,3.0,1.0,41.0,ARS,1154.5333333333335,1185.8,1185.8,0.03,0.0,0.03584078259402935
De Ligt,Man Utd,DEF,5.0,41,OK,8.2,11.0,1.0,41.0,MUN,1114.8,1174.2,1174.2,0.03,0.0,0.03960143076136944
Gusto,Chelsea,DEF,4.9,40,OK,8.16,40.0,1.0,40.0,CHE,1211.7333333333331,1195.1333333333334,1195.1333333333334,0.03,0.0,0.050203603503095884
Konaté,Liverpool,DEF,5.4,39,OK,7.22,39.0,1.0,39.0,LIV,1100.5333333333333,1153.0,1153.0,0.03,0.0,0.05073720728534258
Livramento,Newcastle,DEF,4.9,39,OK,7.96,39.0,1.0,39.0,NEW,1125.1333333333334,1170.3333333333333,1170.3333333333333,0.03,0.0,0.04998575904300769
Hartman,Burnley,DEF,4.0,37,OK,9.25,37.0,1.0,37.0,BUR,1159.6,1193.5333333333333,1193.5333333333333,0.03,1.5,0.04775735910182651
Van den Berg,Brentford,DEF,4.5,37,OK,8.22,5.0,1.0,37.0,BRE,1159.2666666666669,1198.3333333333333,1198.3333333333333,0.03,0.0,0.032962447844228096
Bassey,Fulham,DEF,4.5,37,OK,8.22,11.0,1.0,37.0,FUL,1173.8,1198.8666666666666,1198.8666666666666,0.03,0.0,0.03545014736139688
Konsa,Aston Villa,DEF,4.4,35,OK,7.95,8.0,1.0,35.0,AVL,1132.8666666666666,1162.8666666666666,1162.8666666666666,0.03,0.0,0.03353780886315428
Kayode,Brentford,DEF,4.5,35,OK,7.78,5.0,1.0,35.0,BRE,1159.2666666666669,1198.3333333333333,1198.3333333333333,0.03,0.0,0.03129346314325452
Gvardiol,Man City,DEF,5.8,35,OK,6.03,7.0,1.0,35.0,MCI,1128.7333333333331,1145.0666666666666,1145.0666666666666,0.03,0.0,0.03362249650675361
O'Brien,Everton,DEF,4.9,34,OK,6.94,7.0,1.0,34.0,EVE,1192.2666666666669,1180.0666666666668,1180.0666666666668,0.03,0.0,0.031777865657307496
Diouf,West Ham,DEF,4.3,34,OK,7.91,4.0,1.0,34.0,WHU,1180.4,1230.6666666666667,1230.6666666666667,0.03,0.0,0.029252437703141926
Collins,Brentford,DEF,4.9,33,OK,6.73,3.0,1.0,33.0,BRE,1159.2666666666669,1198.3333333333333,1198.3333333333333,0.03,0.0,0.02878998609179416
N.Williams,Nott'm Forest,DEF,4.7,33,OK,7.02,33.0,1.0,33.0,NFO,1113.8666666666666,1174.2,1174.2,0.03,0.0,0.04215636177823199
Tete,Fulham,DEF,4.5,32,OK,7.11,32.0,1.0,32.0,FUL,1173.8,1198.8666666666666,1198.8666666666666,0.03,0.0,0.040037813490518825
Botman,Newcastle,DEF,4.9,32,OK,6.53,4.0,1.0,32.0,NEW,1125.1333333333334,1170.3333333333333,1170.3333333333333,0.03,0.0,0.029051552264312164
Estève,Burnley,DEF,3.9,31,OK,7.95,6.0,1.0,31.0,BUR,1159.6,1193.5333333333333,1193.5333333333333,0.03,0.0,0.028486845780036865
