Surname,Team,Position,Price,TP,Status,PPM
Tavernier,Bournemouth,MID,5.5,24,OK,4.36
P.M.Sarr,Spurs,MID,5.0,23,OK,4.6
Gana,Everton,MID,5.4,22,OK,4.07
Ndoye,Nott'm Forest,MID,6.0,22,OK,3.67
Henderson,Brentford,MID,5.0,21,OK,4.2
Yarmoliuk,Brentford,MID,5.0,21,OK,4.2
Mbeumo,Man Utd,MID,8.1,21,OK,2.59
Anderson,Nott'm Forest,MID,5.4,21,OK,3.89
Johnson,Spurs,MID,6.9,21,OK,3.04
Bergvall,Spurs,MID,5.4,21,OK,3.89
Scott,Bournemouth,MID,5.0,20,OK,4.0
Mitoma,Brighton,MID,6.4,20,OK,3.12
Dewsbury-Hall,Everton,MID,5.0,20,OK,4.0
Tonali,Newcastle,MID,5.4,20,OK,3.7
O.Dango,Brentford,MID,6.0,19,OK,3.17
Talbi,Sunderland,MID,5.0,19,OK,3.8
McGinn,Aston Villa,MID,5.4,18,OK,3.33
Ayari,Brighton,MID,4.9,18,OK,3.67
Neto,Chelsea,MID,7.0,18,OK,2.57
Wilson,Fulham,MID,5.4,18,OK,3.33
E.Le Fée,Sunderland,MID,4.9,18,OK,3.67
Rogers,Aston Villa,MID,6.9,17,OK,2.46
Buendía,Aston Villa,MID,5.3,17,OK,3.21
Schade,Brentford,MID,7.0,17,OK,2.43
Damsgaard,Brentford,MID,5.8,17,OK,2.93
Gruda,Brighton,MID,5.4,17,OK,3.15
Lukić,Fulham,MID,5.0,17,OK,3.4
Foden,Man City,MID,8.1,17,OK,2.1
Hudson-Odoi,Nott'm Forest,MID,6.0,17,OK,2.83
Eze,Arsenal,MID,7.6,16,OK,2.11
Adams,Bournemouth,MID,5.0,16,OK,3.2
Brooks,Bournemouth,MID,5.0,16,OK,3.2
Kamada,Crystal Palace,MID,5.0,16,OK,3.2
Wharton,Crystal Palace,MID,5.0,16,OK,3.2
Haaland,Man City,FWD,14.4,62,OK,4.31
João Pedro,Chelsea,FWD,7.7,37,OK,4.81
Bowen,West Ham,FWD,7.7,33,OK,4.29
Ekitiké,Liverpool,FWD,8.7,32,DOUBT,3.68
Richarlison,Spurs,FWD,6.8,31,OK,4.56
Thiago,Brentford,FWD,6.0,30,OK,5.0
Isidor,Sunderland,FWD,5.6,27,OK,4.82
Gyökeres,Arsenal,FWD,9.0,24,OK,2.67
Wood,Nott'm Forest,FWD,7.4,22,OK,2.97
Foster,Burnley,FWD,5.0,20,OK,4.0
Evanilson,Bournemouth,FWD,7.0,20,OK,2.86
Watkins,Aston Villa,FWD,8.7,18,OK,2.07
Mateta,Crystal Palace,FWD,7.5,18,OK,2.4
Woltemade,Newcastle,FWD,7.1,18,OK,2.54
Welbeck,Brighton,FWD,6.3,17,OK,2.7
Calvert-Lewin,Leeds,FWD,5.5,16,INJURY,2.91
Muniz,Fulham,FWD,5.5,15,INJURY,2.73
Beto,Everton,FWD,5.4,14,OK,2.59
Šeško,Man Utd,FWD,7.3,14,OK,1.92
Mayenda,Sunderland,FWD,5.5,13,OK,2.36
Raúl,Fulham,FWD,6.3,12,DOUBT,1.9
Nmecha,Leeds,FWD,5.0,11,OK,2.2
Osula,Newcastle,FWD,5.5,11,OK,2.0
Wilson,West Ham,FWD,5.9,11,OK,1.86
Kroupi.Jr,Bournemouth,FWD,4.5,9,OK,2.0
Füllkrug,West Ham,FWD,5.7,8,OK,1.4
Barry,Everton,FWD,5.8,7,OK,1.21
Strand Larsen,Wolves,FWD,6.4,7,DOUBT,1.09
Nketiah,Crystal Palace,FWD,5.4,5,OK,0.93
Igor Jesus,Nott'm Forest,FWD,5.8,5,OK,0.86
