Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score
Botman,Newcastle,DEF,4.9,20,OK,4.08,1.0,20.0,NEW,2.2,9.09
Ballard,Sunderland,DEF,4.6,20,OK,4.35,1.0,20.0,SUN,2.8,7.14
Saliba,Arsenal,DEF,6.0,19,OK,3.17,1.0,19.0,ARS,2.0,9.5
Ekdal,Burnley,DEF,4.0,19,OK,4.75,1.0,19.0,BUR,2.4,7.92
Van den Berg,Brentford,DEF,4.5,18,OK,4.0,1.0,18.0,BRE,3.4,5.29
O'Brien,Everton,DEF,5.0,18,OK,3.6,1.0,18.0,EVE,2.8,6.43
Rúben,Man City,DEF,5.5,18,OK,3.27,1.0,18.0,MCI,2.6,6.92
De Ligt,Man Utd,DEF,5.0,18,OK,3.6,1.0,18.0,MUN,2.6,6.92
Hartman,Burnley,DEF,4.0,17,OK,4.25,1.0,17.0,BUR,2.4,7.08
Kayode,Brentford,DEF,4.5,17,OK,3.78,1.0,17.0,BRE,3.4,5.0
Bassey,Fulham,DEF,4.5,17,OK,3.78,1.0,17.0,FUL,2.8,6.07
Collins,Brentford,DEF,5.0,16,OK,3.2,1.0,16.0,BRE,3.4,4.71
Lewis-Potter,Brentford,DEF,5.0,16,OK,3.2,1.0,16.0,BRE,3.4,4.71
Matheus N.,Man City,DEF,5.3,16,OK,3.02,1.0,16.0,MCI,2.6,6.15
S.Bueno,Wolves,DEF,4.4,16,OK,3.64,1.0,16.0,WOL,2.2,7.27
James,Chelsea,DEF,5.4,15,OK,2.78,1.0,15.0,CHE,2.4,6.25
Tete,Fulham,DEF,4.5,15,OK,3.33,1.0,15.0,FUL,2.8,5.36
O'Reilly,Man City,DEF,4.9,15,OK,3.06,1.0,15.0,MCI,2.6,5.77
Maguire,Man Utd,DEF,4.4,15,OK,3.41,1.0,15.0,MUN,2.6,5.77
N.Williams,Nott'm Forest,DEF,4.9,15,OK,3.06,1.0,15.0,NFO,2.6,5.77
Konsa,Aston Villa,DEF,4.6,14,OK,3.04,1.0,14.0,AVL,3.0,4.67
Estève,Burnley,DEF,4.0,14,OK,3.5,1.0,14.0,BUR,2.4,5.83
Dunk,Brighton,DEF,4.5,14,OK,3.11,1.0,14.0,BHA,2.0,7.0
Semenyo,Bournemouth,MID,7.8,48,OK,6.15,1.0,48.0,BOU,3.0,16.0
Anthony,Burnley,MID,5.7,40,OK,7.02,1.0,40.0,BUR,2.4,16.67
Enzo,Chelsea,MID,6.7,39,OK,5.82,1.2,46.8,CHE,2.4,19.5
Caicedo,Chelsea,MID,5.7,35,OK,6.14,1.0,35.0,CHE,2.4,14.58
Gravenberch,Liverpool,MID,5.6,35,OK,6.25,1.0,35.0,LIV,3.0,11.67
Garner,Everton,MID,5.0,32,OK,6.4,1.0,32.0,EVE,2.8,11.43
M.Salah,Liverpool,MID,14.5,32,OK,2.21,1.5,48.0,LIV,3.0,16.0
Cullen,Burnley,MID,5.0,31,OK,6.2,1.0,31.0,BUR,2.4,12.92
Stach,Leeds,MID,5.0,31,OK,6.2,1.0,31.0,LEE,2.0,15.5
Ndiaye,Everton,MID,6.5,30,OK,4.62,1.0,30.0,EVE,2.8,10.71
Rice,Arsenal,MID,6.5,29,OK,4.46,1.0,29.0,ARS,2.0,14.5
Zubimendi,Arsenal,MID,5.5,29,OK,5.27,1.0,29.0,ARS,2.0,14.5
Minteh,Brighton,MID,5.9,29,OK,4.92,1.0,29.0,BHA,2.0,14.5
Sarr,Crystal Palace,MID,6.4,29,OK,4.53,1.0,29.0,CRY,3.0,9.67
Xhaka,Sunderland,MID,5.0,29,OK,5.8,1.0,29.0,SUN,2.8,10.36
J.Palhinha,Spurs,MID,5.5,28,OK,5.09,1.0,28.0,TOT,2.8,10.0
Iwobi,Fulham,MID,6.5,28,OK,4.31,1.0,28.0,FUL,2.8,10.0
Doku,Man City,MID,6.6,28,OK,4.24,1.0,28.0,MCI,2.6,10.77
Reijnders,Man City,MID,5.8,28,OK,4.83,1.0,28.0,MCI,2.6,10.77
L.Paquetá,West Ham,MID,5.9,27,OK,4.58,1.0,27.0,WHU,2.6,10.38
Grealish,Everton,MID,6.9,27,OK,3.91,1.0,27.0,EVE,2.8,9.64
Kudus,Spurs,MID,6.7,27,OK,4.03,1.0,27.0,TOT,2.8,9.64
Longstaff,Leeds,MID,4.9,26,OK,5.31,1.0,26.0,LEE,2.0,13.0
Gakpo,Liverpool,MID,7.5,26,OK,3.47,1.0,26.0,LIV,3.0,8.67
Szoboszlai,Liverpool,MID,6.5,26,OK,4.0,1.0,26.0,LIV,3.0,8.67
B.Fernandes,Man Utd,MID,9.0,25,OK,2.78,1.0,25.0,MUN,2.6,9.62
Tavernier,Bournemouth,MID,5.5,24,OK,4.36,1.0,24.0,BOU,3.0,8.0
P.M.Sarr,Spurs,MID,5.0,23,OK,4.6,1.0,23.0,TOT,2.8,8.21
Gana,Everton,MID,5.4,22,OK,4.07,1.0,22.0,EVE,2.8,7.86
Ndoye,Nott'm Forest,MID,6.0,22,OK,3.67,1.0,22.0,NFO,2.6,8.46
Henderson,Brentford,MID,5.0,21,OK,4.2,1.0,21.0,BRE,3.4,6.18
Yarmoliuk,Brentford,MID,5.0,21,OK,4.2,1.0,21.0,BRE,3.4,6.18
Mbeumo,Man Utd,MID,8.1,21,OK,2.59,1.0,21.0,MUN,2.6,8.08
Anderson,Nott'm Forest,MID,5.4,21,OK,3.89,1.0,21.0,NFO,2.6,8.08
Johnson,Spurs,MID,6.9,21,OK,3.04,1.0,21.0,TOT,2.8,7.5
Bergvall,Spurs,MID,5.4,21,OK,3.89,1.0,21.0,TOT,2.8,7.5
Scott,Bournemouth,MID,5.0,20,OK,4.0,1.0,20.0,BOU,3.0,6.67
Mitoma,Brighton,MID,6.4,20,OK,3.12,1.0,20.0,BHA,2.0,10.0
Dewsbury-Hall,Everton,MID,5.0,20,OK,4.0,1.0,20.0,EVE,2.8,7.14
Tonali,Newcastle,MID,5.4,20,OK,3.7,1.0,20.0,NEW,2.2,9.09
O.Dango,Brentford,MID,6.0,19,OK,3.17,1.0,19.0,BRE,3.4,5.59
Talbi,Sunderland,MID,5.0,19,OK,3.8,1.0,19.0,SUN,2.8,6.79
McGinn,Aston Villa,MID,5.4,18,OK,3.33,1.0,18.0,AVL,3.0,6.0
Ayari,Brighton,MID,4.9,18,OK,3.67,1.0,18.0,BHA,2.0,9.0
Neto,Chelsea,MID,7.0,18,OK,2.57,1.0,18.0,CHE,2.4,7.5
Wilson,Fulham,MID,5.4,18,OK,3.33,1.0,18.0,FUL,2.8,6.43
E.Le Fée,Sunderland,MID,4.9,18,OK,3.67,1.0,18.0,SUN,2.8,6.43
Rogers,Aston Villa,MID,6.9,17,OK,2.46,1.0,17.0,AVL,3.0,5.67
