Surname,Team,Position,Price,TP,Status
Semenyo,Bournemouth,MID,7.8,48,OK
Anthony,Burnley,MID,5.7,40,OK
Enzo,Chelsea,MID,6.7,39,OK
Caicedo,Chelsea,MID,5.7,35,OK
Gravenberch,Liverpool,MID,5.6,35,OK
Garner,Everton,MID,5.0,32,OK
M.Salah,Liverpool,MID,14.5,32,OK
Cullen,Burnley,MID,5.0,31,OK
Stach,Leeds,MID,5.0,31,OK
Ndiaye,Everton,MID,6.5,30,OK
Rice,Arsenal,MID,6.5,29,OK
Zubimendi,Arsenal,MID,5.5,29,OK
Minteh,Brighton,MID,5.9,29,OK
Sarr,Crystal Palace,MID,6.4,29,OK
Xhaka,Sunderland,MID,5.0,29,OK
J.Palhinha,Spurs,MID,5.5,28,OK
Iwobi,Fulham,MID,6.5,28,OK
Doku,Man City,MID,6.6,28,OK
Reijnders,Man City,MID,5.8,28,OK
L.Paquetá,West Ham,MID,5.9,27,OK
Grealish,Everton,MID,6.9,27,OK
Kudus,Spurs,MID,6.7,27,OK
Longstaff,Leeds,MID,4.9,26,OK
Gakpo,Liverpool,MID,7.5,26,OK
Szoboszlai,Liverpool,MID,6.5,26,OK
B.Fernandes,Man Utd,MID,9.0,25,OK
Tavernier,Bournemouth,MID,5.5,24,OK
P.M.Sarr,Spurs,MID,5.0,23,OK
Gana,Everton,MID,5.4,22,OK
Ndoye,Nott'm Forest,MID,6.0,22,OK
Henderson,Brentford,MID,5.0,21,OK
Yarmoliuk,Brentford,MID,5.0,21,OK
Mbeumo,Man Utd,MID,8.1,21,OK
Anderson,Nott'm Forest,MID,5.4,21,OK
Johnson,Spurs,MID,6.9,21,OK
Bergvall,Spurs,MID,5.4,21,OK
Scott,Bournemouth,MID,5.0,20,OK
Mitoma,Brighton,MID,6.4,20,OK
Dewsbury-Hall,Everton,MID,5.0,20,OK
Tonali,Newcastle,MID,5.4,20,OK
O.Dango,Brentford,MID,6.0,19,OK
Talbi,Sunderland,MID,5.0,19,OK
McGinn,Aston Villa,MID,5.4,18,OK
Ayari,Brighton,MID,4.9,18,OK
Neto,Chelsea,MID,7.0,18,OK
Wilson,Fulham,MID,5.4,18,OK
E.Le Fée,Sunderland,MID,4.9,18,OK
Rogers,Aston Villa,MID,6.9,17,OK
Buendía,Aston Villa,MID,5.3,17,OK
Schade,Brentford,MID,7.0,17,OK
Damsgaard,Brentford,MID,5.8,17,OK
Gruda,Brighton,MID,5.4,17,OK
Lukić,Fulham,MID,5.0,17,OK
Foden,Man City,MID,8.1,17,OK
Hudson-Odoi,Nott'm Forest,MID,6.0,17,OK
Eze,Arsenal,MID,7.6,16,OK
Adams,Bournemouth,MID,5.0,16,OK
Brooks,Bournemouth,MID,5.0,16,OK
Kamada,Crystal Palace,MID,5.0,16,OK
Wharton,Crystal Palace,MID,5.0,16,OK
