Surname,Team,Position,Price,TP,Status
Haaland,Man City,FWD,14.4,62,OK
João Pedro,Chelsea,FWD,7.7,37,OK
Bowen,West Ham,FWD,7.7,33,OK
Ekitiké,Liverpool,FWD,8.7,32,DOUBT
Richarlison,Spurs,FWD,6.8,31,OK
Thiago,Brentford,FWD,6.0,30,OK
Isidor,Sunderland,FWD,5.6,27,OK
Gyökeres,Arsenal,FWD,9.0,24,OK
Wood,Nott'm Forest,FWD,7.4,22,OK
Foster,Burnley,FWD,5.0,20,OK
Evanilson,Bournemouth,FWD,7.0,20,OK
Watkins,Aston Villa,FWD,8.7,18,OK
Mateta,Crystal Palace,FWD,7.5,18,OK
Woltemade,Newcastle,FWD,7.1,18,OK
Welbeck,Brighton,FWD,6.3,17,OK
Calvert-Lewin,Leeds,FWD,5.5,16,INJURY
Muniz,Fulham,FWD,5.5,15,INJURY
Beto,Everton,FWD,5.4,14,OK
Šeško,Man Utd,FWD,7.3,14,OK
Mayenda,Sunderland,FWD,5.5,13,OK
Raúl,Fulham,FWD,6.3,12,DOUBT
Nmecha,Leeds,FWD,5.0,11,OK
Osula,Newcastle,FWD,5.5,11,OK
Wilson,West Ham,FWD,5.9,11,OK
Kroupi.Jr,Bournemouth,FWD,4.5,9,OK
Füllkrug,West Ham,FWD,5.7,8,OK
Barry,Everton,FWD,5.8,7,OK
Strand Larsen,Wolves,FWD,6.4,7,DOUBT
Nketiah,Crystal Palace,FWD,5.4,5,OK
Igor Jesus,Nott'm Forest,FWD,5.8,5,OK
