Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Tarkowski,Everton,DEF,6.1,43,OK,7.05,43,29.0,34.93,1.7,29.0,1.0,43.0,EVE,1109.9047619047617,1106.6666666666663,1106.6666666666663,0.04,0.0,0.06094969879518074
Bogle,Leeds,DEF,4.6,42,OK,9.13,42,37.0,45.01,2.21,37.0,1.0,42.0,LEE,1220.6190476190477,1220.9047619047617,1220.9047619047617,0.03,0.0,0.06020698935215883
De Cuyper,Brighton,DEF,4.9,38,OK,7.76,38,32.0,39.52,1.91,32.0,1.0,38.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.03,3.25,0.05944278320874066
Gvardiol,Man City,DEF,5.7,37,OK,6.49,37,33.0,38.58,1.93,33.0,1.0,37.0,MCI,1156.380952380952,1195.904761904762,1195.904761904762,0.03,0.0,0.05352098431153938
Vuskovic,Brighton,DEF,5.0,32,OK,6.4,32,24.0,28.2,1.44,24.0,1.0,32.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.03,0.0,0.04462909718228867
Hall,Newcastle,DEF,5.2,31,OK,5.96,31,18.0,21.06,1.03,18.0,1.0,31.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.03,4.0,0.04388815595983362
Guéhi,Man City,DEF,6.0,30,OK,5.0,30,26.0,30.66,1.52,26.0,1.0,30.0,MCI,1156.380952380952,1195.904761904762,1195.904761904762,0.03,0.0,0.043031854742374774
Calafiori,Arsenal,DEF,5.8,29,OK,5.0,29,28.0,33.66,1.63,28.0,1.0,29.0,ARS,1149.9047619047617,1182.6190476190477,1182.6190476190477,0.02,0.0,0.044445419770485196
Branthwaite,Everton,DEF,5.5,27,OK,4.91,27,19.0,22.31,1.11,19.0,1.0,27.0,EVE,1109.9047619047617,1106.6666666666663,1106.6666666666663,0.02,0.0,0.0385093373493976
Mykolenko,Everton,DEF,4.6,27,OK,5.87,27,22.0,25.29,1.29,22.0,1.0,27.0,EVE,1109.9047619047617,1106.6666666666663,1106.6666666666663,0.02,0.0,0.040394277108433754
Ajayi,Hull City,DEF,4.2,27,OK,6.43,27,26.0,29.53,1.52,26.0,1.0,27.0,HUL,1135.7142857142858,1148.6666666666663,1148.6666666666663,0.02,0.0,0.04150116076610564
Muharemović,Leeds,DEF,5.0,27,OK,5.4,27,21.0,25.4,1.25,21.0,1.0,27.0,LEE,1220.6190476190477,1220.9047619047617,1220.9047619047617,0.02,0.0,0.03667771753968564
Egan,Hull City,DEF,4.1,26,OK,6.34,26,25.0,29.05,1.46,25.0,1.0,26.0,HUL,1135.7142857142858,1148.6666666666663,1148.6666666666663,0.02,0.0,0.04033807312826467
Justin,Leeds,DEF,4.5,26,OK,5.78,26,18.0,21.9,1.07,18.0,1.0,26.0,LEE,1220.6190476190477,1220.9047619047617,1220.9047619047617,0.02,0.0,0.03385194430359999
Gabriel,Arsenal,DEF,8.0,25,OK,3.12,25,24.0,28.8,1.4,24.0,1.0,25.0,ARS,1149.9047619047617,1182.6190476190477,1182.6190476190477,0.02,0.0,0.03818643044091
Mendy,Hull City,DEF,4.1,25,OK,6.1,25,25.0,28.09,1.46,25.0,1.0,25.0,HUL,1135.7142857142858,1148.6666666666663,1148.6666666666663,0.02,0.0,0.038882472431805
Davis,Ipswich Town,DEF,4.0,25,OK,6.25,25,23.0,27.79,1.37,23.0,1.0,25.0,IPS,1171.0,1204.7619047619046,1204.7619047619046,0.02,0.0,0.03689774703557313
Virgil,Liverpool,DEF,6.5,25,OK,3.85,25,19.0,22.77,1.07,19.0,1.0,25.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.02,0.0,0.031593377921505225
Thomas,Coventry City,DEF,4.0,24,OK,6.0,24,15.0,18.37,0.87,15.0,1.0,24.0,COV,1138.7142857142856,1205.0,1205.0,0.02,0.0,0.03058838174273859
Mitchell,Crystal Palace,DEF,4.5,24,OK,5.33,24,17.0,18.07,0.97,17.0,1.0,24.0,CRY,1152.9047619047617,1198.3333333333333,1198.3333333333333,0.02,0.0,0.030583310152990265
Giles,Hull City,DEF,4.0,24,OK,6.0,24,24.0,27.84,1.41,24.0,1.0,24.0,HUL,1135.7142857142858,1148.6666666666663,1148.6666666666663,0.02,0.75,0.038512478235635535
Jacquet,Liverpool,DEF,5.0,24,OK,4.8,24,18.0,20.83,1.01,18.0,1.0,24.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.02,0.0,0.029773666029692784
Van Hecke,Spurs,DEF,4.9,24,OK,4.9,24,18.0,21.4,1.06,18.0,1.0,24.0,TOT,1149.333333333333,1208.809523809524,1208.809523809524,0.02,0.0,0.0322466023242072
Kayode,Brentford,DEF,4.6,23,OK,5.0,23,17.0,18.86,0.99,17.0,1.0,23.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.02,0.0,0.030219899034066064
Murillo,Nott'm Forest,DEF,5.5,23,OK,4.18,23,19.0,22.73,1.14,19.0,1.0,23.0,NFO,1188.6190476190473,1192.5238095238096,1192.5238095238096,0.02,1.25,0.03367731501816875
Dunk,Brighton,DEF,4.5,22,OK,4.89,22,23.0,28.73,1.38,23.0,1.0,22.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.02,1.25,0.03740166762507189
Araujo,Liverpool,DEF,5.4,22,OK,4.07,22,15.0,18.02,0.84,15.0,1.0,22.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.02,0.0,0.02671225929736881
White,Arsenal,DEF,5.5,21,OK,3.82,21,21.0,25.08,1.22,21.0,1.0,21.0,ARS,1149.9047619047617,1182.6190476190477,1182.6190476190477,0.02,0.0,0.032602214616468686
Ajer,Brentford,DEF,4.5,21,OK,4.67,21,14.0,15.73,0.81,14.0,1.0,21.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.02,0.0,0.02672142942322216
Schuster,Brentford,DEF,4.5,21,OK,4.67,21,21.0,24.57,1.22,21.0,1.0,21.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.02,0.0,0.031886910203919386
Maitland-Niles,Everton,DEF,4.5,21,OK,4.67,21,13.0,14.49,0.76,13.0,1.0,21.0,EVE,1109.9047619047617,1106.6666666666663,1106.6666666666663,0.02,0.0,0.028141265060240974
Dasilva,Coventry City,DEF,4.0,20,OK,5.0,20,3.0,3.94,0.17,3.0,1.0,20.0,COV,1138.7142857142856,1205.0,1205.0,0.02,0.0,0.018886307053941908
Castagne,Fulham,DEF,4.5,20,OK,4.44,20,19.0,22.73,1.14,19.0,1.0,20.0,FUL,1063.9047619047617,1044.428571428571,1044.428571428571,0.02,0.0,0.03438339488442075
