Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Tzolis,Arsenal,MID,6.3,16,OK,2.54,16,14.0,15.67,0.61,14.0,1.0,16.0,ARS,1149.9047619047617,1182.6190476190477,1149.9047619047617,0.01,0.75,0.024105474573463646
Damsgaard,Brentford,MID,5.4,16,OK,2.96,16,13.0,13.5,0.56,13.0,1.0,16.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.01,2.0,0.024046804605372934
Hinshelwood,Brighton,MID,5.9,16,OK,2.71,16,16.0,18.14,0.73,16.0,1.0,16.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.01,0.0,0.02539753044797505
Armstrong,Everton,MID,5.0,16,OK,3.2,16,14.0,14.98,0.6,14.0,1.0,16.0,EVE,1109.9047619047617,1106.6666666666663,1109.9047619047617,0.01,0.0,0.023863308735198218
N.Angulo,Sunderland,MID,5.0,16,OK,3.2,16,12.0,16.39,0.55,12.0,1.0,16.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.01,2.5,0.026257008176205576
Kamara,Aston Villa,MID,5.0,15,OK,3.0,15,2.0,2.8,0.09,2.0,1.0,15.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.01,0.0,0.014309361189232626
Kluivert,Bournemouth,MID,6.0,15,OK,2.5,15,21.0,24.82,0.95,21.0,1.0,15.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.01,6.25,0.03337739187687749
Anthony,Brentford,MID,5.9,15,OK,2.54,15,15.0,16.84,0.65,15.0,1.0,15.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.01,0.0,0.02346687802436175
Ayari,Brighton,MID,5.4,15,OK,2.78,15,14.0,19.06,0.64,14.0,1.0,15.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.01,0.0,0.025082472923427027
Slater,Hull City,MID,4.5,15,OK,3.33,15,13.0,14.41,0.57,13.0,1.0,15.0,HUL,1135.7142857142858,1148.6666666666663,1135.7142857142858,0.01,1.5,0.023409937106918237
Enciso,Ipswich Town,MID,5.5,15,OK,2.73,15,13.0,15.37,0.59,13.0,1.0,15.0,IPS,1171.0,1204.7619047619046,1171.0,0.01,0.0,0.02199743808710504
Munoz,Liverpool,MID,6.5,15,OK,2.31,15,14.0,15.55,0.6,14.0,1.0,15.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.01,0.0,0.020999999999999998
Anderson,Man City,MID,6.3,15,OK,2.38,15,13.0,15.51,0.58,13.0,1.0,15.0,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.01,1.5,0.02365742875967716
Ndoye,Nott'm Forest,MID,5.5,15,OK,2.73,15,14.0,15.88,0.62,14.0,1.0,15.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.01,0.75,0.022602700212331243
Bentancur,Spurs,MID,5.5,15,OK,2.73,15,11.0,13.21,0.48,11.0,1.0,15.0,TOT,1149.333333333333,1208.809523809524,1149.333333333333,0.01,0.0,0.0210965777262181
Manzambi,Aston Villa,MID,5.9,14,OK,2.37,14,14.0,16.33,0.62,14.0,1.0,14.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.01,0.0,0.021456448372840498
Neto,Chelsea,MID,6.5,14,OK,2.15,14,12.0,14.97,0.53,12.0,1.0,14.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.01,2.75,0.023542860671936762
Yeremy,Crystal Palace,MID,5.5,14,OK,2.55,14,12.0,12.9,0.52,12.0,1.0,14.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.01,0.0,0.019975630911569127
Iwobi,Fulham,MID,5.4,14,OK,2.59,14,14.0,16.25,0.63,14.0,1.0,14.0,FUL,1063.9047619047617,1044.428571428571,1063.9047619047617,0.01,4.0,0.02761055411332916
Tanaka,Leeds,MID,4.9,14,OK,2.86,14,12.0,13.93,0.53,12.0,1.0,14.0,LEE,1220.6190476190477,1220.9047619047617,1220.6190476190477,0.01,0.0,0.019458159403893414
Haaland,Man City,FWD,15.6,39,OK,2.5,39,33.0,37.95,1.47,33.0,1.1,42.9,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.04,5.0,0.06439486904957999
João Pedro,Chelsea,FWD,7.8,33,OK,4.23,33,33.0,39.51,1.46,33.0,1.0,33.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.03,0.0,0.052445528656126485
Isak,Liverpool,FWD,9.1,33,OK,3.63,33,25.0,28.2,1.07,25.0,1.0,33.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.03,2.5,0.044815143905736904
Kostoulas,Brighton,FWD,5.5,28,OK,5.09,28,18.0,23.12,0.82,18.0,1.0,28.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.02,0.0,0.03910253276581398
Emersonn,Ipswich Town,FWD,5.5,26,OK,4.73,26,24.0,27.93,1.09,24.0,1.0,26.0,IPS,1171.0,1204.7619047619046,1171.0,0.02,0.0,0.03889923142613151
Brobbey,Sunderland,FWD,5.7,24,OK,4.21,24,7.0,8.59,0.32,7.0,1.0,24.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.02,0.0,0.02629204905723344
Calvert-Lewin,Leeds,FWD,6.0,22,OK,3.67,22,20.0,22.99,0.88,20.0,1.0,22.0,LEE,1220.6190476190477,1220.9047619047617,1220.6190476190477,0.02,5.0,0.03530421721998985
Barry,Everton,FWD,5.6,20,OK,3.57,20,14.0,15.01,0.6,14.0,1.0,20.0,EVE,1109.9047619047617,1106.6666666666663,1109.9047619047617,0.02,2.5,0.0297385876094045
Havertz,Arsenal,FWD,7.6,19,OK,2.5,19,17.0,19.01,0.74,17.0,1.0,19.0,ARS,1149.9047619047617,1182.6190476190477,1149.9047619047617,0.02,0.0,0.028095370216995205
Evanilson,Bournemouth,FWD,6.0,18,OK,3.0,18,16.0,18.57,0.72,16.0,1.0,18.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.02,0.0,0.02678815686597259
Wissa,Newcastle,FWD,6.2,15,OK,2.42,15,15.0,17.07,0.65,15.0,1.0,15.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.01,0.0,0.024213973985966118
Isidor,Sunderland,FWD,5.5,15,OK,2.73,15,14.0,16.83,0.64,14.0,1.0,15.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.01,0.0,0.02346074587018188
Strand Larsen,Crystal Palace,FWD,6.0,14,OK,2.33,14,12.0,13.11,0.52,12.0,1.0,14.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.01,0.0,0.020103134938664245
Gonzalo,Fulham,FWD,6.0,14,OK,2.33,14,12.0,13.54,0.54,12.0,1.0,14.0,FUL,1063.9047619047617,1044.428571428571,1063.9047619047617,0.01,0.0,0.02206776474800824
McBurnie,Hull City,FWD,5.5,13,OK,2.36,13,12.0,13.25,0.53,12.0,1.0,13.0,HUL,1135.7142857142858,1148.6666666666663,1135.7142857142858,0.01,5.0,0.02401572327044025
Igor Jesus,Nott'm Forest,FWD,5.8,12,OK,2.07,12,11.0,12.28,0.49,11.0,1.0,12.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.01,2.5,0.019430952285565486
N.Jackson,Aston Villa,FWD,6.5,10,OK,1.54,10,4.0,4.36,0.18,4.0,1.0,10.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.01,0.0,0.01101213338690237
Thiago,Brentford,FWD,7.8,10,OK,1.28,10,5.0,5.64,0.22,5.0,1.0,10.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.01,5.0,0.01659886534290005
Thomas-Asante,Coventry City,FWD,5.0,9,OK,1.8,9,5.0,5.63,0.23,5.0,1.0,9.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.01,3.75,0.014657759377744325
Delap,Nott'm Forest,FWD,5.6,9,OK,1.61,9,8.0,8.87,0.35,8.0,1.0,9.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.01,0.0,0.012795521012779941
Nketiah,Crystal Palace,FWD,5.5,8,OK,1.45,8,7.0,7.77,0.3,7.0,1.0,8.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.01,0.0,0.011656643674362895
Šeško,Man Utd,FWD,7.0,8,OK,1.14,8,8.0,9.71,0.34,8.0,1.0,8.0,MUN,1122.6666666666663,1175.904761904762,1122.6666666666663,0.01,0.0,0.013180225653206656
Marmoush,Spurs,FWD,7.0,8,OK,1.14,8,6.0,6.91,0.26,6.0,1.0,8.0,TOT,1149.333333333333,1208.809523809524,1149.333333333333,0.01,0.0,0.011169083526682137
Akpom,Ipswich Town,FWD,5.0,7,OK,1.4,7,6.0,7.19,0.27,6.0,1.0,7.0,IPS,1171.0,1204.7619047619046,1171.0,0.01,0.0,0.010275832621690864
Nmecha,Leeds,FWD,5.4,7,OK,1.3,7,6.0,6.82,0.26,6.0,1.0,7.0,LEE,1220.6190476190477,1220.9047619047617,1220.6190476190477,0.01,2.5,0.011694066242733977
Solanke,Spurs,FWD,5.8,7,OK,1.21,7,5.0,5.78,0.22,5.0,1.0,7.0,TOT,1149.333333333333,1208.809523809524,1149.333333333333,0.01,5.0,0.013961136890951279
Georginio,Brighton,FWD,5.3,6,OK,1.13,6,5.0,5.67,0.23,5.0,1.0,6.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.01,0.0,0.008822495680391082
Flemming,Ipswich Town,FWD,5.5,6,OK,1.09,6,6.0,6.87,0.27,6.0,1.0,6.0,IPS,1171.0,1204.7619047619046,1171.0,0.01,0.0,0.009230572160546542
Abraham,Aston Villa,FWD,5.5,4,OK,0.73,4,3.0,3.3,0.13,3.0,1.0,4.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.0,0.0,0.0053238248292486945
Welbeck,Chelsea,FWD,5.9,4,OK,0.68,4,2.0,2.17,0.09,2.0,1.0,4.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.0,0.0,0.004771862648221345
Simms,Coventry City,FWD,5.0,4,OK,0.8,4,3.0,3.32,0.14,3.0,1.0,4.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.0,0.0,0.0055536319156943926
Osula,Newcastle,FWD,5.8,4,OK,0.69,4,4.0,4.31,0.17,4.0,1.0,4.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.0,1.25,0.007427990758172172
Fernandez-Pardo,Newcastle,FWD,6.0,4,OK,0.67,4,2.0,2.14,0.09,2.0,1.0,4.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.0,0.0,0.004940013691596783
Wood,Nott'm Forest,FWD,5.8,4,OK,0.69,4,3.0,3.43,0.13,3.0,1.0,4.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.0,5.0,0.009591803213012302
Jebbison,Bournemouth,FWD,5.0,3,OK,0.6,3,2.0,2.33,0.09,2.0,1.0,3.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.0,0.0,0.0040019340767869635
Wilson,Brentford,FWD,5.4,3,OK,0.56,3,3.0,3.3,0.13,3.0,1.0,3.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.0,0.0,0.00465167695644919
Awoniyi,Coventry City,FWD,5.4,3,OK,0.56,3,5.0,5.87,0.23,5.0,1.0,3.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.0,0.0,0.006243005896374358
Muniz,Fulham,FWD,5.4,3,OK,0.56,3,3.0,3.45,0.13,3.0,1.0,3.0,FUL,1063.9047619047617,1044.428571428571,1063.9047619047617,0.0,5.0,0.009789410079670578
Gyökeres,Arsenal,FWD,7.1,2,OK,0.28,2,1.0,1.08,0.04,1.0,1.0,2.0,ARS,1149.9047619047617,1182.6190476190477,1149.9047619047617,0.0,2.5,0.004570813317873117
Rodríguez,Bournemouth,FWD,6.0,2,OK,0.33,2,2.0,2.32,0.09,2.0,1.0,2.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.0,0.0,0.0031317229743631943
Mateta,Crystal Palace,FWD,6.3,2,OK,0.32,2,4.0,4.75,0.17,4.0,1.0,2.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.0,5.0,0.008955639998347859
Vaz,Hull City,FWD,5.0,2,OK,0.4,2,1.0,1.12,0.04,1.0,1.0,2.0,HUL,1135.7142857142858,1148.6666666666663,1135.7142857142858,0.0,0.0,0.0024513207547169806
Zirkzee,Man Utd,FWD,5.3,2,OK,0.38,2,1.0,1.06,0.04,1.0,1.0,2.0,MUN,1122.6666666666663,1175.904761904762,1122.6666666666663,0.0,0.0,0.002442399049881236
David,Brighton,FWD,5.9,1,OK,0.17,1,1.0,1.17,0.05,1.0,1.0,1.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.0,0.0,0.001609802351552952
Cherif,Coventry City,FWD,5.0,1,OK,0.2,1,1.0,1.11,0.05,1.0,1.0,1.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.0,0.0,0.00156053192823987
Walle Egeli,Ipswich Town,FWD,4.5,1,OK,0.22,1,1.0,1.19,0.05,1.0,1.0,1.0,IPS,1171.0,1204.7619047619046,1171.0,0.0,0.0,0.00156532877882152
Kalimuendo,Nott'm Forest,FWD,5.4,1,OK,0.19,1,1.0,1.19,0.04,1.0,1.0,1.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.0,0.0,0.001542125716117143
Madjo,Aston Villa,FWD,5.4,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.0,0.0,0.0
Furo,Brentford,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.0,0.0,0.0
Tzimas,Brighton,FWD,5.4,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.0,0.0,0.0
Ferguson,Brighton,FWD,5.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.0,0.0,0.0
Mheuka,Chelsea,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.0,0.0,0.0
Emegha,Chelsea,FWD,5.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.0,0.0,0.0
Wright,Coventry City,FWD,5.4,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.0,5.0,0.004390917074394682
Kusi-Asare,Fulham,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,FUL,1063.9047619047617,1044.428571428571,1063.9047619047617,0.0,0.0,0.0
Ansah,Hull City,FWD,5.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,HUL,1135.7142857142858,1148.6666666666663,1135.7142857142858,0.0,0.0,0.0
Mateo Joseph,Leeds,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,LEE,1220.6190476190477,1220.9047619047617,1220.6190476190477,0.0,0.0,0.0
Ekitiké,Liverpool,FWD,7.4,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.0,0.0,0.0
Danns,Liverpool,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.0,0.0,0.0
Salia,Newcastle,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.0,0.0,0.0
