Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Roefs,Sunderland,GKP,4.8,90,OK,18.75,10.0,1.0,90.0,SUN,1140.4666666666665,1185.2,1185.2,0.08
Pickford,Everton,GKP,5.5,86,OK,15.64,16.0,1.0,86.0,EVE,1116.6000000000001,1167.533333333333,1167.533333333333,0.07
Raya,Arsenal,GKP,6.0,79,OK,13.17,4.0,1.0,79.0,ARS,1171.8000000000002,1211.2666666666667,1211.2666666666667,0.07
Sánchez,Chelsea,GKP,4.9,72,OK,14.69,5.0,1.0,72.0,CHE,1164.6666666666665,1244.1333333333334,1244.1333333333334,0.06
Vicario,Spurs,GKP,4.8,72,OK,15.0,12.0,1.0,72.0,TOT,1132.8,1151.8,1151.8,0.06
Henderson,Crystal Palace,GKP,5.1,70,OK,13.73,6.0,1.0,70.0,CRY,1176.8,1196.8666666666666,1196.8666666666666,0.06
Kelleher,Brentford,GKP,4.5,66,OK,14.67,10.0,1.0,66.0,BRE,1153.6666666666667,1155.0666666666666,1155.0666666666666,0.06
Donnarumma,Man City,GKP,5.7,66,OK,11.58,9.0,1.0,66.0,MCI,1141.6,1191.9333333333332,1191.9333333333332,0.06
Martinez,Aston Villa,GKP,5.0,60,OK,12.0,3.0,1.0,60.0,AVL,1151.2,1162.6666666666667,1162.6666666666667,0.05
Leno,Fulham,GKP,4.9,60,OK,12.24,8.0,1.0,60.0,FUL,1163.4666666666665,1219.4,1219.4,0.05
Dúbravka,Burnley,GKP,4.0,59,OK,14.75,13.0,1.0,59.0,BUR,1148.2666666666667,1219.8,1219.8,0.05
Verbruggen,Brighton,GKP,4.5,58,OK,12.89,2.0,1.0,58.0,BHA,1109.9333333333334,1209.8666666666668,1209.8666666666668,0.05
Pope,Newcastle,GKP,5.1,57,OK,11.18,2.0,1.0,57.0,NEW,1134.7333333333333,1174.4666666666665,1174.4666666666665,0.05
Petrović,Bournemouth,GKP,4.5,55,OK,12.22,0.0,1.0,55.0,BOU,1206.9333333333334,1209.6666666666667,1209.6666666666667,0.05
A.Becker,Liverpool,GKP,5.4,51,OK,9.44,9.0,1.0,51.0,LIV,1203.4666666666665,1202.5333333333333,1202.5333333333333,0.04
Perri,Leeds,GKP,4.5,40,OK,8.89,12.0,1.0,40.0,LEE,1155.8666666666666,1184.8,1184.8,0.03
Sels,Nott'm Forest,GKP,4.6,40,OK,8.7,0.0,1.0,40.0,NFO,1175.8,1183.1333333333332,1183.1333333333332,0.03
Areola,West Ham,GKP,4.3,40,OK,9.3,5.0,1.0,40.0,WHU,1116.0,1151.3999999999999,1151.3999999999999,0.03
Lammens,Man Utd,GKP,5.0,38,OK,7.6,3.0,1.0,38.0,MUN,1169.4666666666667,1203.3333333333333,1203.3333333333333,0.03
Johnstone,Wolves,GKP,4.4,21,OK,4.77,0.0,1.0,21.0,WOL,1134.9333333333334,1183.8666666666666,1183.8666666666666,0.02
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52,0.0,1.0,19.0,LIV,1203.4666666666665,1202.5333333333333,1202.5333333333333,0.02
José Sá,Wolves,GKP,4.2,12,OK,2.86,5.0,1.0,12.0,WOL,1134.9333333333334,1183.8666666666666,1183.8666666666666,0.01
Trafford,Man City,GKP,4.5,11,OK,2.44,0.0,1.0,11.0,MCI,1141.6,1191.9333333333332,1191.9333333333332,0.01
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,MUN,1169.4666666666667,1203.3333333333333,1203.3333333333333,0.01
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29,1.0,1.0,11.0,NEW,1134.7333333333333,1174.4666666666665,1174.4666666666665,0.01
Darlow,Leeds,GKP,3.9,10,OK,2.56,0.0,1.0,10.0,LEE,1155.8666666666666,1184.8,1184.8,0.01
John,Nott'm Forest,GKP,4.0,10,OK,2.5,3.0,1.0,10.0,NFO,1175.8,1183.1333333333332,1183.1333333333332,0.01
M.Bizot,Aston Villa,GKP,4.2,9,OK,2.14,0.0,1.0,9.0,AVL,1151.2,1162.6666666666667,1162.6666666666667,0.01
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0,WHU,1116.0,1151.3999999999999,1151.3999999999999,0.01
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,0.0,1.0,1.0,CHE,1164.6666666666665,1244.1333333333334,1244.1333333333334,0.0
Guéhi,Crystal Palace,DEF,5.3,97,OK,18.3,4.0,1.0,97.0,CRY,1176.8,1196.8666666666666,1196.8666666666666,0.08
J.Timber,Arsenal,DEF,6.4,95,OK,14.84,15.0,1.0,95.0,ARS,1171.8000000000002,1211.2666666666667,1211.2666666666667,0.08
Chalobah,Chelsea,DEF,5.6,94,OK,16.79,0.0,1.0,94.0,CHE,1164.6666666666665,1244.1333333333334,1244.1333333333334,0.08
Tarkowski,Everton,DEF,5.6,94,OK,16.79,17.0,1.0,94.0,EVE,1116.6000000000001,1167.533333333333,1167.533333333333,0.08
Keane,Everton,DEF,4.8,91,OK,18.96,10.0,1.0,91.0,EVE,1116.6000000000001,1167.533333333333,1167.533333333333,0.08
Matheus N.,Man City,DEF,5.4,91,OK,16.85,15.0,1.0,91.0,MCI,1141.6,1191.9333333333332,1191.9333333333332,0.08
Rúben,Man City,DEF,5.7,90,OK,15.79,9.0,1.0,90.0,MCI,1141.6,1191.9333333333332,1191.9333333333332,0.08
Lacroix,Crystal Palace,DEF,5.2,87,OK,16.73,6.0,1.0,87.0,CRY,1176.8,1196.8666666666666,1196.8666666666666,0.07
Mukiele,Sunderland,DEF,4.3,85,OK,19.77,15.0,1.0,85.0,SUN,1140.4666666666665,1185.2,1185.2,0.07
Van de Ven,Spurs,DEF,4.5,82,OK,18.22,17.0,1.0,82.0,TOT,1132.8,1151.8,1151.8,0.07
Senesi,Bournemouth,DEF,4.8,81,OK,16.88,5.0,1.0,81.0,BOU,1206.9333333333334,1209.6666666666667,1209.6666666666667,0.07
James,Chelsea,DEF,5.7,81,OK,14.21,7.0,1.0,81.0,CHE,1164.6666666666665,1244.1333333333334,1244.1333333333334,0.07
Mitchell,Crystal Palace,DEF,5.0,77,OK,15.4,6.0,1.0,77.0,CRY,1176.8,1196.8666666666666,1196.8666666666666,0.06
Cash,Aston Villa,DEF,4.8,76,OK,15.83,1.0,1.0,76.0,AVL,1151.2,1162.6666666666667,1162.6666666666667,0.07
Gvardiol,Man City,DEF,6.1,76,OK,12.46,9.0,1.0,76.0,MCI,1141.6,1191.9333333333332,1191.9333333333332,0.06
O'Reilly,Man City,DEF,5.3,76,OK,14.34,2.0,1.0,76.0,MCI,1141.6,1191.9333333333332,1191.9333333333332,0.06
Ballard,Sunderland,DEF,4.6,75,OK,16.3,0.0,1.0,75.0,SUN,1140.4666666666665,1185.2,1185.2,0.06
Cucurella,Chelsea,DEF,6.1,72,DOUBT,11.8,2.0,1.0,72.0,CHE,1164.6666666666665,1244.1333333333334,1244.1333333333334,0.06
Virgil,Liverpool,DEF,5.9,72,OK,12.2,8.0,1.0,72.0,LIV,1203.4666666666665,1202.5333333333333,1202.5333333333333,0.06
Andersen,Fulham,DEF,4.6,71,OK,15.43,8.0,1.0,71.0,FUL,1163.4666666666665,1219.4,1219.4,0.06
Konaté,Liverpool,DEF,5.4,71,OK,13.15,9.0,1.0,71.0,LIV,1203.4666666666665,1202.5333333333333,1202.5333333333333,0.06
Pedro Porro,Spurs,DEF,5.2,70,OK,13.46,16.0,1.0,70.0,TOT,1132.8,1151.8,1151.8,0.06
Van Hecke,Brighton,DEF,4.5,69,OK,15.33,3.0,1.0,69.0,BHA,1109.9333333333334,1209.8666666666668,1209.8666666666668,0.06
Gusto,Chelsea,DEF,5.0,69,OK,13.8,2.0,1.0,69.0,CHE,1164.6666666666665,1244.1333333333334,1244.1333333333334,0.06
Romero,Spurs,DEF,5.0,68,OK,13.6,68.0,1.0,68.0,TOT,1132.8,1151.8,1151.8,0.06
