Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Roefs,Sunderland,GKP,4.8,90,OK,18.75,10.0,1.0,90.0,SUN,1140.4666666666665,1185.2,1185.2,0.08,0.0,0.08184272696591292
Pickford,Everton,GKP,5.5,86,OK,15.64,16.0,1.0,86.0,EVE,1116.6,1167.533333333333,1167.533333333333,0.07,0.0,0.08325244104379606
Raya,Arsenal,GKP,6.0,79,OK,13.17,4.0,1.0,79.0,ARS,1171.8000000000002,1211.2666666666669,1211.2666666666669,0.07,0.0,0.06753261049039572
Sánchez,Chelsea,GKP,4.9,72,OK,14.69,5.0,1.0,72.0,CHE,1164.6666666666663,1244.1333333333334,1244.1333333333334,0.06,0.0,0.06068481406065802
Vicario,Spurs,GKP,4.8,72,OK,15.0,12.0,1.0,72.0,TOT,1132.8,1151.8,1151.8,0.06,0.0,0.06980378537940615
Henderson,Crystal Palace,GKP,5.1,70,OK,13.73,6.0,1.0,70.0,CRY,1176.8,1196.8666666666666,1196.8666666666666,0.06,0.0,0.061995209714253895
Kelleher,Brentford,GKP,4.5,66,OK,14.67,10.0,1.0,66.0,BRE,1153.6666666666667,1155.0666666666666,1155.0666666666666,0.06,0.0,0.06319981530647582
Donnarumma,Man City,GKP,5.7,66,OK,11.58,9.0,1.0,66.0,MCI,1141.6,1191.9333333333332,1191.9333333333332,0.06,0.0,0.06065775490799262
Martinez,Aston Villa,GKP,5.0,60,OK,12.0,3.0,1.0,60.0,AVL,1151.2,1162.6666666666667,1162.6666666666667,0.05,0.0,0.05341169724770642
Leno,Fulham,GKP,4.9,60,OK,12.24,8.0,1.0,60.0,FUL,1163.4666666666665,1219.4,1219.4,0.05,0.0,0.05379694931933737
Dúbravka,Burnley,GKP,4.0,59,OK,14.75,13.0,1.0,59.0,BUR,1148.2666666666669,1219.8,1219.8,0.05,0.0,0.0558288243974422
Verbruggen,Brighton,GKP,4.5,58,OK,12.89,2.0,1.0,58.0,BHA,1109.9333333333334,1209.8666666666668,1209.8666666666668,0.05,0.0,0.049096319153625737
Pope,Newcastle,GKP,5.1,57,OK,11.18,2.0,1.0,57.0,NEW,1134.7333333333331,1174.4666666666665,1174.4666666666665,0.05,0.0,0.0497246977351422
Petrović,Bournemouth,GKP,4.5,55,OK,12.22,0.0,1.0,55.0,BOU,1206.9333333333334,1209.6666666666667,1209.6666666666667,0.05,0.0,0.04546707081840727
A.Becker,Liverpool,GKP,5.4,51,OK,9.44,9.0,1.0,51.0,LIV,1203.4666666666665,1202.5333333333333,1202.5333333333333,0.04,0.0,0.04764940680785009
Perri,Leeds,GKP,4.5,40,OK,8.89,12.0,1.0,40.0,LEE,1155.8666666666666,1184.8,1184.8,0.03,0.0,0.04085077650236327
Sels,Nott'm Forest,GKP,4.6,40,OK,8.7,0.0,1.0,40.0,NFO,1175.8,1183.1333333333332,1183.1333333333332,0.03,0.0,0.033808531019327216
