Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Roefs,Sunderland,GKP,4.7,60,OK,12.77,4.0,1.0,60.0,SUN,1185.0,1272.8,1272.8,0.05,0.0,0.048711502199874294
Henderson,Crystal Palace,GKP,5.0,53,OK,10.6,8.0,1.0,53.0,CRY,1148.6666666666667,1170.6666666666663,1170.6666666666663,0.05,0.0,0.048690205011389535
Pickford,Everton,GKP,5.5,53,OK,9.64,11.0,1.0,53.0,EVE,1188.6666666666667,1176.8,1176.8,0.05,0.0,0.04971108089734874
Martinez,Aston Villa,GKP,5.1,50,OK,9.8,10.0,1.0,50.0,AVL,1170.6,1189.4666666666665,1189.4666666666665,0.04,0.0,0.04623921085080149
Vicario,Spurs,GKP,5.0,49,OK,9.8,2.0,1.0,49.0,TOT,1165.3333333333333,1210.7333333333331,1210.7333333333331,0.04,0.0,0.04129728539177359
Sánchez,Chelsea,GKP,4.8,46,OK,9.58,9.0,1.0,46.0,CHE,1160.0666666666668,1182.6666666666667,1182.6666666666667,0.04,0.0,0.04270011273957159
Petrović,Bournemouth,GKP,4.5,43,OK,9.56,3.0,1.0,43.0,BOU,1135.6666666666667,1163.0,1163.0,0.04,0.0,0.03826311263972485
Verbruggen,Brighton,GKP,4.4,40,OK,9.09,14.0,1.0,40.0,BHA,1158.2,1187.0,1187.0,0.03,0.0,0.039595619208087615
Leno,Fulham,GKP,4.9,40,OK,8.16,6.0,1.0,40.0,FUL,1157.4,1186.7333333333331,1186.7333333333331,0.03,0.0,0.03623391944272794
Dúbravka,Burnley,GKP,4.0,38,OK,9.5,3.0,1.0,38.0,BUR,1169.3333333333337,1183.3333333333333,1183.3333333333333,0.03,0.0,0.033380281690140845
Donnarumma,Man City,GKP,5.7,37,OK,6.49,6.0,1.0,37.0,MCI,1141.8,1153.4,1153.4,0.03,0.0,0.03468007629616785
Kelleher,Brentford,GKP,4.5,36,OK,8.0,4.0,1.0,36.0,BRE,1216.0000000000002,1226.0666666666668,1226.0666666666668,0.03,0.0,0.030993420694905113
Sels,Nott'm Forest,GKP,4.7,32,OK,6.81,9.0,1.0,32.0,NFO,1127.4666666666665,1167.8,1167.8,0.03,0.0,0.031255351943826
A.Becker,Liverpool,GKP,5.4,28,OK,5.19,8.0,1.0,28.0,LIV,1122.9333333333332,1168.5333333333335,1168.5333333333335,0.02,0.0,0.027384755819260607
Areola,West Ham,GKP,4.3,26,OK,6.05,11.0,1.0,26.0,WHU,1166.4666666666667,1219.1333333333334,1219.1333333333334,0.02,0.0,0.025838027013725597
Perri,Leeds,GKP,4.5,21,OK,4.67,4.0,1.0,21.0,LEE,1171.2666666666669,1214.8666666666666,1214.8666666666666,0.02,0.0,0.01893211875102892
Lammens,Man Utd,GKP,5.0,20,OK,4.0,4.0,1.0,20.0,MUN,1096.4,1159.0666666666666,1159.0666666666666,0.02,0.0,0.01898078914068791
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0,LIV,1122.9333333333332,1168.5333333333335,1168.5333333333335,0.02,0.0,0.016259698767685984
Johnstone,Wolves,GKP,4.5,19,OK,4.22,4.0,1.0,19.0,WOL,1182.6666666666667,1208.3333333333337,1208.3333333333337,0.02,0.0,0.01737931034482758
