Surname,Team,Position,Price,TP,Status
Semenyo,Bournemouth,MID,7.8,76,OK
Rice,Arsenal,MID,7.0,75,OK
Minteh,Brighton,MID,6.2,64,OK
Bruno G.,Newcastle,MID,6.7,64,OK
Eze,Arsenal,MID,7.8,63,OK
B.Fernandes,Man Utd,MID,8.9,63,OK
Neto,Chelsea,MID,7.2,62,OK
Gakpo,Liverpool,MID,7.5,62,OK
Mbeumo,Man Utd,MID,8.6,62,OK
Enzo,Chelsea,MID,6.7,61,OK
Ndiaye,Everton,MID,6.6,60,OK
J.Palhinha,Spurs,MID,5.5,60,OK
Xhaka,Sunderland,MID,5.2,59,OK
Caicedo,Chelsea,MID,6.0,57,INJURY
Cullen,Burnley,MID,5.0,57,OK
O.Dango,Brentford,MID,6.0,56,OK
M.Salah,Liverpool,MID,14.1,56,OK
Gravenberch,Liverpool,MID,5.6,56,OK
Anderson,Nott'm Forest,MID,5.4,56,OK
Anthony,Burnley,MID,5.5,55,OK
Tavernier,Bournemouth,MID,5.5,55,OK
Dewsbury-Hall,Everton,MID,4.9,55,OK
Kudus,Spurs,MID,6.5,55,OK
Saka,Arsenal,MID,10.1,54,OK
Sessegnon,Fulham,MID,5.4,54,OK
Rogers,Aston Villa,MID,6.9,53,OK
Trossard,Arsenal,MID,6.9,52,OK
Casemiro,Man Utd,MID,5.5,51,DOUBT
Zubimendi,Arsenal,MID,5.3,50,INJURY
Sarr,Crystal Palace,MID,6.6,50,INJURY
Garner,Everton,MID,5.0,50,OK
Gibbs-White,Nott'm Forest,MID,7.3,50,DOUBT
Szoboszlai,Liverpool,MID,6.6,49,DOUBT
E Le Fee,Sunderland,MID,4.9,49,OK
Adams,Bournemouth,MID,5.0,48,OK
Grealish,Everton,MID,6.6,48,OK
Foden,Man City,MID,8.1,48,OK
Doku,Man City,MID,6.6,48,OK
Wilson,Fulham,MID,5.2,46,DOUBT
Schade,Brentford,MID,7.0,45,OK
Iwobi,Fulham,MID,6.4,45,OK
Wieffer,Brighton,MID,4.9,44,OK
Aaronson,Leeds,MID,5.4,44,OK
Stach,Leeds,MID,4.8,44,INJURY
L.Paquetá,West Ham,MID,5.9,44,INJURY
Buendia,Aston Villa,MID,5.3,41,OK
Amad,Man Utd,MID,6.3,41,OK
Barnes,Newcastle,MID,6.4,41,OK
McGinn,Aston Villa,MID,5.4,40,OK
Gana,Everton,MID,5.4,40,INJURY
Longstaff,Leeds,MID,4.9,40,INJURY
Malen,Aston Villa,MID,5.1,39,INJURY
Damsgaard,Brentford,MID,5.8,39,OK
Henderson,Brentford,MID,5.0,39,OK
Kamada,Crystal Palace,MID,5.0,39,OK
P.M.Sarr,Spurs,MID,4.8,39,OK
Kamara,Aston Villa,MID,4.9,38,OK
Reijnders,Man City,MID,5.3,38,OK
J.Murphy,Newcastle,MID,6.1,38,OK
Merina,Arsenal,MID,5.9,37,OK
