Surname,Team,Position,Price,TP,Status,PPM
Roefs,Sunderland,GKP,4.9,93,OK,18.98
Pickford,Everton,GKP,5.6,87,OK,15.54
Raya,Arsenal,GKP,6.0,80,OK,13.33
Vicario,Spurs,GKP,4.8,74,OK,15.42
Sánchez,Chelsea,GKP,4.9,72,DOUBT,14.69
Henderson,Crystal Palace,GKP,5.1,72,OK,14.12
Kelleher,Brentford,GKP,4.5,68,OK,15.11
Donnarumma,Man City,GKP,5.7,68,OK,11.93
Verbruggen,Brighton,GKP,4.5,65,OK,14.44
Martinez,Aston Villa,GKP,5.0,63,OK,12.6
Pope,Newcastle,GKP,5.1,63,OK,12.35
Leno,Fulham,GKP,4.9,61,OK,12.45
Dúbravka,Burnley,GKP,4.0,60,OK,15.0
Petrović,Bournemouth,GKP,4.5,56,OK,12.44
A.Becker,Liverpool,GKP,5.4,52,OK,9.63
Perri,Leeds,GKP,4.5,42,OK,9.33
Areola,West Ham,GKP,4.3,42,OK,9.77
Sels,Nott'm Forest,GKP,4.6,41,OK,8.91
Lammens,Man Utd,GKP,5.0,40,OK,8.0
Johnstone,Wolves,GKP,4.4,21,OK,4.77
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52
José Sá,Wolves,GKP,4.2,18,OK,4.29
Trafford,Man City,GKP,4.5,11,OK,2.44
Bayindir,Man Utd,GKP,4.8,11,OK,2.29
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29
John,Nott'm Forest,GKP,4.0,11,DOUBT,2.75
Darlow,Leeds,GKP,3.9,10,OK,2.56
M.Bizot,Aston Villa,GKP,4.2,9,OK,2.14
Hermansen,West Ham,GKP,4.2,9,OK,2.14
Jörgensen,Chelsea,GKP,4.3,3,OK,0.7
Gabriel,Arsenal,DEF,6.6,106,OK,16.06
Chalobah,Chelsea,DEF,5.3,99,OK,18.68
Guéhi,Crystal Palace,DEF,4.6,99,OK,21.52
J.Timber,Arsenal,DEF,5.6,98,OK,17.5
Tarkowski,Everton,DEF,5.6,96,DOUBT,17.14
Rúben,Man City,DEF,5.7,95,OK,16.67
Matheus N.,Man City,DEF,5.4,92,OK,17.04
Keane,Everton,DEF,4.8,91,OK,18.96
Mukiele,Sunderland,DEF,4.3,89,OK,20.7
Van de Ven,Spurs,DEF,4.5,85,OK,18.89
Senesi,Bournemouth,DEF,4.6,82,OK,17.83
James,Chelsea,DEF,5.7,81,OK,14.21
Cash,Aston Villa,DEF,4.8,81,OK,16.88
Mitchell,Crystal Palace,DEF,5.0,79,OK,15.8
Gvardiol,Man City,DEF,6.1,77,OK,12.62
Collins,Brentford,DEF,4.9,76,DOUBT,15.51
Thiaw,Newcastle,DEF,5.1,76,OK,14.9
Ballard,Sunderland,DEF,4.6,76,OK,16.52
Alderete,Sunderland,DEF,4.1,76,OK,18.54
Andersen,Fulham,DEF,4.6,74,OK,16.09
Pedro Porro,Spurs,DEF,5.2,74,OK,14.23
Virgil,Liverpool,DEF,5.9,73,DOUBT,12.37
Cucurella,Chelsea,DEF,6.1,72,DOUBT,11.8
Konaté,Liverpool,DEF,5.4,72,OK,13.33
Gusto,Chelsea,DEF,5.0,71,OK,14.2
Romero,Spurs,DEF,5.0,70,OK,14.0
Truffert,Bournemouth,DEF,4.5,66,OK,14.67
O'Brien,Everton,DEF,4.9,65,OK,13.27
Tete,Fulham,DEF,4.5,65,OK,14.44
Hume,Sunderland,DEF,4.5,64,OK,14.22
Dalot,Man Utd,DEF,4.4,62,OK,14.09
Lewis-Potter,Brentford,DEF,4.9,59,OK,12.04
Kayode,Brentford,DEF,4.5,57,OK,12.67
Struijk,Leeds,DEF,4.3,56,OK,13.02
Digne,Aston Villa,DEF,4.5,55,OK,12.22
Konsa,Aston Villa,DEF,4.4,55,OK,12.5
N.Williams,Nott'm Forest,DEF,4.7,55,OK,11.7
Saliba,Arsenal,DEF,5.9,54,OK,9.15
F.Kadıoğlu,Brighton,DEF,4.4,54,OK,12.27
Mykolenko,Everton,DEF,4.9,54,OK,11.02
Van den Berg,Brentford,DEF,4.5,52,OK,11.56
Spence,Spurs,DEF,4.3,52,OK,12.09
Milenković,Fulham,DEF,5.1,50,DOUBT,9.8
Gudmundsson,Leeds,DEF,3.8,49,OK,12.89
De Cuyper,Brighton,DEF,4.3,48,OK,11.16
Schär,Newcastle,DEF,5.3,48,OK,9.06
Livramento,Newcastle,DEF,4.9,48,OK,9.8
Hartman,Burnley,DEF,4.0,46,OK,11.5
Dorgu,Man Utd,DEF,4.2,46,OK,10.95
Shaw,Man Utd,DEF,4.5,45,OK,10.0
Dunk,Brighton,DEF,4.5,45,OK,10.0
Diouf,West Ham,DEF,4.0,44,OK,11.0
Semenyo,Bournemouth,MID,7.4,113,OK,15.27
Rice,Arsenal,MID,6.9,119,OK,17.25
B.Fernandes,Man Utd,MID,9.1,99,DOUBT,10.88
Foden,Man City,MID,8.2,98,OK,11.95
Rogers,Aston Villa,MID,7.5,96,OK,12.8
Bruno G.,Newcastle,MID,6.8,86,OK,12.65
Saka,Arsenal,MID,10.2,95,OK,9.31
Wilson,Fulham,MID,5.8,93,OK,16.03
Enzo,Chelsea,MID,6.4,91,OK,14.22
Gravenberch,Liverpool,MID,5.7,91,OK,15.96
Garner,Everton,MID,5.1,89,OK,17.45
Xhaka,Sunderland,MID,5.2,86,OK,16.54
Stach,Leeds,MID,4.9,85,OK,17.35
Neto,Chelsea,MID,7.2,83,OK,11.53
Casemiro,Man Utd,MID,5.5,83,OK,15.09
Tavernier,Bournemouth,MID,5.6,81,OK,14.46
Anderson,Nott'm Forest,MID,5.3,80,OK,15.09
Schade,Brentford,MID,7.1,79,OK,11.13
Minteh,Brighton,MID,6.0,79,DOUBT,13.17
Trossard,Arsenal,MID,7.0,78,DOUBT,11.14
Grealish,Everton,MID,6.5,77,OK,11.85
Gibbs-White,Nott'm Forest,MID,7.3,72,OK,9.86
E Le Fee,Sunderland,MID,4.9,71,OK,14.49
J.Palhinha,Spurs,MID,5.5,69,OK,12.55
Wirtz,Liverpool,MID,8.2,68,OK,8.29
Szoboszlai,Liverpool,MID,6.6,68,OK,10.3
McGinn,Aston Villa,MID,5.4,67,OK,12.41
Eze,Arsenal,MID,7.4,66,OK,8.92
Cunha,Man City,MID,8.2,64,OK,7.8
Anthony,Burnley,MID,5.1,63,OK,12.35
Bentancur,Spurs,MID,5.3,62,OK,11.7
Ayari,Brighton,MID,4.8,61,OK,12.71
Doku,Man City,MID,6.4,61,OK,9.53
M.Fernandes,West Ham,MID,5.5,59,OK,10.73
Kamara,Aston Villa,MID,4.9,58,OK,11.84
Georginio,Brighton,MID,5.6,58,OK,10.36
Ugochukwu,Burnley,MID,5.0,57,OK,11.4
Henderson,Brentford,MID,5.0,57,OK,11.4
Yarmoliuk,Brentford,MID,5.0,57,OK,11.4
Haaland,Man City,FWD,14.1,157,OK,11.13
Thiago,Brentford,FWD,6.5,108,OK,16.62
Ekitiké,Liverpool,FWD,9.1,84,DOUBT,9.23
Bowen,West Ham,FWD,7.7,84,OK,10.91
João Pedro,Chelsea,FWD,7.2,81,OK,11.25
Calvert-Lewin,Leeds,FWD,5.9,81,OK,13.73
Mateta,Crystal Palace,FWD,7.6,78,OK,10.26
Watkins,Aston Villa,FWD,8.6,79,OK,9.19
Woltemade,Newcastle,FWD,7.3,74,OK,10.14
Richarlison,Spurs,FWD,6.4,72,OK,11.25
Welbeck,Brighton,FWD,6.3,64,OK,10.16
Raúl,Fulham,FWD,6.2,57,OK,9.19
Gyökeres,Arsenal,FWD,8.8,52,OK,5.91
Isidor,Sunderland,FWD,5.3,50,DOUBT,9.43
Wilson,West Ham,FWD,5.8,50,OK,8.62
Evanilson,Bournemouth,FWD,7.0,49,OK,7.0
Kroupi.Jr,Bournemouth,FWD,4.6,41,OK,8.91
Šeško,Man Utd,FWD,7.2,40,OK,5.56
Barry,Everton,FWD,5.7,35,OK,6.14
Strand Larsen,Wolves,FWD,6.1,32,OK,5.25
Beto,Everton,FWD,5.0,31,OK,6.2
Brobbey,Sunderland,FWD,5.5,27,OK,4.91
Zirkzee,Man Utd,FWD,5.8,28,OK,4.83
Toti,Wolves,FWD,5.4,28,OK,5.19
Mayenda,Sunderland,FWD,5.2,22,OK,4.23
Kolo Muani,Spurs,FWD,6.9,21,OK,3.04
Kostoulas,Brighton,FWD,4.8,18,OK,3.75
Marc Guiu,Chelsea,FWD,4.2,12,OK,2.86
Füllkrug,West Ham,FWD,5.6,12,OK,2.14
Enes Ünal,Bournemouth,FWD,5.4,11,OK,2.04
Wissa,Newcastle,FWD,7.3,9,OK,1.23
Kalimuendo,Nott'm Forest,FWD,6.0,8,OK,1.33
Havertz,Arsenal,FWD,7.3,1,OK,0.14
Scarlett,Spurs,FWD,4.3,1,OK,0.23
Casey,Man City,FWD,4.5,0,OK,0.0
Graham,Everton,FWD,4.5,0,OK,0.0
